y,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aeroponics,,,,,,,,,,,,,,,,,,,,,,
agricultural robot,,,,,,,,,,,,,,,,,,,,,,
aquaponics,,,,,,,,,,,,,,,,,,,,1.0,,
cellular agriculture,,,,,,,,,,,,,,,,,,,,,,
closed ecological system,,,,,,,,,,,,,,,,,,,,,,
Controlled ecological life-support system,,,,,,,,,,,,,,,,,,,,,,
Cultured meat,,,,,,,,,,,,,,,,,,,,,,
fogponics,,,,,,,,,,,,,,,,,,,,,,
Genetically modified crops,,,,,,,,,,1.0,,1.0,,,1.0,1.0,,,,1.0,,
Genetically modified food,,,,,,,,,,,,,,,,,,,,,,
Genetically modified organism,,,,,,,,,,1.0,,,,,1.0,,,,,,1.0,
hydroponics,,,,,,,,,,,,,,,,,,,,,,
Insects as food,,,,,,,,,,,,,,,,,,,,,,
meat analogue,,,,,,,,,,,,,,,,,,,,,,
Passive hydroponics,,,,,,,,,,,,,,,,,,,,,,
Precision agriculture,,,,,,,,,,,,,,,,,,,,,1.0,
Precision livestock farming,,,,,,,,,,,,,,,,,,,,,,
Vertical farming,,,,,,,,,,,,,,,,,,,,,,
arcology,,,,,,,,,,,,,,,,,,,,,,
Gesture recognition,,,,,,,,,,,,,,,,,,,,,3.0,
Domed city,,,,,,,,,,,,,,,,,,,,,,
Translucent concrete,,,,,,,,,,,,,,,,,,,,,,
AI Art,,,,,,,,,,,,,,,,,,,,1.0,,
AI Music,,,,,,,,,,,,,,,1.0,,,,,,,
Drone display,,,,,,,,,,,,,,,,,,,,,,
Galliane,,,,,,,,,,,,,,,,,,,,,,
music technology,,,,,,,,,,,,,,,,,,,,,,
artificial island,,,,,,,,,,,,,,,,,,,,,,
Carbon capture and storage,,,,,,,,,,,,,,,,1.0,,,1.0,,,
Carbon dioxide removal,,,,,,,,,,,,,,,,,,,,,,
Carbon sequestration,,,,,,,,,,,,,,,,,,,,,,
Gasoline from Carbon Dioxide,,,,,,,,,,,,,,,,,,,,,,
