y,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aeroponics,,,,,,,,,,,,,,,,,,,,,,
agricultural robot,,,,,,,,,,,,,,,,,,,,,,
aquaponics,,,,,,,,,,,,,,,,,,,,,,
cellular agriculture,,,,,,,,,,,,,,,,,,,,,,
closed ecological system,,,,,,,,,,,,,,,,,,,,,,
Controlled ecological life-support system,,,,,,,,,,,,,,,,,,,,,,
Cultured meat,,,,,,,,,,,,,,,,,,,,,,
fogponics,,,,,,,,,,,,,,,,,,,,,,
Genetically modified crops,,,,,,,,2.0,1.0,5.0,,2.0,,4.0,1.0,10.0,1.0,2.0,5.0,1.0,2.0,
Genetically modified food,,,,,,,,,,,,,,,,,,,,,,
Genetically modified organism,,,,,,,,1.0,1.0,7.0,,1.0,,1.0,2.0,10.0,7.0,5.0,1.0,2.0,5.0,
hydroponics,,,,,,,,,,,,,,,,,,,,,,
Insects as food,,,,,,,,,,,,,,,,,,,,,,
meat analogue,,,,,,,,,,,,,,,,,,,,,,
Passive hydroponics,,,,,,,,,,,,,,,,,,,,,,
Precision agriculture,,,,,,,,,,,,,,,1.0,,,1.0,3.0,6.0,7.0,
Precision livestock farming,,,,,,,,,,,,,,,,,,,,1.0,,
Vertical farming,,,,,,,,,,,,,,,,,,,,,,
arcology,,,,,,,,,,,,,,,,,,,,,,
Gesture recognition,,,,,,,,,,,1.0,,,2.0,5.0,1.0,5.0,6.0,6.0,11.0,18.0,
Domed city,,,,,,,,,,,,,,,,,,,,,,
Translucent concrete,,,,,,,,,,,,,,,,,,,,,,
AI Art,,,,,,,,,,,,,,,,,,,,1.0,1.0,
AI Music,,,,,,,,,,,,,,1.0,1.0,1.0,6.0,4.0,11.0,10.0,23.0,
Drone display,,,,,,,,,,,,,,,,,,,,,,
Galliane,,,,,,,,,,,,,,,,,,,,,,
music technology,,,,,,,,,,,,,,,,,,,,,,
artificial island,,,,,,,,,,,,,,,,,,,,,,
Carbon capture and storage,,,,,,,,,,,,,,1.0,,,,3.0,2.0,1.0,3.0,1.0
