y,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aeroponics,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
agricultural robot,,,,,,,,,,,,,,,,,,,,,,
aquaponics,,,,,,,,,,,,,,,,,,,,,,
cellular agriculture,,,,,,,,,,,,,,,,,,,,,,
closed ecological system,,,,,,,,,,,,,,,,,,,,,,
Controlled ecological life-support system,,,,,,,,,,,,,,,,,,,,,,
Cultured meat,,,,,,,,,,,,,,,,,,,,,,
fogponics,,,,,,,,,,,,,,,,,,,,,,
Genetically modified crops,,,,,,,,,,,1.0,,,,,,,,,,,
Genetically modified food,,,,,,,,,,,,,,,,,,,,,,
Genetically modified organism,,,,,,,,1.0,1.0,3.0,5.0,,,,,,1.0,1.0,,,1.0,
hydroponics,,1.0,1.0,,,,,,,,,,,,,,,,,,,
Insects as food,,,,,,,,,,,,,,,,,,,,,,
meat analogue,,,,,,,,,,,,,,,,,,,,,,
Passive hydroponics,,,,,,,,,,,,,,,,,,,,,,
Precision agriculture,,,,,,,,,,,,,,,,,,,,,,
Precision livestock farming,,,,,,,,,,,,,,,,,,,,,,
Vertical farming,,,,,,,,,,,,,,,,,,,,,,
arcology,,,,,,,,,,,,,,,,,,,,,,
Gesture recognition,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,
Domed city,,,,,,,,,,,,,,,,,,,,,,
Translucent concrete,,,,,,,,,,,,,,,,,,,,,,
AI Art,,,,,,,,,,,,,,,,,,,,,,
AI Music,,,,,,,,,,,,,,,,,,,,,,
Drone display,,,,,,,,,,,,,,,,,,,,,,
Galliane,,,,,,,,,,,,,,,,,,,,,,
music technology,,,,,,,,,,,,,,,,,,,,,,
artificial island,,,,,,,,,,,,,,,,,,,,,,
Carbon capture and storage,,,,,,,,,,,,,,,,,,,,,,
Carbon dioxide removal,,,,,1.0,1.0,,,,,,,,,,,,,,,,
Carbon sequestration,,,,,,,,,,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,
Gasoline from Carbon Dioxide,,,,,,,,,,,,,,,,,,,,,,
Microbial electrolysis carbon capture,,,,,,,,,,,,,,,,,,,,,,
3D metal printing,,,,,,,,,,,,,,,,,1.0,2.0,5.0,6.0,3.0,
4d printing,,,,,,,,,,,,,,,,,,,,,,
Anticipatory Life Cycle Analysis,,,,,,,,,,,,,,,,,,,,,,
Artificial muscle,,,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,,,
Bio-manufacturing,,,,,,,,,,1.0,2.0,2.0,1.0,1.0,,,2.0,2.0,2.0,4.0,,
Claytronics,,,,,,,,,,,,,,,,,,,,,,
Construction 3D printing,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
Electron-beam additive manufacturing,,,,,,,,,,,,,,,,,,,,,,
Incremental sheet forming,,,,,,,,,,,,,,,,,,,,,,
Life-cycle assessment,,,,,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,1.0,,,
Liquid Crystal Elastomers,,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,
Megatall skyscrapers,,,,,,,,,,,,,,,,,,,,,,
Molecular assembler,,,,,,,,,,,,,,,,,,,,,,
Predictive maintenance,,,,,,,,,,,,,,,,,,,,,,
Radio-frequency identification,,,1.0,1.0,,1.0,1.0,2.0,2.0,8.0,7.0,3.0,4.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,,
Robot end effector,,,,,,,,,,,,,,,,,,,,,,
self assembly,,13.0,17.0,9.0,11.0,12.0,12.0,15.0,13.0,24.0,23.0,21.0,19.0,14.0,16.0,18.0,18.0,24.0,19.0,17.0,21.0,
Self-reconfiguring modular robot,,,,,,,,,,,,,,,,,,,,,,
Smart highway,,,,,,,,,,,,,,,,,,,,,,
Structural health monitoring,,,,,,,,,,,,,,,,,,,,,,
Supertall building,,,,,,,,,,,,,,,,,,,,,,
utility fog,,,,,,,,,,,,,,,,,,,,,,
Adaptive Learning Technology,,,,,,,,,,,,,,,,,,,,,,
Augmented learning,,,,,,,,,,,,,,,,,,,,,,
Gamifying education,,,,,,,,,,,1.0,,,3.0,3.0,6.0,8.0,7.0,6.0,10.0,10.0,
Intelligent tutoring system,,,,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,1.0,2.0,1.0,1.0,
Learning Management System,,,,,,,,,,,1.0,1.0,1.0,3.0,2.0,1.0,,,1.0,1.0,3.0,
Mobile learning,,,,,,,,,,,2.0,3.0,2.0,1.0,1.0,3.0,3.0,5.0,8.0,8.0,12.0,
Virtual Collaborative Learning,,,,,,,,,,,,,,,,,,,,,,
Atomtronics,,,,,,,,,,,,,,,,,,,,,,
Biodegradable electronics,,,,,,,,,,,,,,,,,,1.0,,,,
Carbon nanotube field-effect transistor,,,,,,,,,,,,,,,,,,,,,,
Digital scent technology,,,,,,,,,,,,,,,,,,,,,,
Dynamic inductive charging,,2.0,6.0,7.0,6.0,5.0,5.0,5.0,5.0,6.0,16.0,12.0,14.0,14.0,13.0,16.0,18.0,18.0,27.0,28.0,20.0,
E-textiles,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,,
Electronic skin,,,,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,1.0,
Flexible display,,,,,,,,,,,,,,,,1.0,,,,,,
Flexible electronics,,,,,,,,,,,,,,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,
Flexible organic light-emitting diode,,,,,,,,,,,,,,,,,,,,,,
Gastrobot,,,,,,,,,,,,,,,,,,,,,,
Holography,,,,,1.0,1.0,1.0,2.0,1.0,1.0,,1.0,2.0,2.0,2.0,3.0,6.0,1.0,1.0,1.0,1.0,
laser diode headlights,,,1.0,,,1.0,,1.0,1.0,2.0,1.0,,,,,1.0,2.0,2.0,,1.0,,
Laser video display,,,,,,,,,,,,,,,,,,,,,,
Memristor,,,,,,,,,,,,,,,,,,,,,,
Multi-level converter,,,,,,,,,,,,,,,,,,,,,,
Nanoelectromechanical systems,,3.0,5.0,5.0,5.0,6.0,4.0,5.0,8.0,11.0,8.0,6.0,6.0,8.0,5.0,6.0,5.0,3.0,3.0,5.0,3.0,
Nanosensor,,,1.0,1.0,1.0,2.0,4.0,5.0,6.0,5.0,4.0,4.0,5.0,5.0,2.0,1.0,,1.0,2.0,2.0,,
Optical transistor,,,,,,,,,,,,,,,,,,,,,,
Phonon laser,,,,,,,,,,,,,,,,,,,,,,
Robotic sensing,,,,,,,,,,,,,,,,,,,,,,
Solid-state transformer,,,,,,,,,,,,,,,,,,,,,,
Spintronics,,,,,,,,,,,,,,,,,,,,,,
three-dimensional integrated circuit,,,,,,,,,,,,,,,,,,,,,,
Twistronics,,,,,,,,,,,,,,,,,,,,,,
Virtual retinal display,,,,,,,,,,,,,,,,,,,,,,
Volumetric display,,,,,,,,,,,,,,,,,,,,,,
3rd generation solar cell,,,,,,,,,,,,,,,,,,,,,,
Airborne wind turbine,,,,,,,,,,,,,,,,,,,,,,
Artificial photosynthesis,,,,,,,,,,,,,,,,,,,,,,
