y,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aeroponics,,,,,,,,,,,,,,,,,,,,,,
agricultural robot,,,,,,,,,,,,,,,,,,,,,,
aquaponics,,,,,,,,,,,,,,,,,,,,,,
cellular agriculture,,,,,,,,,,,,,,,,,,,,,,
closed ecological system,,,,,,,,,,,,,,,,,,,,,,
Controlled ecological life-support system,,,,,,,,,,,,,,,,,,,,,,
Cultured meat,,,,,,,,,,,,,,,,,,,,,,
fogponics,,,,,,,,,,,,,,,,,,,,,,
Genetically modified crops,,,,,,,,,,,1.0,,,,,,,,,,,
Genetically modified food,,,,,,,,,,,,1.0,,,,,,,,,,
Genetically modified organism,,,,,,,,,,,,1.0,,,,,,,,,,
hydroponics,,1.0,1.0,,,,,,,,,,,,,,,,,,,
Insects as food,,,,,,,,,,,,,,,,,,,,,,
meat analogue,,,,,,,,,,,,,,,,,,,,,,
Passive hydroponics,,,,,,,,,,,,,,,,,,,,,,
Precision agriculture,,,,,,,,,,,,,,,,,,,,,,
Precision livestock farming,,,,,,,,,,,,,,,,,,,,,,
Vertical farming,,,,,,,,,,,,,,,,,,,,,,
arcology,,,,,,,,,,,,,,,,,,,,,,
Gesture recognition,,,,,,,,,,,1.0,1.0,,,,,,,,,,
Domed city,,,,,,,,,,,,,,,,,,,,,,
Translucent concrete,,,,,,,,,,,,,,,,,,,,,,
AI Art,,,,,,,,,,,,,,,,,,,,,,
AI Music,,,,,,,,,,,,,,,,,,,,,,
Drone display,,,,,,,,,,,,,,,,,,,,,,
Galliane,,,,,,,,,,,,,,,,,,,,,,
music technology,,,,,,,,,,,,,,,,,,,,,,
artificial island,,,,,,,,,,,,,,,,,,,,,,
Carbon capture and storage,,,,,,,,,,,,,,,,,,,,,,
Carbon dioxide removal,,,,,,,,,,,,,,,,,,,,,,
Carbon sequestration,,,,,,,,,,,,,1.0,1.0,,,,,,,,
Gasoline from Carbon Dioxide,,,,,,,,,,,,,,,,,,,,,,
Microbial electrolysis carbon capture,,,,,,,,,,,,,,,,,,,,,,
