y,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aeroponics,,,,,,,,,2.0,,2.0,3.0,3.0,1.0,9.0,104.0,86.0,102.0,168.0,163.0,56.0,
agricultural robot,,,,,,,,,,,,,,,,11.0,23.0,59.0,45.0,37.0,8.0,
aquaponics,,,,,,,,,,1.0,5.0,7.0,32.0,34.0,52.0,347.0,266.0,305.0,321.0,363.0,133.0,
cellular agriculture,,,,,,,,,,,,,,,,10.0,12.0,37.0,77.0,127.0,54.0,
closed ecological system,,,,,,,,,,,,,1.0,,32.0,112.0,77.0,144.0,225.0,160.0,90.0,
Controlled ecological life-support system,,,,,,,,,,,,,2.0,,,3.0,6.0,1.0,,1.0,,
Cultured meat,,,,,,,,,5.0,3.0,3.0,13.0,19.0,35.0,15.0,328.0,284.0,465.0,1305.0,1598.0,857.0,
fogponics,,,,,,,,,,,,,,,,,2.0,,2.0,,1.0,
Genetically modified crops,,,,,,,,,12.0,13.0,24.0,41.0,50.0,89.0,135.0,1615.0,1186.0,569.0,491.0,341.0,142.0,
Genetically modified food,,,,,,,,,4.0,9.0,7.0,11.0,45.0,45.0,42.0,532.0,413.0,234.0,208.0,151.0,40.0,
Genetically modified organism,,,,,,,,,8.0,16.0,19.0,26.0,89.0,146.0,192.0,2321.0,1570.0,693.0,933.0,726.0,200.0,1.0
hydroponics,,,,,,,,,5.0,3.0,7.0,9.0,12.0,22.0,44.0,404.0,429.0,494.0,617.0,463.0,283.0,
Insects as food,,,,,,,,,,1.0,,1.0,5.0,4.0,3.0,178.0,177.0,140.0,303.0,176.0,77.0,
meat analogue,,,,,,,,,1.0,1.0,2.0,1.0,6.0,6.0,3.0,84.0,120.0,187.0,584.0,1428.0,761.0,
Passive hydroponics,,,,,,,,,,1.0,2.0,1.0,1.0,4.0,3.0,39.0,23.0,42.0,57.0,58.0,17.0,
Precision agriculture,,,,,,,,,10.0,8.0,7.0,14.0,14.0,24.0,35.0,716.0,828.0,1045.0,1306.0,1058.0,477.0,
Precision livestock farming,,,,,,,,,,,,,,,,7.0,9.0,1.0,14.0,37.0,19.0,
Vertical farming,,,,,,,,,,1.0,4.0,3.0,3.0,8.0,22.0,267.0,248.0,439.0,584.0,852.0,333.0,
arcology,,,,,,,,,,,,,3.0,1.0,,5.0,14.0,7.0,5.0,8.0,16.0,
Gesture recognition,,,,,,,,,2.0,3.0,4.0,5.0,10.0,16.0,12.0,569.0,288.0,367.0,386.0,211.0,130.0,
Domed city,,,,,,,,,,,,,,,,,6.0,2.0,2.0,,,
Translucent concrete,,,,,,,,,,,,,,,,2.0,2.0,1.0,23.0,6.0,11.0,
AI Art,,,,,,,,,1.0,1.0,,2.0,,1.0,1.0,8.0,11.0,7.0,25.0,19.0,26.0,
AI Music,,,,,,,,,,1.0,,3.0,2.0,1.0,3.0,22.0,44.0,39.0,49.0,59.0,35.0,
Drone display,,,,,,,,,,,,,,,,1.0,,9.0,1.0,,,
Galliane,,,,,,,,,,,,,,,,,,,,,,
music technology,,,,,,,,,7.0,4.0,13.0,9.0,26.0,32.0,27.0,252.0,241.0,175.0,158.0,119.0,78.0,
artificial island,,,,,,,,,,,,,,,2.0,49.0,154.0,109.0,62.0,40.0,16.0,
Carbon capture and storage,,,,,,,,,24.0,76.0,51.0,59.0,77.0,75.0,119.0,1910.0,1425.0,1419.0,1506.0,1827.0,1385.0,4.0
Carbon dioxide removal,,,,,,,,,,1.0,,,4.0,2.0,4.0,204.0,40.0,75.0,80.0,63.0,44.0,
Carbon sequestration,,,,,,,,,25.0,49.0,39.0,48.0,59.0,39.0,41.0,481.0,388.0,339.0,378.0,490.0,394.0,
Gasoline from Carbon Dioxide,,,,,,,,,,,,,,,,,,,,,,
Microbial electrolysis carbon capture,,,,,,,,,,,,,,,,,,,,,,
3D metal printing,,,,,,,,,2.0,,,6.0,13.0,47.0,69.0,1322.0,932.0,1039.0,1154.0,969.0,364.0,
4d printing,,,,,,,,,,,,,,6.0,14.0,119.0,105.0,154.0,157.0,128.0,65.0,
Anticipatory Life Cycle Analysis,,,,,,,,,,,,,,,,,,,,,,
Artificial muscle,,,,,,,,,,,,6.0,2.0,3.0,8.0,86.0,51.0,91.0,86.0,55.0,20.0,
Bio-manufacturing,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,7.0,69.0,110.0,80.0,101.0,66.0,56.0,
Claytronics,,,,,,,,,,1.0,,,,,,1.0,8.0,15.0,9.0,8.0,1.0,
Construction 3D printing,,,,,,,,,,,,,,,3.0,17.0,46.0,85.0,91.0,81.0,27.0,
Electron-beam additive manufacturing,,,,,,,,,,,,,,,4.0,29.0,32.0,53.0,95.0,31.0,5.0,
Incremental sheet forming,,,,,,,,,,,,,,,,2.0,1.0,,,2.0,,
Life-cycle assessment,,,,,,,,,2.0,13.0,17.0,21.0,12.0,17.0,52.0,443.0,320.0,491.0,736.0,539.0,184.0,
Liquid Crystal Elastomers,,,,,,,,,,2.0,,1.0,1.0,,2.0,45.0,38.0,33.0,34.0,44.0,14.0,
Megatall skyscrapers,,,,,,,,,,,,,,,,,,,,,,
Molecular assembler,,,,,,,,,,,,,,,,1.0,,2.0,,1.0,,
Predictive maintenance,,,,,,,,,,,,,,6.0,10.0,224.0,465.0,665.0,1101.0,805.0,397.0,
Radio-frequency identification,,,,,,,,,49.0,59.0,55.0,47.0,73.0,78.0,207.0,2446.0,2283.0,2530.0,2981.0,1973.0,883.0,
Robot end effector,,,,,,,,,,,,,,,,,,,1.0,14.0,1.0,
self assembly,,,,,,,,,8.0,15.0,22.0,17.0,27.0,24.0,73.0,761.0,650.0,846.0,898.0,818.0,442.0,
Self-reconfiguring modular robot,,,,,,,,,,,,1.0,,1.0,1.0,5.0,2.0,29.0,36.0,34.0,7.0,
Smart highway,,,,,,,,,,,,,2.0,3.0,9.0,112.0,120.0,223.0,303.0,237.0,80.0,
Structural health monitoring,,,,,,,,,1.0,5.0,10.0,11.0,3.0,3.0,4.0,146.0,166.0,213.0,207.0,135.0,57.0,
Supertall building,,,,,,,,,,,,,,,,,,,,1.0,,
utility fog,,,,,,,,,,,,,,,,1.0,1.0,,,,,
Adaptive Learning Technology,,,,,,,,,,,,2.0,1.0,2.0,3.0,51.0,46.0,17.0,26.0,12.0,6.0,
Augmented learning,,,,,,,,,,,,,1.0,,,1.0,9.0,2.0,3.0,19.0,71.0,
Gamifying education,,,,,,,,,1.0,3.0,3.0,32.0,73.0,69.0,118.0,1879.0,1039.0,1229.0,888.0,839.0,569.0,1.0
Intelligent tutoring system,,,,,,,,,,,,,2.0,2.0,1.0,5.0,8.0,2.0,10.0,5.0,4.0,
Learning Management System,,,,,,,,,3.0,12.0,25.0,49.0,57.0,45.0,69.0,588.0,444.0,428.0,845.0,571.0,507.0,
Mobile learning,,,,,,,,,12.0,68.0,105.0,126.0,297.0,403.0,380.0,3771.0,2546.0,1940.0,1784.0,1834.0,6648.0,
Virtual Collaborative Learning,,,,,,,,,,,,,,,,10.0,,1.0,,,1.0,
Atomtronics,,,,,,,,,,,,,,,5.0,4.0,1.0,1.0,2.0,5.0,,
Biodegradable electronics,,,,,,,,,,1.0,,,4.0,,,12.0,16.0,8.0,7.0,5.0,1.0,
Carbon nanotube field-effect transistor,,,,,,,,,,,,,1.0,,,1.0,2.0,3.0,3.0,6.0,4.0,
Digital scent technology,,,,,,,,,,,,,,,,27.0,16.0,51.0,46.0,26.0,15.0,
Dynamic inductive charging,,,,,,,,,13.0,16.0,24.0,58.0,62.0,107.0,249.0,2754.0,2844.0,3776.0,3792.0,4578.0,3250.0,1.0
E-textiles,,,,,,,,,1.0,,,,1.0,4.0,13.0,164.0,179.0,210.0,186.0,146.0,70.0,
Electronic skin,,,,,,,,,,1.0,,3.0,1.0,3.0,8.0,88.0,123.0,152.0,213.0,193.0,141.0,
Flexible display,,,,,,,,,,5.0,3.0,5.0,5.0,15.0,21.0,274.0,119.0,244.0,172.0,178.0,125.0,
Flexible electronics,,,,,,,,,3.0,3.0,1.0,10.0,9.0,16.0,22.0,760.0,429.0,497.0,474.0,421.0,236.0,
Flexible organic light-emitting diode,,,,,,,,,,,,,,,6.0,66.0,18.0,5.0,80.0,35.0,3.0,
Gastrobot,,,,,,,,,,,,,,,,,,,,,,
Holography,,,,,,,,,4.0,4.0,6.0,7.0,7.0,14.0,55.0,221.0,261.0,331.0,356.0,282.0,140.0,
laser diode headlights,,,,,,,,,1.0,1.0,,2.0,,5.0,27.0,101.0,88.0,80.0,91.0,130.0,54.0,
Laser video display,,,,,,,,,1.0,,,,,,,2.0,1.0,10.0,37.0,29.0,25.0,
Memristor,,,,,,,,,3.0,2.0,5.0,5.0,4.0,3.0,5.0,103.0,128.0,99.0,129.0,82.0,40.0,
Multi-level converter,,,,,,,,,,,,,,,,2.0,,,2.0,,1.0,
Nanoelectromechanical systems,,,,,,,,,5.0,8.0,1.0,5.0,1.0,17.0,15.0,238.0,229.0,198.0,182.0,177.0,78.0,
