y,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aeroponics,,,,,,,,,1.0,,,11.0,7.0,3.0,5.0,175.0,109.0,137.0,322.0,453.0,111.0,
agricultural robot,,,,,,,,,,1.0,,,,,1.0,36.0,38.0,70.0,45.0,52.0,9.0,
aquaponics,,,,,,,,,,2.0,6.0,15.0,24.0,34.0,42.0,383.0,375.0,392.0,435.0,406.0,160.0,
cellular agriculture,,,,,,,,,,,,,,,,12.0,8.0,18.0,68.0,113.0,58.0,
closed ecological system,,,,,,,,,,,,2.0,,1.0,36.0,109.0,84.0,292.0,400.0,395.0,270.0,
Controlled ecological life-support system,,,,,,,,,,,,,,,,,,,,,,
Cultured meat,,,,,,,,,3.0,1.0,1.0,6.0,4.0,11.0,8.0,92.0,121.0,162.0,711.0,758.0,429.0,
fogponics,,,,,,,,,,,,,,,,,,,,,,
Genetically modified crops,,,,,,,,,15.0,23.0,33.0,41.0,64.0,100.0,206.0,1773.0,1458.0,745.0,651.0,596.0,168.0,
Genetically modified food,,,,,,,,,7.0,7.0,12.0,14.0,85.0,71.0,72.0,857.0,696.0,294.0,253.0,267.0,80.0,
Genetically modified organism,,,,,,,,,6.0,21.0,19.0,35.0,90.0,203.0,274.0,3284.0,2581.0,845.0,766.0,685.0,229.0,
hydroponics,,,,,,,,,1.0,3.0,,24.0,11.0,22.0,46.0,818.0,863.0,1159.0,1578.0,893.0,458.0,
Insects as food,,,,,,,,,1.0,,1.0,1.0,2.0,9.0,11.0,194.0,179.0,185.0,293.0,181.0,72.0,1.0
meat analogue,,,,,,,,,4.0,2.0,1.0,4.0,8.0,15.0,10.0,433.0,324.0,406.0,864.0,4131.0,2245.0,
Passive hydroponics,,,,,,,,,,,,1.0,,2.0,11.0,165.0,81.0,124.0,206.0,247.0,93.0,
Precision agriculture,,,,,,,,,5.0,7.0,3.0,8.0,12.0,21.0,66.0,1235.0,1209.0,1473.0,2484.0,1789.0,746.0,
Precision livestock farming,,,,,,,,,,,,,,,,,1.0,1.0,11.0,29.0,102.0,
Vertical farming,,,,,,,,,,1.0,1.0,10.0,3.0,4.0,23.0,555.0,633.0,967.0,1287.0,1075.0,503.0,1.0
arcology,,,,,,,,,,,1.0,,,1.0,1.0,5.0,10.0,15.0,23.0,29.0,31.0,
Gesture recognition,,,,,,,,,,3.0,4.0,11.0,15.0,24.0,19.0,521.0,299.0,386.0,400.0,300.0,144.0,
Domed city,,,,,,,,,1.0,,,,,,,2.0,6.0,2.0,2.0,4.0,,
Translucent concrete,,,,,,,,,,,,,,,,4.0,1.0,2.0,24.0,10.0,9.0,
AI Art,,,,,,,,,,1.0,1.0,1.0,,,2.0,2.0,5.0,4.0,15.0,31.0,9.0,
AI Music,,,,,,,,,,,1.0,,,,12.0,11.0,16.0,25.0,32.0,40.0,23.0,
Drone display,,,,,,,,,,,,,,,,2.0,6.0,11.0,14.0,3.0,4.0,
Galliane,,,,,,,,,,,,,,,,,,,,,,
music technology,,,,,,,,,3.0,8.0,3.0,9.0,21.0,15.0,25.0,426.0,234.0,298.0,288.0,151.0,138.0,
artificial island,,,,,,,,,1.0,3.0,5.0,2.0,4.0,2.0,13.0,296.0,202.0,549.0,172.0,183.0,76.0,
Carbon capture and storage,,,,,,,,,45.0,118.0,73.0,59.0,82.0,120.0,242.0,2994.0,1428.0,1628.0,2551.0,2103.0,2257.0,
Carbon dioxide removal,,,,,,,,,,,,1.0,1.0,,6.0,45.0,13.0,64.0,43.0,42.0,39.0,
Carbon sequestration,,,,,,,,,21.0,32.0,30.0,33.0,30.0,35.0,51.0,501.0,213.0,184.0,265.0,443.0,387.0,
Gasoline from Carbon Dioxide,,,,,,,,,,,1.0,,,,,,,,,,,
Microbial electrolysis carbon capture,,,,,,,,,,,,,,,,,,,,,,
3D metal printing,,,,,,,,,1.0,,,3.0,6.0,22.0,64.0,1088.0,922.0,1031.0,1349.0,788.0,399.0,
4d printing,,,,,,,,,,,,,,1.0,6.0,117.0,72.0,95.0,95.0,66.0,38.0,
Anticipatory Life Cycle Analysis,,,,,,,,,,,,,,,,,,,,,,
Artificial muscle,,,,,,,,,,,,,2.0,,2.0,42.0,13.0,19.0,26.0,11.0,,
Bio-manufacturing,,,,,,,,,,,1.0,1.0,1.0,2.0,10.0,64.0,93.0,50.0,67.0,41.0,72.0,
Claytronics,,,,,,,,,,,,,,,1.0,,7.0,10.0,10.0,6.0,1.0,
Construction 3D printing,,,,,,,,,,,,,,,3.0,6.0,12.0,30.0,39.0,26.0,19.0,
Electron-beam additive manufacturing,,,,,,,,,,,,,,,7.0,64.0,82.0,86.0,140.0,46.0,27.0,
Incremental sheet forming,,,,,,,,,,,,,,,,,3.0,,1.0,1.0,1.0,
Life-cycle assessment,,,,,,,,,1.0,2.0,1.0,6.0,11.0,13.0,35.0,304.0,204.0,114.0,219.0,203.0,287.0,
Liquid Crystal Elastomers,,,,,,,,,,,,,,,2.0,3.0,3.0,8.0,6.0,6.0,2.0,
Megatall skyscrapers,,,,,,,,,,,,,,,,,,,1.0,,,
Molecular assembler,,,,,,,,,,,,,,,,,,,,,,
Predictive maintenance,,,,,,,,,1.0,,1.0,1.0,1.0,3.0,12.0,332.0,528.0,1103.0,1304.0,1110.0,678.0,
Radio-frequency identification,,,,,,,,,78.0,86.0,70.0,77.0,107.0,130.0,573.0,8313.0,3756.0,4624.0,6369.0,4563.0,1647.0,
Robot end effector,,,,,,,,,,,,,,,,,,,,20.0,,
self assembly,,,,,,,,,2.0,,1.0,4.0,3.0,3.0,8.0,128.0,187.0,157.0,176.0,92.0,121.0,
Self-reconfiguring modular robot,,,,,,,,,,,,1.0,,2.0,1.0,20.0,8.0,3.0,32.0,20.0,5.0,
Smart highway,,,,,,,,,,,,1.0,5.0,11.0,9.0,218.0,224.0,399.0,460.0,470.0,134.0,
Structural health monitoring,,,,,,,,,,2.0,4.0,1.0,,,2.0,45.0,100.0,118.0,148.0,127.0,91.0,
Supertall building,,,,,,,,,,,,,,,,2.0,7.0,4.0,3.0,1.0,2.0,
utility fog,,,,,,,,,,,,,,,,,,,,,,
Adaptive Learning Technology,,,,,,,,,,,,2.0,3.0,3.0,7.0,26.0,20.0,15.0,22.0,34.0,7.0,
Augmented learning,,,,,,,,,,,,,,1.0,,1.0,1.0,,14.0,6.0,8.0,
Gamifying education,,,,,,,,,1.0,1.0,6.0,51.0,96.0,89.0,154.0,1959.0,1319.0,1298.0,1531.0,1266.0,903.0,1.0
Intelligent tutoring system,,,,,,,,,,,,,,,,1.0,1.0,3.0,4.0,4.0,2.0,
Learning Management System,,,,,,,,,1.0,17.0,36.0,57.0,59.0,61.0,94.0,1018.0,789.0,601.0,1162.0,796.0,568.0,
Mobile learning,,,,,,,,,23.0,26.0,88.0,109.0,205.0,252.0,300.0,4335.0,2604.0,2454.0,3123.0,2553.0,7616.0,5.0
Virtual Collaborative Learning,,,,,,,,,,,,,,,,,,1.0,,,,
Atomtronics,,,,,,,,,,,,,,,,1.0,,1.0,,,,
Biodegradable electronics,,,,,,,,,,,,,,,,3.0,6.0,8.0,3.0,2.0,1.0,
Carbon nanotube field-effect transistor,,,,,,,,,,,,,,,,,,1.0,,2.0,,
Digital scent technology,,,,,,,,,,,,,,,,42.0,24.0,68.0,60.0,32.0,17.0,
Dynamic inductive charging,,,,,,,,,25.0,36.0,47.0,64.0,115.0,163.0,346.0,4532.0,3527.0,5396.0,4704.0,4857.0,3245.0,
E-textiles,,,,,,,,,1.0,,,,,3.0,3.0,593.0,155.0,172.0,192.0,117.0,82.0,
Electronic skin,,,,,,,,,,,,1.0,,2.0,1.0,13.0,50.0,16.0,80.0,89.0,76.0,
Flexible display,,,,,,,,,1.0,2.0,,2.0,5.0,32.0,46.0,312.0,198.0,446.0,347.0,431.0,147.0,
Flexible electronics,,,,,,,,,2.0,,3.0,5.0,7.0,7.0,17.0,543.0,406.0,454.0,364.0,165.0,138.0,
Flexible organic light-emitting diode,,,,,,,,,,,,,,3.0,,10.0,76.0,33.0,97.0,52.0,12.0,
Gastrobot,,,,,,,,,,,,,,,,,,,,,,
Holography,,,,,,,,,3.0,1.0,,1.0,1.0,1.0,6.0,91.0,154.0,140.0,239.0,166.0,81.0,
laser diode headlights,,,,,,,,,2.0,,1.0,2.0,,5.0,25.0,149.0,81.0,96.0,319.0,152.0,65.0,
Laser video display,,,,,,,,,,,,1.0,,,,4.0,2.0,45.0,73.0,42.0,26.0,
Memristor,,,,,,,,,2.0,,5.0,2.0,2.0,5.0,8.0,29.0,38.0,44.0,25.0,17.0,13.0,
Multi-level converter,,,,,,,,,,,,,,,,,,,1.0,,,
Nanoelectromechanical systems,,,,,,,,,1.0,2.0,3.0,4.0,6.0,15.0,2.0,55.0,227.0,142.0,179.0,130.0,41.0,
Nanosensor,,,,,,,,,,,,,,,8.0,67.0,18.0,24.0,35.0,17.0,19.0,
Optical transistor,,,,,,,,,,,,,,,,1.0,,,9.0,,1.0,
Phonon laser,,,,,,,,,,,,,,,,,3.0,,3.0,2.0,2.0,
Robotic sensing,,,,,,,,,,,,,,,1.0,1.0,,9.0,1.0,2.0,1.0,
Solid-state transformer,,,,,,,,,,,,,4.0,3.0,1.0,16.0,19.0,10.0,43.0,13.0,10.0,
Spintronics,,,,,,,,,,,2.0,,1.0,6.0,8.0,95.0,92.0,182.0,426.0,181.0,61.0,
three-dimensional integrated circuit,,,,,,,,,,,,,2.0,2.0,5.0,78.0,73.0,63.0,78.0,35.0,33.0,
Twistronics,,,,,,,,,,,,,,,,,,,,1.0,1.0,
Virtual retinal display,,,,,,,,,,,,,,2.0,,25.0,55.0,44.0,30.0,15.0,5.0,
Volumetric display,,,,,,,,,,,,,,,2.0,100.0,43.0,26.0,80.0,40.0,49.0,
