y,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aeroponics,,,,,,,,,1.0,1.0,3.0,10.0,5.0,5.0,5.0,83.0,141.0,93.0,154.0,290.0,53.0,
agricultural robot,,,,,,,,,,,,,,,,13.0,13.0,40.0,40.0,27.0,3.0,
aquaponics,,,,,,,,,,2.0,6.0,14.0,24.0,39.0,45.0,387.0,284.0,320.0,283.0,316.0,101.0,
cellular agriculture,,,,,,,,,,,,,,,,19.0,25.0,14.0,55.0,92.0,37.0,
closed ecological system,,,,,,,,,,1.0,,10.0,,,7.0,99.0,73.0,117.0,211.0,199.0,129.0,1.0
Controlled ecological life-support system,,,,,,,,,,,,,,,,,1.0,,,,,
Cultured meat,,,,,,,,,5.0,1.0,,5.0,4.0,9.0,6.0,54.0,99.0,140.0,409.0,701.0,278.0,
fogponics,,,,,,,,,,,,,,,,,1.0,,,2.0,1.0,
Genetically modified crops,,,,,,,,,17.0,15.0,22.0,35.0,47.0,87.0,183.0,1591.0,1080.0,571.0,382.0,410.0,142.0,
Genetically modified food,,,,,,,,,5.0,2.0,9.0,15.0,55.0,55.0,40.0,540.0,413.0,229.0,141.0,134.0,40.0,
Genetically modified organism,,,,,,,,,1.0,11.0,16.0,38.0,93.0,164.0,240.0,2868.0,1737.0,787.0,724.0,516.0,188.0,
hydroponics,,,,,,,,,3.0,3.0,8.0,21.0,19.0,18.0,54.0,643.0,489.0,585.0,673.0,485.0,255.0,
Insects as food,,,,,,,,,,,,,2.0,3.0,8.0,177.0,126.0,86.0,226.0,155.0,66.0,
meat analogue,,,,,,,,,4.0,4.0,3.0,6.0,14.0,13.0,41.0,161.0,262.0,262.0,657.0,2388.0,1531.0,5.0
Passive hydroponics,,,,,,,,,,1.0,1.0,,6.0,2.0,11.0,54.0,82.0,36.0,69.0,93.0,15.0,
Precision agriculture,,,,,,,,,6.0,8.0,14.0,6.0,9.0,19.0,36.0,1148.0,1011.0,1088.0,1280.0,1073.0,418.0,
Precision livestock farming,,,,,,,,,,,,,,,,,4.0,1.0,19.0,21.0,18.0,
Vertical farming,,,,,,,,,1.0,3.0,7.0,10.0,6.0,4.0,8.0,260.0,352.0,452.0,511.0,735.0,351.0,
arcology,,,,,,,,,1.0,,,,2.0,3.0,1.0,55.0,19.0,42.0,26.0,25.0,20.0,
Gesture recognition,,,,,,,,,3.0,2.0,9.0,4.0,27.0,25.0,22.0,583.0,409.0,386.0,383.0,262.0,159.0,
Domed city,,,,,,,,,,,,,1.0,1.0,1.0,5.0,4.0,4.0,6.0,4.0,4.0,
Translucent concrete,,,,,,,,,,1.0,,1.0,,,1.0,3.0,1.0,,18.0,9.0,1.0,
AI Art,,,,,,,,,1.0,,,3.0,3.0,,10.0,6.0,9.0,12.0,47.0,83.0,27.0,
AI Music,,,,,,,,,1.0,3.0,,2.0,3.0,2.0,11.0,41.0,54.0,56.0,50.0,74.0,50.0,
Drone display,,,,,,,,,,,,,,,,5.0,8.0,7.0,19.0,19.0,21.0,
Galliane,,,,,,,,,,,,,,,1.0,4.0,,,,,,
music technology,,,,,,,,,36.0,32.0,38.0,33.0,63.0,53.0,42.0,362.0,318.0,236.0,275.0,169.0,131.0,
artificial island,,,,,,,,,2.0,,4.0,1.0,,2.0,7.0,430.0,391.0,382.0,223.0,289.0,63.0,
Carbon capture and storage,,,,,,,,,46.0,74.0,64.0,57.0,114.0,152.0,187.0,2083.0,1195.0,1301.0,1435.0,1892.0,1792.0,2.0
Carbon dioxide removal,,,,,,,,,,1.0,,3.0,2.0,1.0,7.0,60.0,36.0,29.0,52.0,41.0,32.0,
Carbon sequestration,,,,,,,,,14.0,30.0,20.0,15.0,24.0,27.0,20.0,290.0,200.0,155.0,239.0,289.0,308.0,
Gasoline from Carbon Dioxide,,,,,,,,,,,,,,,,,,,,,,
Microbial electrolysis carbon capture,,,,,,,,,,,,,,,,,,,,,,
3D metal printing,,,,,,,,,1.0,1.0,1.0,3.0,22.0,38.0,107.0,1628.0,1183.0,1311.0,1393.0,1017.0,398.0,
4d printing,,,,,,,,,,,,,,4.0,24.0,142.0,127.0,141.0,155.0,109.0,57.0,
Anticipatory Life Cycle Analysis,,,,,,,,,,,,,,,,,,,,,,
Artificial muscle,,,,,,,,,,,3.0,1.0,4.0,1.0,12.0,63.0,73.0,53.0,44.0,28.0,17.0,
Bio-manufacturing,,,,,,,,,,,1.0,2.0,3.0,2.0,10.0,71.0,93.0,35.0,60.0,54.0,25.0,
Claytronics,,,,,,,,,,1.0,,,,,1.0,,9.0,14.0,6.0,5.0,1.0,
Construction 3D printing,,,,,,,,,,,,,,2.0,,14.0,26.0,60.0,77.0,55.0,17.0,
Electron-beam additive manufacturing,,,,,,,,,,,,,,,2.0,60.0,18.0,27.0,58.0,40.0,7.0,
Incremental sheet forming,,,,,,,,,,,,,,,,,,,2.0,5.0,,
Life-cycle assessment,,,,,,,,,1.0,3.0,9.0,12.0,5.0,9.0,52.0,290.0,214.0,129.0,246.0,402.0,110.0,
Liquid Crystal Elastomers,,,,,,,,,,,,,1.0,,3.0,16.0,25.0,24.0,49.0,25.0,9.0,
Megatall skyscrapers,,,,,,,,,,,,,,,,,3.0,,3.0,,,
Molecular assembler,,,,,,,,,,,,,,1.0,,1.0,2.0,,1.0,,1.0,
Predictive maintenance,,,,,,,,,,1.0,,,2.0,5.0,14.0,371.0,467.0,844.0,1505.0,941.0,477.0,
Radio-frequency identification,,,,,,,,,77.0,89.0,86.0,83.0,115.0,135.0,262.0,4262.0,3188.0,3065.0,3842.0,2860.0,1163.0,1.0
Robot end effector,,,,,,,,,,,,,,,,,,,3.0,10.0,1.0,
self assembly,,,,,,,,,6.0,7.0,4.0,2.0,15.0,14.0,33.0,525.0,501.0,508.0,594.0,468.0,316.0,
Self-reconfiguring modular robot,,,,,,,,,,,,,,1.0,1.0,14.0,8.0,17.0,19.0,18.0,1.0,
Smart highway,,,,,,,,,1.0,1.0,3.0,,1.0,5.0,11.0,106.0,170.0,262.0,311.0,320.0,94.0,
Structural health monitoring,,,,,,,,,1.0,1.0,2.0,2.0,1.0,3.0,2.0,70.0,101.0,122.0,146.0,85.0,61.0,
Supertall building,,,,,,,,,,,,1.0,,,,2.0,11.0,4.0,4.0,3.0,,
utility fog,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,
Adaptive Learning Technology,,,,,,,,,,,,1.0,,2.0,4.0,50.0,24.0,16.0,27.0,24.0,6.0,
Augmented learning,,,,,,,,,,,,,,1.0,,3.0,1.0,1.0,7.0,6.0,9.0,
Gamifying education,,,,,,,,,,1.0,6.0,56.0,104.0,92.0,164.0,2021.0,1296.0,1221.0,1396.0,1207.0,728.0,
Intelligent tutoring system,,,,,,,,,,,,,1.0,1.0,,2.0,11.0,1.0,14.0,2.0,,
Learning Management System,,,,,,,,,8.0,35.0,67.0,95.0,88.0,76.0,95.0,831.0,714.0,584.0,571.0,486.0,549.0,
Mobile learning,,,,,,,,,35.0,57.0,95.0,132.0,255.0,337.0,393.0,3617.0,2573.0,1898.0,2013.0,1818.0,8032.0,2.0
Virtual Collaborative Learning,,,,,,,,,,,,,,,,,,1.0,,,1.0,
Atomtronics,,,,,,,,,,,,,,,3.0,6.0,2.0,1.0,,3.0,,
Biodegradable electronics,,,,,,,,,,,,,2.0,,,11.0,,3.0,7.0,2.0,,
Carbon nanotube field-effect transistor,,,,,,,,,,,,,,,,,2.0,3.0,2.0,2.0,1.0,
Digital scent technology,,,,,,,,,,,,,,,,19.0,13.0,25.0,39.0,25.0,14.0,
Dynamic inductive charging,,,,,,,,,16.0,39.0,45.0,58.0,138.0,224.0,383.0,5943.0,5034.0,10434.0,7856.0,11153.0,7010.0,5.0
E-textiles,,,,,,,,,2.0,2.0,1.0,,,3.0,17.0,183.0,206.0,171.0,170.0,136.0,63.0,
Electronic skin,,,,,,,,,,1.0,,,,3.0,8.0,101.0,68.0,99.0,189.0,129.0,123.0,
Flexible display,,,,,,,,,1.0,4.0,2.0,1.0,9.0,60.0,40.0,316.0,186.0,322.0,317.0,516.0,177.0,
Flexible electronics,,,,,,,,,2.0,2.0,3.0,4.0,4.0,17.0,18.0,957.0,390.0,422.0,442.0,348.0,185.0,
Flexible organic light-emitting diode,,,,,,,,,,,,,,1.0,,7.0,41.0,12.0,9.0,21.0,5.0,
Gastrobot,,,,,,,,,,,,,,,,,,,,,,
Holography,,,,,,,,,2.0,5.0,4.0,3.0,2.0,9.0,11.0,139.0,199.0,255.0,197.0,292.0,120.0,
laser diode headlights,,,,,,,,,2.0,3.0,2.0,5.0,2.0,7.0,27.0,184.0,92.0,111.0,128.0,148.0,49.0,
Laser video display,,,,,,,,,4.0,1.0,,1.0,,4.0,,1.0,2.0,63.0,106.0,74.0,30.0,
Memristor,,,,,,,,,3.0,2.0,2.0,6.0,5.0,5.0,3.0,173.0,133.0,86.0,135.0,67.0,58.0,
Multi-level converter,,,,,,,,,,,,,,,1.0,,,,6.0,1.0,,
Nanoelectromechanical systems,,,,,,,,,5.0,5.0,,4.0,2.0,21.0,9.0,173.0,133.0,194.0,158.0,113.0,67.0,
Nanosensor,,,,,,,,,1.0,2.0,,2.0,1.0,1.0,5.0,25.0,59.0,56.0,36.0,37.0,43.0,
Optical transistor,,,,,,,,,,1.0,,1.0,,,,8.0,3.0,,1.0,,5.0,
Phonon laser,,,,,,,,,,,,,,,,7.0,15.0,,6.0,12.0,14.0,
Robotic sensing,,,,,,,,,,,,,,,,,4.0,7.0,2.0,6.0,5.0,
Solid-state transformer,,,,,,,,,,,,,1.0,1.0,1.0,12.0,9.0,6.0,25.0,13.0,8.0,
Spintronics,,,,,,,,,6.0,4.0,17.0,13.0,17.0,22.0,40.0,383.0,278.0,293.0,430.0,387.0,250.0,
three-dimensional integrated circuit,,,,,,,,,,,,,1.0,5.0,16.0,88.0,100.0,55.0,39.0,47.0,25.0,
Twistronics,,,,,,,,,,,,,,,,,,,1.0,13.0,26.0,
Virtual retinal display,,,,,,,,,,,,,,1.0,,43.0,26.0,17.0,17.0,18.0,4.0,
Volumetric display,,,,,,,,,,,1.0,1.0,,,1.0,58.0,37.0,11.0,64.0,17.0,16.0,
3rd generation solar cell,,,,,,,,,,,,,,,,,1.0,,,,,
Airborne wind turbine,,,,,,,,,,,,1.0,3.0,,1.0,3.0,11.0,,3.0,,,
Artificial photosynthesis,,,,,,,,,,2.0,4.0,2.0,11.0,12.0,14.0,256.0,91.0,150.0,243.0,93.0,56.0,
Biobattery,,,,,,,,,,,,,,,2.0,6.0,5.0,3.0,9.0,1.0,3.0,
Biomass to liquid,,,,,,,,,,,,1.0,,1.0,1.0,11.0,18.0,1.0,12.0,,2.0,
Coal liquefaction,,,,,,,,,11.0,2.0,,3.0,1.0,1.0,3.0,27.0,55.0,26.0,25.0,39.0,15.0,
Combined Cycle Gas Turbine Plant,,,,,,,,,1.0,1.0,1.0,6.0,7.0,4.0,20.0,479.0,268.0,188.0,244.0,187.0,52.0,
concentrated solar power,,,,,,,,,4.0,3.0,12.0,14.0,12.0,16.0,39.0,221.0,196.0,182.0,253.0,173.0,81.0,
CZTS solar cell,,,,,,,,,,,1.0,,1.0,1.0,,4.0,6.0,1.0,2.0,,,
Dye-sensitized solar cell,,,,,,,,,2.0,2.0,2.0,,5.0,1.0,1.0,25.0,41.0,28.0,27.0,28.0,13.0,
Electric vehicle battery fast charge,,,,,,,,,3.0,12.0,24.0,60.0,102.0,133.0,122.0,1932.0,1449.0,1487.0,1633.0,1751.0,1284.0,1.0
Energy harvesting,,,,,,,,,1.0,3.0,10.0,20.0,23.0,24.0,44.0,1222.0,900.0,954.0,896.0,675.0,322.0,
Floating Liquefied Natural Gas,,,,,,,,,,1.0,,6.0,6.0,5.0,38.0,516.0,299.0,262.0,285.0,193.0,44.0,
Flywheel energy storage,,,,,,,,,,1.0,1.0,6.0,3.0,1.0,4.0,19.0,54.0,40.0,49.0,23.0,9.0,
Fourth-generation biofuel,,,,,,,,,2.0,2.0,3.0,3.0,4.0,4.0,14.0,150.0,102.0,44.0,88.0,52.0,24.0,
Fusion power,,,,,,,,,2.0,5.0,2.0,4.0,5.0,7.0,18.0,150.0,139.0,84.0,132.0,156.0,93.0,
Gas generator,,,,,,,,,,2.0,,4.0,4.0,5.0,12.0,330.0,182.0,139.0,208.0,109.0,55.0,
Gas-cooled fast reactor,,,,,,,,,,,,,,,,,,,,,,
Gasification,,,,,,,,,43.0,19.0,10.0,22.0,41.0,47.0,60.0,900.0,614.0,609.0,633.0,436.0,194.0,
Generation IV reactor,,,,,,,,,,,,,,,,4.0,1.0,3.0,2.0,2.0,4.0,
Grid energy storage,,,,,,,,,2.0,2.0,1.0,1.0,8.0,9.0,14.0,128.0,147.0,168.0,241.0,162.0,112.0,
Holograms for solar,,,,,,,,,,,,,,,,,,,,,,
Home fuel cell,,,,,,,,,,,1.0,,,,,,,,1.0,,,
Hydrogen fuel,,,,,,,,,23.0,21.0,25.0,30.0,27.0,59.0,184.0,1890.0,1302.0,1597.0,1569.0,1806.0,1558.0,1.0
Lead-cooled fast reactor,,,,,,,,,,,,,,,,7.0,,1.0,3.0,,,
Liquid fluoride thorium reactor,,,,,,,,,,,,1.0,1.0,,,,3.0,4.0,3.0,1.0,1.0,
Liquid metal battery,,,,,,,,,,,,,6.0,3.0,4.0,17.0,4.0,4.0,7.0,1.0,9.0,
Lithium ion battery,,,,,,,,,44.0,95.0,44.0,70.0,95.0,162.0,256.0,3383.0,3135.0,3430.0,4272.0,3701.0,1745.0,
Lithium iron phosphate battery,,,,,,,,,,,1.0,,2.0,3.0,7.0,20.0,42.0,17.0,16.0,51.0,94.0,
Lithium-air battery,,,,,,,,,,1.0,1.0,3.0,3.0,12.0,2.0,64.0,49.0,19.0,72.0,18.0,13.0,
Lithium-sulfur battery,,,,,,,,,1.0,,,,,3.0,3.0,32.0,19.0,27.0,66.0,39.0,28.0,
Magnesium battery,,,,,,,,,,,,,1.0,,,17.0,13.0,14.0,47.0,9.0,2.0,
Microbial electrolysis cell,,,,,,,,,,,,,,,,3.0,,,1.0,1.0,,
Microreactor,,,,,,,,,,,,,,,2.0,16.0,6.0,24.0,30.0,45.0,26.0,
Mini Bioreactors,,,,,,,,,,,,1.0,,,,1.0,4.0,1.0,1.0,1.0,,
Modular Reactors,,,,,,,,,,,3.0,11.0,10.0,11.0,17.0,121.0,135.0,148.0,160.0,205.0,178.0,
Molten salt reactor,,,,,,,,,,,,,,3.0,,47.0,35.0,46.0,22.0,25.0,13.0,
Nanocharging Solar,,,,,,,,,,,,,,,,,,,,,,
Nanowire battery,,,,,,,,,,,,,,,,,11.0,12.0,15.0,9.0,,
Ocean thermal energy conversion,,,,,,,,,2.0,2.0,1.0,1.0,3.0,4.0,5.0,52.0,30.0,46.0,61.0,60.0,16.0,
Oil detection,,,,,,,,,13.0,13.0,28.0,33.0,123.0,80.0,294.0,3467.0,4047.0,4473.0,10435.0,5554.0,918.0,
Optical rectenna,,,,,,,,,,,,1.0,,1.0,4.0,43.0,3.0,12.0,24.0,17.0,12.0,
Organic solar cell,,,,,,,,,,,2.0,1.0,1.0,8.0,5.0,77.0,40.0,25.0,72.0,30.0,12.0,
Perovskite solar cell,,,,,,,,,,,,,,,9.0,55.0,76.0,86.0,151.0,59.0,51.0,
Power-to-X,,,,,,,,,,,,,,,,,,1.0,22.0,24.0,25.0,
Proton Battery,,,,,,,,,,,,,,,,,,,35.0,13.0,1.0,
Quantum dot solar cell,,,,,,,,,,,,,,1.0,2.0,4.0,5.0,8.0,3.0,1.0,3.0,
second-generation biofuels,,,,,,,,,27.0,25.0,26.0,20.0,36.0,41.0,233.0,504.0,192.0,183.0,139.0,68.0,24.0,
Smart grid,,,,,,,,,18.0,154.0,171.0,161.0,327.0,568.0,272.0,3258.0,1960.0,2097.0,2112.0,1415.0,515.0,1.0
Sodium-cooled fast reactor,,,,,,,,,1.0,1.0,,,,5.0,3.0,4.0,1.0,2.0,9.0,5.0,1.0,
Space-based solar power,,,,,,,,,1.0,1.0,,2.0,1.0,,14.0,21.0,17.0,18.0,75.0,86.0,24.0,
Supercapacitor,,,,,,,,,1.0,2.0,3.0,6.0,8.0,15.0,39.0,547.0,613.0,495.0,671.0,478.0,279.0,
Supercritical water reactor,,,,,,,,,,,,,,,,,,,,,1.0,
Third-generation biofuels,,,,,,,,,1.0,5.0,5.0,6.0,15.0,10.0,10.0,95.0,83.0,60.0,54.0,19.0,15.0,
Thorium fuel cycle,,,,,,,,,,,,1.0,3.0,2.0,,3.0,2.0,3.0,,3.0,5.0,
Triboelectric Nanogenerator,,,,,,,,,,,,,,,3.0,4.0,20.0,11.0,44.0,43.0,25.0,
Virtual power Plant,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,26.0,87.0,107.0,240.0,189.0,100.0,1.0
Vortex engine,,,,,,,,,,,,1.0,2.0,,1.0,6.0,4.0,1.0,2.0,,,
Wireless power transfer,,,,,,,,,2.0,1.0,,2.0,9.0,7.0,26.0,297.0,114.0,191.0,197.0,98.0,70.0,
Zero-energy building,,,,,,,,,1.0,1.0,3.0,2.0,3.0,3.0,7.0,39.0,41.0,52.0,80.0,70.0,43.0,
Automated journalism,,,,,,,,,,,,,,,,9.0,30.0,9.0,8.0,4.0,1.0,
Foundation garment,,,,,,,,,1.0,3.0,2.0,7.0,13.0,7.0,48.0,213.0,138.0,134.0,152.0,739.0,373.0,
Haptic feedback systems,,,,,,,,,3.0,10.0,8.0,13.0,20.0,14.0,36.0,447.0,335.0,256.0,193.0,197.0,204.0,
Wearable journalism,,,,,,,,,3.0,10.0,7.0,15.0,28.0,202.0,1901.0,38162.0,16577.0,13895.0,11470.0,11455.0,5288.0,
Cryptocurrency,,,,,,,,,13.0,44.0,59.0,44.0,51.0,205.0,873.0,6636.0,5823.0,32616.0,71799.0,39104.0,14077.0,28.0
Stablecoin,,,,,,,,,,,,,,,,,1.0,8.0,897.0,2066.0,862.0,
Companion robot,,,,,,,,,,1.0,,1.0,1.0,1.0,14.0,181.0,120.0,183.0,240.0,96.0,45.0,
Cryonics,,,,,,,,,2.0,3.0,1.0,3.0,2.0,,2.0,70.0,217.0,67.0,37.0,47.0,29.0,
Extreme Life extension,,,,,,,,,80.0,132.0,224.0,167.0,332.0,621.0,740.0,9737.0,7274.0,8090.0,7279.0,10639.0,4853.0,24.0
Suspended animation,,,,,,,,,,6.0,7.0,10.0,7.0,5.0,28.0,131.0,316.0,89.0,142.0,150.0,171.0,1.0
5D DVD,,,,,,,,,,,,,,,,,37.0,1.0,4.0,,,
5g,,,,,,,,,5.0,5.0,13.0,11.0,36.0,79.0,228.0,4237.0,7824.0,14120.0,36481.0,76298.0,55343.0,18.0
6G,,,,,,,,,3.0,9.0,11.0,17.0,28.0,29.0,69.0,1037.0,1564.0,599.0,631.0,1261.0,784.0,2.0
Ambient intelligence,,,,,,,,,3.0,5.0,5.0,7.0,11.0,10.0,20.0,481.0,144.0,92.0,126.0,79.0,37.0,
Artificial brain,,,,,,,,,1.0,5.0,5.0,,,8.0,2.0,47.0,69.0,41.0,25.0,9.0,32.0,
Artificial general intelligence,,,,,,,,,70.0,106.0,69.0,131.0,147.0,172.0,592.0,11006.0,25246.0,53580.0,70545.0,64084.0,32563.0,12.0
Atmospheric satellite,,,,,,,,,,,,,,,2.0,3.0,11.0,2.0,,,1.0,
Automatic AI debugging,,,,,,,,,,,,,,,,,,,,,,
Cloud computing,,,,,,,,,224.0,394.0,731.0,1109.0,1519.0,1363.0,3841.0,108432.0,23559.0,22157.0,21969.0,17865.0,9057.0,1.0
Compressive Sensing,,,,,,,,,,2.0,2.0,,,1.0,2.0,17.0,14.0,18.0,17.0,21.0,5.0,
Deep learning,,,,,,,,,,,,4.0,13.0,24.0,103.0,1495.0,4237.0,10312.0,9351.0,8057.0,3704.0,3.0
deep trench capacitor,,,,,,,,,,,,,,,,,,10.0,,,1.0,
Digital image processing,,,,,,,,,24.0,29.0,42.0,31.0,81.0,73.0,159.0,1764.0,1446.0,1731.0,2016.0,1895.0,993.0,
Digital image segmentation,,,,,,,,,,,,,,,,,,,,1.0,,
Distributed ledger,,,,,,,,,20.0,19.0,33.0,16.0,19.0,49.0,132.0,3409.0,10667.0,36792.0,85133.0,48883.0,15184.0,30.0
DNA Computing,,,,,,,,,,1.0,,,1.0,,2.0,26.0,3.0,8.0,11.0,15.0,7.0,
DNA digital data storage,,,,,,,,,,,,,,,,,4.0,,,,2.0,
Edge Computing,,,,,,,,,,1.0,,,2.0,8.0,26.0,1473.0,602.0,1810.0,3357.0,3621.0,2060.0,
Edge enhancement,,,,,,,,,,,,,1.0,,2.0,5.0,6.0,8.0,27.0,2.0,2.0,
Embedded systems in substrate,,,,,,,,,,,,,,,,,,,,,,
