y,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aeroponics,,,,2.0,3.0,4.0,2.0,,6.0,,6.0,6.0,3.0,6.0,21.0,8.0,20.0,13.0,20.0,23.0,40.0,
agricultural robot,,,,,,,1.0,,,,1.0,1.0,2.0,6.0,1.0,4.0,7.0,5.0,9.0,6.0,12.0,
aquaponics,,,,,,,,,,,1.0,2.0,4.0,6.0,8.0,11.0,11.0,11.0,12.0,15.0,12.0,
cellular agriculture,,,,,,,,,,,,,,,,,,,,,3.0,
closed ecological system,,,,,,,,,,,,,,,4.0,1.0,,2.0,4.0,4.0,5.0,
Controlled ecological life-support system,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,
Cultured meat,,,,,,,,,,,,,,,1.0,,,,,1.0,5.0,
fogponics,,,,,,,,,,,,,,,,,,,,,2.0,
Genetically modified crops,,,2.0,2.0,3.0,5.0,6.0,5.0,8.0,7.0,8.0,6.0,4.0,14.0,13.0,9.0,12.0,15.0,13.0,13.0,15.0,
Genetically modified food,,,,,2.0,4.0,,5.0,2.0,5.0,7.0,4.0,7.0,2.0,5.0,3.0,4.0,2.0,,1.0,2.0,
Genetically modified organism,1.0,1.0,6.0,5.0,4.0,4.0,7.0,6.0,10.0,9.0,9.0,8.0,12.0,12.0,17.0,22.0,11.0,27.0,27.0,23.0,27.0,
hydroponics,4.0,2.0,8.0,6.0,4.0,3.0,4.0,1.0,7.0,8.0,5.0,7.0,14.0,13.0,31.0,25.0,39.0,46.0,37.0,54.0,38.0,
Insects as food,,,2.0,2.0,1.0,1.0,,,,1.0,1.0,,1.0,,3.0,1.0,1.0,2.0,7.0,9.0,6.0,
meat analogue,,2.0,,4.0,5.0,4.0,3.0,,3.0,6.0,3.0,4.0,5.0,1.0,5.0,3.0,3.0,4.0,9.0,12.0,16.0,1.0
Passive hydroponics,6.0,6.0,7.0,3.0,2.0,3.0,3.0,1.0,4.0,4.0,1.0,4.0,17.0,19.0,26.0,9.0,27.0,18.0,35.0,76.0,27.0,
Precision agriculture,3.0,3.0,4.0,9.0,8.0,10.0,7.0,11.0,8.0,5.0,9.0,9.0,4.0,8.0,10.0,29.0,37.0,24.0,48.0,45.0,43.0,
Precision livestock farming,,,,,,,,,,,1.0,,,1.0,,,1.0,,,,,
Vertical farming,,,,,,,,,,,,,,,,,3.0,,4.0,12.0,6.0,
arcology,,,,,,,,,,,,,,,,,,,,,,
Gesture recognition,6.0,6.0,22.0,19.0,15.0,45.0,53.0,35.0,38.0,44.0,64.0,84.0,159.0,198.0,273.0,297.0,368.0,340.0,349.0,386.0,509.0,2.0
Domed city,,,,,,,,,,1.0,,,,,,,,,,,,
Translucent concrete,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,2.0,7.0,
AI Art,,,,,,,,,,1.0,,,,,,,,,,,,
AI Music,,3.0,8.0,5.0,16.0,8.0,7.0,10.0,8.0,5.0,5.0,4.0,3.0,1.0,9.0,12.0,6.0,6.0,9.0,14.0,17.0,
Drone display,,,,,,,,,,,,,,,,,,1.0,,1.0,2.0,
Galliane,,,,,,,,,,,,,,,,,,,,,,
music technology,,,,,,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,2.0,1.0,,,1.0,3.0,,2.0,
artificial island,1.0,1.0,,1.0,,,2.0,2.0,2.0,,2.0,2.0,2.0,6.0,1.0,4.0,,1.0,3.0,,8.0,
Carbon capture and storage,,,,,1.0,5.0,3.0,3.0,10.0,8.0,34.0,52.0,69.0,91.0,93.0,91.0,80.0,105.0,63.0,70.0,94.0,
Carbon dioxide removal,7.0,5.0,4.0,4.0,6.0,4.0,5.0,9.0,7.0,8.0,14.0,11.0,6.0,21.0,26.0,19.0,14.0,16.0,11.0,17.0,15.0,
Carbon sequestration,,,3.0,1.0,7.0,8.0,5.0,9.0,14.0,14.0,28.0,31.0,30.0,37.0,50.0,36.0,40.0,48.0,49.0,49.0,42.0,
Gasoline from Carbon Dioxide,,,,,,,,,,,,,,,,,,,,,,
Microbial electrolysis carbon capture,,,,,,,,,,,,,,,,,,,,,,
3D metal printing,,,5.0,2.0,1.0,3.0,,3.0,2.0,4.0,8.0,10.0,12.0,25.0,52.0,117.0,227.0,267.0,318.0,436.0,678.0,1.0
4d printing,,,,,,,,,,,,,,,,1.0,,2.0,2.0,8.0,15.0,
Anticipatory Life Cycle Analysis,,,,,,,,,,,,,,,,,,,,,,
Artificial muscle,1.0,2.0,5.0,12.0,10.0,11.0,19.0,37.0,21.0,33.0,38.0,27.0,30.0,30.0,25.0,31.0,35.0,25.0,31.0,31.0,39.0,
Bio-manufacturing,,2.0,,2.0,,2.0,,,,1.0,,,1.0,4.0,2.0,1.0,1.0,6.0,9.0,5.0,4.0,
Claytronics,,,,,,,,,2.0,,,1.0,,,,,,,,,,
Construction 3D printing,,1.0,2.0,1.0,1.0,1.0,3.0,8.0,5.0,3.0,6.0,4.0,1.0,4.0,7.0,7.0,7.0,13.0,22.0,35.0,37.0,
Electron-beam additive manufacturing,1.0,2.0,1.0,3.0,6.0,7.0,5.0,6.0,6.0,13.0,19.0,24.0,9.0,24.0,40.0,26.0,51.0,75.0,64.0,67.0,83.0,
Incremental sheet forming,,,,,,,,,,1.0,2.0,3.0,1.0,1.0,,,10.0,3.0,,2.0,,
Life-cycle assessment,,,4.0,2.0,6.0,2.0,5.0,3.0,4.0,6.0,7.0,6.0,8.0,12.0,9.0,12.0,11.0,13.0,6.0,18.0,18.0,
Liquid Crystal Elastomers,11.0,13.0,13.0,19.0,13.0,14.0,20.0,28.0,8.0,22.0,19.0,15.0,14.0,30.0,40.0,57.0,73.0,60.0,55.0,43.0,35.0,
Megatall skyscrapers,,,,,,,,,,,,,,,,,,,,,,
Molecular assembler,,,,,,,,,,,,,,,,,,,,,,
Predictive maintenance,,5.0,9.0,6.0,12.0,12.0,15.0,13.0,9.0,24.0,10.0,12.0,24.0,19.0,26.0,15.0,37.0,29.0,77.0,108.0,173.0,1.0
Radio-frequency identification,42.0,85.0,163.0,184.0,400.0,639.0,1151.0,1510.0,1815.0,1692.0,2042.0,1933.0,2367.0,2418.0,2393.0,2600.0,2447.0,2794.0,3109.0,2888.0,3093.0,9.0
Robot end effector,,2.0,,4.0,4.0,11.0,3.0,8.0,15.0,4.0,4.0,9.0,10.0,9.0,16.0,9.0,5.0,13.0,34.0,28.0,49.0,
self assembly,9.0,29.0,85.0,82.0,129.0,106.0,131.0,149.0,156.0,228.0,278.0,263.0,254.0,291.0,360.0,380.0,411.0,420.0,372.0,382.0,379.0,
Self-reconfiguring modular robot,,,2.0,,,,,,,,,,,2.0,4.0,2.0,3.0,1.0,5.0,,5.0,
Smart highway,,,,,,,,,,,,,,,,,2.0,3.0,6.0,5.0,36.0,1.0
Structural health monitoring,,,1.0,2.0,,5.0,8.0,12.0,12.0,24.0,22.0,29.0,18.0,21.0,16.0,34.0,28.0,21.0,29.0,35.0,35.0,
Supertall building,,,,,,,,,,,,,,,,,,,,,,
utility fog,,,,,,,,,,,,,,,,,,,,,,
Adaptive Learning Technology,,,2.0,,,3.0,1.0,1.0,,2.0,2.0,2.0,4.0,,1.0,,,,,,,
