y,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aeroponics,,,,,,,1.0,,2.0,,3.0,4.0,2.0,2.0,2.0,7.0,11.0,11.0,10.0,10.0,15.0,
agricultural robot,,,,,,,,,,,,,,1.0,,,2.0,1.0,3.0,1.0,3.0,
aquaponics,,,,,,,,,,,1.0,1.0,,1.0,8.0,3.0,9.0,10.0,14.0,8.0,5.0,
cellular agriculture,,,,,,,,,,,,,,,,,,,,,1.0,
closed ecological system,,,,,,,,,,,,,,,1.0,,,2.0,2.0,1.0,2.0,
Controlled ecological life-support system,,,,,,,,,,,,,,,,,,,,,,
Cultured meat,,,,,,,,,,,,,,,,,,,,,,
fogponics,,,,,,,,,,,,,,,,,,,,,2.0,
Genetically modified crops,,1.0,4.0,2.0,5.0,4.0,7.0,5.0,4.0,6.0,7.0,6.0,3.0,6.0,9.0,13.0,20.0,22.0,34.0,30.0,30.0,
Genetically modified food,,,,,,,1.0,,,2.0,1.0,3.0,2.0,,1.0,1.0,,2.0,,,,
Genetically modified organism,,,,4.0,6.0,7.0,8.0,4.0,4.0,5.0,10.0,5.0,6.0,7.0,10.0,8.0,6.0,6.0,9.0,9.0,11.0,
hydroponics,2.0,,2.0,2.0,3.0,,6.0,2.0,3.0,9.0,6.0,4.0,6.0,3.0,6.0,9.0,16.0,14.0,12.0,25.0,14.0,
Insects as food,,,,1.0,,2.0,1.0,2.0,,,,,,,2.0,2.0,1.0,2.0,2.0,3.0,4.0,
meat analogue,,,,2.0,5.0,4.0,3.0,,,3.0,1.0,2.0,1.0,,3.0,2.0,1.0,4.0,5.0,4.0,6.0,
Passive hydroponics,1.0,1.0,2.0,3.0,,4.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,8.0,6.0,4.0,9.0,4.0,19.0,7.0,
Precision agriculture,1.0,,1.0,7.0,4.0,5.0,7.0,1.0,,1.0,3.0,1.0,3.0,1.0,4.0,2.0,6.0,14.0,18.0,15.0,16.0,
Precision livestock farming,,,,,,,,,,,,,,,,,,,,,,
Vertical farming,,,,,,,,,,,,,,,,,2.0,2.0,4.0,2.0,3.0,
arcology,,,,,,,,,,,,,,,,,,,,,,
Gesture recognition,1.0,,,2.0,3.0,3.0,8.0,2.0,2.0,5.0,5.0,5.0,27.0,28.0,41.0,27.0,43.0,28.0,29.0,35.0,24.0,1.0
Domed city,,,,,,,,,,,,,,,,,,,,,,
Translucent concrete,,,,,,,,,,,,,,,,,,,,,1.0,
AI Art,,,,,,,,,,,,,,,,,,,1.0,1.0,,
AI Music,,,,,,,,,,,,,,1.0,2.0,2.0,,6.0,4.0,9.0,17.0,
Drone display,,,,,,,,,,,,,,,,,,,,,2.0,
Galliane,,,,,,,,,,,,,,,,,,,,,,
music technology,,,1.0,,,,1.0,,,,,,,,,,,,,,2.0,
artificial island,,,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,
Carbon capture and storage,,,1.0,1.0,2.0,,,,6.0,4.0,15.0,30.0,32.0,39.0,35.0,42.0,32.0,33.0,29.0,35.0,29.0,
Carbon dioxide removal,1.0,,3.0,2.0,2.0,,2.0,,3.0,7.0,27.0,12.0,20.0,21.0,19.0,27.0,27.0,13.0,10.0,6.0,11.0,
Carbon sequestration,1.0,,2.0,,3.0,6.0,1.0,3.0,12.0,11.0,13.0,14.0,15.0,18.0,15.0,16.0,10.0,3.0,19.0,11.0,15.0,
Gasoline from Carbon Dioxide,,,,,,,,,,,,,,,,,,,,,,
Microbial electrolysis carbon capture,,,,,,,,,,,,,,,,,,,,,,
3D metal printing,,,,,5.0,,,1.0,,,,,,1.0,5.0,13.0,25.0,34.0,41.0,34.0,53.0,
4d printing,,,,,,,,,,,,,,,,,,,,,4.0,
Anticipatory Life Cycle Analysis,,,,,,,,,,,,,,,,,,,,,,
Artificial muscle,,1.0,,1.0,1.0,1.0,2.0,2.0,4.0,11.0,5.0,2.0,10.0,4.0,3.0,,1.0,4.0,4.0,3.0,1.0,
Bio-manufacturing,,,,,,1.0,,,,,,,1.0,2.0,,,,1.0,,2.0,1.0,
Claytronics,,,,,,,,,,,,,,,,,,,,,,
Construction 3D printing,,,,,,,,,1.0,,2.0,1.0,,,2.0,1.0,4.0,1.0,1.0,2.0,4.0,
Electron-beam additive manufacturing,,1.0,3.0,4.0,,5.0,1.0,,1.0,1.0,,4.0,1.0,3.0,1.0,2.0,3.0,3.0,5.0,7.0,14.0,
Incremental sheet forming,,,,,,,,,,,,,,,,,,,,,,
Life-cycle assessment,,1.0,,,,2.0,3.0,1.0,4.0,3.0,8.0,14.0,16.0,8.0,16.0,13.0,27.0,16.0,9.0,12.0,14.0,
Liquid Crystal Elastomers,2.0,2.0,4.0,4.0,6.0,2.0,8.0,8.0,3.0,7.0,2.0,3.0,4.0,4.0,3.0,7.0,4.0,2.0,2.0,5.0,3.0,
Megatall skyscrapers,,,,,,,,,,,,,,,,,,,,,,
Molecular assembler,,,,,,,,,,,,,,,,,,,,,,
Predictive maintenance,,,3.0,2.0,7.0,2.0,5.0,8.0,2.0,5.0,2.0,4.0,2.0,4.0,4.0,4.0,9.0,11.0,26.0,35.0,60.0,
Radio-frequency identification,13.0,40.0,87.0,106.0,190.0,351.0,649.0,741.0,840.0,787.0,823.0,751.0,827.0,747.0,884.0,912.0,935.0,892.0,991.0,1043.0,1049.0,3.0
Robot end effector,,,,,,,,,,,,,,,,,,,,,1.0,
self assembly,1.0,4.0,4.0,12.0,19.0,16.0,34.0,17.0,15.0,23.0,26.0,23.0,21.0,20.0,32.0,34.0,47.0,37.0,25.0,35.0,28.0,
Self-reconfiguring modular robot,,,,,,,,,,,,,,,,,,,1.0,1.0,,
Smart highway,,,3.0,2.0,2.0,2.0,1.0,1.0,,1.0,,2.0,1.0,,1.0,2.0,,2.0,6.0,5.0,15.0,
Structural health monitoring,,,,,,1.0,3.0,2.0,3.0,2.0,1.0,6.0,6.0,6.0,1.0,6.0,4.0,2.0,6.0,4.0,4.0,
Supertall building,,,,,,,,,,,,,,,,,,,,,,
utility fog,,,,,,,,,,,,,,,,,,,,,,
Adaptive Learning Technology,,,,,,,,,,,,,,,,,,,1.0,,,
Augmented learning,,,,,,,,,,,,,,,1.0,,,,1.0,,,
Gamifying education,1.0,,,,,,,,,,,,1.0,11.0,33.0,30.0,42.0,36.0,36.0,48.0,69.0,
Intelligent tutoring system,,,,,,,1.0,,,,,,,,,,,,,,,
Learning Management System,,,,4.0,6.0,2.0,3.0,4.0,5.0,2.0,3.0,7.0,2.0,2.0,11.0,10.0,5.0,5.0,5.0,5.0,8.0,
Mobile learning,,,3.0,2.0,2.0,2.0,,2.0,10.0,6.0,4.0,8.0,8.0,8.0,14.0,8.0,9.0,13.0,6.0,8.0,13.0,
Virtual Collaborative Learning,,,,,,,,,,,,,,,,,,,,,,
Atomtronics,,,,,,,,,,,,,,,,,,,,,,
Biodegradable electronics,,,,,,,,,,,,,,,,,,,,,,
Carbon nanotube field-effect transistor,,,,,,,1.0,,2.0,1.0,10.0,4.0,3.0,4.0,,1.0,,1.0,3.0,1.0,1.0,
Digital scent technology,,,,,,,,,,,,,,,,,,,,,,
Dynamic inductive charging,11.0,10.0,21.0,11.0,18.0,13.0,19.0,16.0,30.0,18.0,31.0,35.0,36.0,79.0,91.0,150.0,259.0,332.0,283.0,292.0,282.0,1.0
E-textiles,,,,1.0,1.0,1.0,,,1.0,,1.0,1.0,,,,,,2.0,3.0,3.0,1.0,
Electronic skin,,,,,,,,,,1.0,,,2.0,1.0,,,,,2.0,2.0,1.0,
Flexible display,2.0,,,1.0,4.0,4.0,5.0,11.0,10.0,8.0,27.0,12.0,24.0,27.0,27.0,44.0,38.0,48.0,52.0,55.0,56.0,
Flexible electronics,,,,,,,,,,1.0,2.0,4.0,2.0,3.0,3.0,7.0,4.0,8.0,5.0,5.0,3.0,
Flexible organic light-emitting diode,,,,1.0,2.0,,1.0,,,,1.0,,,1.0,3.0,,,1.0,,,,
Gastrobot,,,,,,,,,,,,,,,,,,,,,,
Holography,2.0,1.0,1.0,9.0,12.0,3.0,12.0,8.0,8.0,10.0,7.0,12.0,11.0,14.0,14.0,12.0,6.0,14.0,17.0,39.0,147.0,
laser diode headlights,11.0,16.0,28.0,27.0,30.0,28.0,37.0,42.0,49.0,51.0,55.0,44.0,53.0,44.0,33.0,44.0,36.0,32.0,24.0,32.0,26.0,
Laser video display,,,,,,,,,,,,,,,,,,,,,,
Memristor,,,,,,,,,,,,2.0,1.0,7.0,13.0,7.0,15.0,27.0,25.0,18.0,27.0,
Multi-level converter,,,,,,,,,2.0,3.0,,2.0,1.0,2.0,1.0,4.0,2.0,5.0,3.0,4.0,7.0,
Nanoelectromechanical systems,,,1.0,1.0,1.0,2.0,1.0,3.0,5.0,3.0,3.0,7.0,8.0,9.0,11.0,3.0,3.0,4.0,8.0,4.0,4.0,
Nanosensor,,,,,,,,2.0,3.0,2.0,3.0,2.0,5.0,4.0,5.0,3.0,5.0,1.0,6.0,8.0,8.0,
Optical transistor,,,,,1.0,2.0,,,,,,,,,,2.0,,,,,1.0,
Phonon laser,,,,,,,,,,,,,,,,,,,,,,
