y,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aeroponics,,,,,3.0,3.0,,1.0,1.0,1.0,2.0,5.0,8.0,2.0,8.0,7.0,12.0,14.0,16.0,12.0,16.0,
agricultural robot,,,,,,,,,,,,,,,,,,5.0,2.0,1.0,3.0,
aquaponics,,,1.0,,1.0,,,,,,1.0,3.0,2.0,2.0,9.0,8.0,6.0,10.0,11.0,10.0,10.0,
cellular agriculture,,,,,,,,,,,,,,,,,,,,,1.0,
closed ecological system,,,,,,,,,,,,,,,6.0,,1.0,15.0,8.0,2.0,4.0,
Controlled ecological life-support system,,,,,,,,,,,,,,,,,,,,,,
Cultured meat,,,,,,,,,,,,,,,,,2.0,,,,2.0,
fogponics,,,,,,,,,,,,,,,,,,,,,1.0,
Genetically modified crops,,,2.0,2.0,7.0,3.0,3.0,6.0,8.0,5.0,7.0,8.0,5.0,10.0,9.0,13.0,18.0,16.0,24.0,26.0,35.0,
Genetically modified food,,,4.0,1.0,2.0,1.0,3.0,,,3.0,1.0,4.0,4.0,6.0,5.0,5.0,5.0,4.0,4.0,1.0,3.0,
Genetically modified organism,5.0,,2.0,26.0,5.0,3.0,10.0,5.0,8.0,14.0,23.0,20.0,16.0,14.0,19.0,9.0,13.0,17.0,18.0,18.0,20.0,
hydroponics,,2.0,2.0,5.0,2.0,6.0,6.0,8.0,6.0,9.0,4.0,16.0,10.0,3.0,15.0,20.0,15.0,16.0,21.0,21.0,16.0,
Insects as food,,,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,,3.0,,2.0,2.0,,1.0,1.0,2.0,5.0,2.0,
meat analogue,1.0,,,1.0,3.0,3.0,2.0,1.0,2.0,8.0,3.0,,3.0,4.0,7.0,5.0,3.0,7.0,12.0,13.0,9.0,
Passive hydroponics,,2.0,,,3.0,,,3.0,1.0,4.0,1.0,1.0,5.0,4.0,7.0,6.0,11.0,12.0,8.0,14.0,14.0,
Precision agriculture,1.0,4.0,8.0,13.0,17.0,9.0,4.0,4.0,7.0,3.0,8.0,3.0,6.0,7.0,3.0,12.0,17.0,17.0,40.0,36.0,40.0,
Precision livestock farming,,,,,,,,,,,,,,,,,,,,,,
Vertical farming,,,,,,,,,,,,,,,1.0,,4.0,7.0,9.0,9.0,7.0,
arcology,,,,,,,,,,,,,,,,,,,,,,
Gesture recognition,3.0,3.0,13.0,20.0,7.0,28.0,28.0,22.0,30.0,25.0,39.0,46.0,78.0,80.0,141.0,113.0,140.0,175.0,135.0,173.0,205.0,1.0
Domed city,,,,,,,,,,,,,,,,,,,,,,
Translucent concrete,,,,,,,,,,1.0,,1.0,1.0,2.0,,,,,,,1.0,
AI Art,,,,,,,,,,,2.0,,,,,,,,,,1.0,
AI Music,,3.0,1.0,2.0,2.0,,,5.0,6.0,2.0,6.0,5.0,5.0,3.0,12.0,15.0,9.0,4.0,13.0,10.0,16.0,
Drone display,,,,,,,,,,,,,,,,,,,,,1.0,
Galliane,,,,,,,,,,,,,,,,,,,,,,
music technology,,1.0,7.0,3.0,16.0,6.0,5.0,3.0,2.0,2.0,4.0,5.0,,2.0,3.0,2.0,2.0,4.0,1.0,,,
artificial island,,,2.0,,,,1.0,,,,1.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,,1.0,2.0,
Carbon capture and storage,,,,1.0,2.0,,1.0,2.0,9.0,15.0,30.0,33.0,45.0,66.0,46.0,66.0,63.0,77.0,66.0,71.0,77.0,
Carbon dioxide removal,,1.0,5.0,5.0,2.0,2.0,10.0,4.0,9.0,15.0,20.0,10.0,24.0,22.0,13.0,8.0,15.0,7.0,8.0,15.0,20.0,
Carbon sequestration,,,2.0,4.0,3.0,3.0,3.0,3.0,12.0,8.0,11.0,26.0,19.0,15.0,18.0,14.0,20.0,15.0,10.0,9.0,11.0,
Gasoline from Carbon Dioxide,,,,,,,,,,,,,,,,,,,,,,
