y,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aeroponics,,,3.0,4.0,10.0,2.0,7.0,3.0,3.0,5.0,6.0,7.0,13.0,15.0,16.0,9.0,7.0,15.0,24.0,18.0,20.0,10.0
agricultural robot,,,2.0,1.0,1.0,2.0,3.0,10.0,4.0,2.0,5.0,2.0,6.0,9.0,10.0,5.0,8.0,5.0,7.0,7.0,5.0,3.0
aquaponics,,,2.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,7.0,6.0,17.0,23.0,40.0,46.0,62.0,80.0,79.0,104.0,102.0,40.0
cellular agriculture,,,,,,,,,,,,,,,,,1.0,,,9.0,6.0,6.0
closed ecological system,,,1.0,3.0,2.0,5.0,2.0,2.0,1.0,1.0,,1.0,2.0,4.0,2.0,4.0,2.0,,3.0,2.0,5.0,2.0
Controlled ecological life-support system,1.0,,,3.0,2.0,1.0,2.0,1.0,1.0,,,1.0,2.0,2.0,,,,3.0,8.0,3.0,4.0,1.0
Cultured meat,,,,,,,,,,2.0,8.0,4.0,5.0,12.0,12.0,18.0,10.0,19.0,32.0,55.0,63.0,20.0
fogponics,,,,,,,,,,,,,,,,,,,,,,
Genetically modified crops,5.0,38.0,57.0,95.0,79.0,74.0,70.0,85.0,110.0,109.0,111.0,121.0,114.0,119.0,126.0,106.0,119.0,98.0,101.0,83.0,68.0,40.0
Genetically modified food,2.0,23.0,45.0,40.0,49.0,47.0,42.0,42.0,38.0,51.0,36.0,45.0,61.0,59.0,45.0,36.0,53.0,46.0,30.0,34.0,23.0,14.0
Genetically modified organism,4.0,37.0,40.0,46.0,43.0,54.0,34.0,39.0,54.0,56.0,59.0,56.0,78.0,76.0,84.0,82.0,101.0,84.0,68.0,70.0,75.0,19.0
hydroponics,1.0,10.0,25.0,17.0,31.0,35.0,35.0,46.0,57.0,68.0,66.0,54.0,56.0,74.0,74.0,83.0,76.0,89.0,95.0,82.0,88.0,31.0
Insects as food,,2.0,,1.0,3.0,,6.0,6.0,5.0,4.0,12.0,5.0,20.0,12.0,23.0,20.0,45.0,56.0,50.0,69.0,81.0,20.0
meat analogue,,,2.0,,1.0,3.0,4.0,,1.0,,2.0,,2.0,6.0,3.0,5.0,5.0,5.0,10.0,24.0,29.0,14.0
Passive hydroponics,,,4.0,7.0,1.0,7.0,2.0,6.0,7.0,17.0,13.0,14.0,18.0,18.0,23.0,21.0,13.0,27.0,16.0,21.0,28.0,6.0
Precision agriculture,2.0,67.0,37.0,83.0,70.0,92.0,71.0,84.0,92.0,108.0,121.0,129.0,138.0,146.0,142.0,185.0,182.0,215.0,251.0,293.0,271.0,127.0
Precision livestock farming,,,,1.0,,2.0,,3.0,,2.0,2.0,10.0,1.0,,2.0,7.0,4.0,8.0,9.0,25.0,15.0,9.0
Vertical farming,,,,,,,,1.0,,,,,,5.0,6.0,7.0,3.0,8.0,18.0,18.0,17.0,6.0
arcology,,2.0,,1.0,,,3.0,2.0,,1.0,,,,1.0,1.0,,2.0,1.0,1.0,,,
