y,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aeroponics,,,,1.0,2.0,1.0,2.0,,,1.0,4.0,1.0,3.0,2.0,3.0,2.0,1.0,4.0,3.0,8.0,4.0,3.0
agricultural robot,,,,,,,,,,,1.0,1.0,,,,1.0,1.0,3.0,,2.0,,
aquaponics,,,1.0,,1.0,,2.0,,1.0,1.0,3.0,4.0,3.0,8.0,10.0,14.0,25.0,30.0,22.0,39.0,29.0,13.0
cellular agriculture,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,4.0,2.0
closed ecological system,,,,1.0,1.0,,1.0,,,,,,1.0,,,,,,2.0,4.0,1.0,
Controlled ecological life-support system,,,,,,,,,,,,,,,,,,,,,,
Cultured meat,,,,,,,,,,1.0,1.0,,2.0,3.0,2.0,11.0,3.0,6.0,6.0,17.0,25.0,9.0
fogponics,,,,,,,,,,,,,,,,,,,,,,
Genetically modified crops,5.0,46.0,54.0,72.0,74.0,67.0,59.0,70.0,69.0,91.0,102.0,104.0,110.0,113.0,118.0,99.0,98.0,89.0,73.0,58.0,51.0,31.0
Genetically modified food,4.0,28.0,38.0,35.0,52.0,47.0,35.0,35.0,38.0,34.0,31.0,41.0,40.0,41.0,48.0,32.0,38.0,26.0,27.0,22.0,27.0,14.0
Genetically modified organism,1.0,34.0,27.0,50.0,39.0,49.0,36.0,47.0,63.0,74.0,65.0,36.0,67.0,61.0,81.0,88.0,86.0,74.0,57.0,53.0,40.0,10.0
hydroponics,,3.0,1.0,3.0,9.0,7.0,6.0,2.0,12.0,7.0,9.0,5.0,11.0,6.0,15.0,17.0,25.0,21.0,18.0,21.0,8.0,8.0
Insects as food,,,1.0,,,2.0,,1.0,,2.0,1.0,2.0,3.0,,5.0,7.0,10.0,15.0,14.0,26.0,15.0,4.0
meat analogue,,,,1.0,,1.0,1.0,,2.0,,1.0,4.0,,,3.0,1.0,1.0,2.0,2.0,6.0,8.0,7.0
Passive hydroponics,,1.0,1.0,1.0,,1.0,2.0,,1.0,3.0,1.0,,1.0,2.0,5.0,5.0,3.0,5.0,4.0,8.0,8.0,5.0
Precision agriculture,,7.0,9.0,18.0,11.0,12.0,13.0,15.0,18.0,17.0,22.0,18.0,16.0,29.0,20.0,32.0,39.0,44.0,51.0,49.0,47.0,17.0
Precision livestock farming,,,,,,1.0,,,,1.0,,2.0,2.0,,1.0,,,1.0,1.0,5.0,8.0,
Vertical farming,,,,,,,,,,,2.0,,1.0,1.0,2.0,2.0,5.0,5.0,5.0,2.0,9.0,4.0
arcology,,,,,,,,,,,,,,,,,,,,,,
Gesture recognition,,2.0,,,,1.0,,3.0,2.0,4.0,2.0,5.0,3.0,10.0,15.0,10.0,16.0,20.0,17.0,22.0,18.0,6.0
Domed city,,,,,,,,,,,,,,,,,,,,,,
Translucent concrete,,,,,,,1.0,,,,,,,1.0,,,,,,,,
AI Art,,,,,,1.0,,,,,,,1.0,,,,,1.0,2.0,1.0,,
AI Music,,,,,,,1.0,1.0,,,1.0,,1.0,2.0,3.0,4.0,2.0,,1.0,2.0,1.0,1.0
Drone display,,,,,,,,,,,,,,,,,,1.0,,,,
Galliane,,,,,,,,,,,,,,,,,,,,,,
music technology,,1.0,2.0,2.0,2.0,5.0,3.0,1.0,2.0,3.0,1.0,5.0,3.0,,1.0,2.0,4.0,3.0,3.0,2.0,1.0,2.0
artificial island,,,,,,,1.0,,,1.0,1.0,,1.0,2.0,1.0,,,3.0,1.0,2.0,2.0,
Carbon capture and storage,,4.0,3.0,9.0,16.0,23.0,19.0,27.0,44.0,97.0,98.0,155.0,106.0,155.0,158.0,108.0,124.0,175.0,124.0,164.0,117.0,61.0
Carbon dioxide removal,,,,1.0,,,,,1.0,,4.0,1.0,2.0,3.0,3.0,2.0,5.0,3.0,3.0,2.0,13.0,3.0
