y,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aeroponics,,2.0,2.0,,6.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,4.0,3.0,4.0,3.0,7.0,11.0,10.0,12.0,15.0,3.0
agricultural robot,,,2.0,,1.0,1.0,1.0,4.0,4.0,2.0,1.0,3.0,3.0,2.0,3.0,2.0,8.0,2.0,2.0,3.0,5.0,2.0
aquaponics,,,,,,,,1.0,,,4.0,3.0,1.0,8.0,10.0,22.0,17.0,20.0,28.0,47.0,36.0,11.0
cellular agriculture,,,,,,,,,,,,,,,,,,1.0,3.0,6.0,9.0,5.0
closed ecological system,,,,2.0,,1.0,1.0,,,,,,,,1.0,3.0,,,5.0,2.0,4.0,6.0
Controlled ecological life-support system,,,1.0,1.0,,,,,,,,,1.0,,,,,,,1.0,1.0,
Cultured meat,,,,,,,,,,2.0,4.0,3.0,2.0,10.0,9.0,12.0,1.0,15.0,25.0,31.0,50.0,13.0
fogponics,,,,,,,,,,,,,,,,,,,,,,
Genetically modified crops,4.0,39.0,42.0,63.0,61.0,60.0,44.0,57.0,65.0,69.0,94.0,80.0,66.0,86.0,98.0,83.0,88.0,80.0,57.0,49.0,70.0,26.0
Genetically modified food,3.0,16.0,29.0,32.0,30.0,30.0,31.0,23.0,22.0,24.0,15.0,20.0,27.0,34.0,38.0,22.0,25.0,20.0,24.0,15.0,9.0,3.0
Genetically modified organism,2.0,36.0,30.0,51.0,54.0,34.0,29.0,46.0,52.0,60.0,66.0,41.0,53.0,72.0,65.0,83.0,94.0,74.0,53.0,70.0,74.0,28.0
hydroponics,,6.0,4.0,2.0,6.0,6.0,10.0,7.0,10.0,10.0,7.0,8.0,13.0,22.0,16.0,13.0,20.0,33.0,36.0,27.0,33.0,14.0
Insects as food,,,1.0,,1.0,2.0,4.0,4.0,3.0,2.0,5.0,2.0,7.0,3.0,8.0,14.0,26.0,28.0,37.0,52.0,79.0,21.0
meat analogue,,1.0,,1.0,1.0,2.0,1.0,,1.0,3.0,1.0,5.0,1.0,1.0,,2.0,4.0,3.0,12.0,13.0,19.0,12.0
Passive hydroponics,,,1.0,1.0,1.0,,1.0,1.0,1.0,5.0,3.0,3.0,7.0,7.0,5.0,6.0,4.0,5.0,10.0,7.0,12.0,6.0
Precision agriculture,2.0,31.0,37.0,39.0,36.0,37.0,28.0,39.0,39.0,60.0,59.0,73.0,88.0,88.0,86.0,108.0,120.0,143.0,169.0,211.0,193.0,85.0
Precision livestock farming,,,,1.0,,,,,,1.0,,7.0,5.0,1.0,3.0,6.0,2.0,5.0,4.0,13.0,15.0,5.0
Vertical farming,,,,,,,,,,,2.0,2.0,1.0,3.0,4.0,3.0,6.0,10.0,14.0,15.0,21.0,6.0
arcology,,1.0,,,,,1.0,,1.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,,,
Gesture recognition,,21.0,15.0,14.0,26.0,38.0,40.0,44.0,55.0,52.0,84.0,97.0,128.0,195.0,206.0,214.0,198.0,188.0,180.0,194.0,193.0,69.0
Domed city,,,,,,,,,,,,,,,,,,,,,,
Translucent concrete,,,,,,,,,,,,2.0,,2.0,,6.0,1.0,2.0,6.0,2.0,5.0,
