,R_D
Aeroponics,0
agricultural robot,0
aquaponics,0
cellular agriculture,0
closed ecological system,0
Controlled ecological life-support system,0
Cultured meat,0
fogponics,0
Genetically modified crops,80
Genetically modified food,0
Genetically modified organism,16
hydroponics,0
Insects as food,0
meat analogue,0
Passive hydroponics,0
Precision agriculture,11
Precision livestock farming,0
Vertical farming,0
arcology,0
Gesture recognition,58
Domed city,0
Translucent concrete,0
AI Art,4
AI Music,56
Drone display,0
Galliane,0
music technology,1
artificial island,0
Carbon capture and storage,17
Carbon dioxide removal,0
Carbon sequestration,11
Gasoline from Carbon Dioxide,0
Microbial electrolysis carbon capture,0
3D metal printing,12
4d printing,1
Anticipatory Life Cycle Analysis,0
Artificial muscle,2
Bio-manufacturing,0
Claytronics,0
Construction 3D printing,2
Incremental sheet forming,0
Life-cycle assessment,3
Liquid Crystal Elastomers,26
Megatall skyscrapers,0
Molecular assembler,0
Predictive maintenance,18
Radio-frequency identification,63
Robot end effector,1
self assembly,446
Self-reconfiguring modular robot,7
Smart highway,0
Structural health monitoring,17
Supertall building,0
utility fog,0
Adaptive Learning Technology,0
Augmented learning,1
Gamifying education,29
Intelligent tutoring system,2
Learning Management System,13
Mobile learning,343
Virtual Collaborative Learning,0
Atomtronics,13
Biodegradable electronics,0
Carbon nanotube field-effect transistor,11
Digital scent technology,0
Dynamic inductive charging,60
E-textiles,1
Electronic skin,0
Flexible display,0
Flexible electronics,12
Flexible organic light-emitting diode,0
Gastrobot,0
Holography,807
laser diode headlights,16
Laser video display,0
Memristor,117
Multi-level converter,0
Nanoelectromechanical systems,82
Nanosensor,2
Optical transistor,0
Phonon laser,10
Robotic sensing,0
Solid-state transformer,0
Spintronics,569
three-dimensional integrated circuit,1
Twistronics,6
Virtual retinal display,0
Volumetric display,1
3rd generation solar cell,0
Airborne wind turbine,0
Artificial photosynthesis,4
Biobattery,0
Biomass to liquid,0
Coal liquefaction,0
Combined Cycle Gas Turbine Plant,1
concentrated solar power,2
CZTS solar cell,1
Dye-sensitized solar cell,0
Electric vehicle battery fast charge,22
