,emergence
Aeroponics,0
agricultural robot,0
aquaponics,0
cellular agriculture,0
closed ecological system,0
Controlled ecological life-support system,0
Cultured meat,0
fogponics,0
Genetically modified crops,36
Genetically modified food,0
Genetically modified organism,43
hydroponics,0
Insects as food,0
meat analogue,0
Passive hydroponics,0
Precision agriculture,18
Precision livestock farming,1
Vertical farming,0
arcology,0
Gesture recognition,55
Domed city,0
Translucent concrete,0
AI Art,2
AI Music,57
Drone display,0
Galliane,0
music technology,0
artificial island,0
Carbon capture and storage,11
Carbon dioxide removal,0
Carbon sequestration,3
Gasoline from Carbon Dioxide,0
Microbial electrolysis carbon capture,0
3D metal printing,9
4d printing,6
Anticipatory Life Cycle Analysis,0
Artificial muscle,2
Bio-manufacturing,0
Claytronics,0
Construction 3D printing,1
Incremental sheet forming,0
Life-cycle assessment,1
Liquid Crystal Elastomers,11
Megatall skyscrapers,0
Molecular assembler,0
Predictive maintenance,13
Radio-frequency identification,50
Robot end effector,1
self assembly,210
Self-reconfiguring modular robot,4
Smart highway,1
Structural health monitoring,14
Supertall building,0
utility fog,0
Adaptive Learning Technology,0
Augmented learning,2
Gamifying education,17
Intelligent tutoring system,4
Learning Management System,6
Mobile learning,275
Virtual Collaborative Learning,0
Atomtronics,13
Biodegradable electronics,0
Carbon nanotube field-effect transistor,8
Digital scent technology,0
Dynamic inductive charging,57
E-textiles,2
Electronic skin,0
Flexible display,1
Flexible electronics,13
Flexible organic light-emitting diode,0
Gastrobot,0
Holography,335
laser diode headlights,25
Laser video display,0
Memristor,110
Multi-level converter,0
Nanoelectromechanical systems,57
Nanosensor,0
Optical transistor,1
Phonon laser,9
Robotic sensing,1
Solid-state transformer,0
Spintronics,635
three-dimensional integrated circuit,2
Twistronics,7
Virtual retinal display,0
Volumetric display,0
3rd generation solar cell,0
Airborne wind turbine,0
Artificial photosynthesis,2
Biobattery,0
Biomass to liquid,0
Coal liquefaction,0
Combined Cycle Gas Turbine Plant,0
concentrated solar power,0
CZTS solar cell,1
Dye-sensitized solar cell,3
Electric vehicle battery fast charge,7
