,Laos
Aeroponics,0
agricultural robot,0
aquaponics,0
cellular agriculture,0
closed ecological system,0
Controlled ecological life-support system,0
Cultured meat,0
fogponics,0
Genetically modified crops,0
Genetically modified food,0
Genetically modified organism,0
hydroponics,0
Insects as food,0
meat analogue,0
Passive hydroponics,0
Precision agriculture,0
Precision livestock farming,0
Vertical farming,0
arcology,0
Gesture recognition,0
Domed city,0
Translucent concrete,0
AI Art,0
AI Music,0
Drone display,0
Galliane,0
music technology,0
artificial island,0
Carbon capture and storage,0
Carbon dioxide removal,0
Carbon sequestration,0
Gasoline from Carbon Dioxide,0
Microbial electrolysis carbon capture,0
3D metal printing,0
4d printing,0
Anticipatory Life Cycle Analysis,0
Artificial muscle,0
Bio-manufacturing,0
Claytronics,0
Construction 3D printing,0
Incremental sheet forming,0
Life-cycle assessment,0
Liquid Crystal Elastomers,0
Megatall skyscrapers,0
Molecular assembler,0
Predictive maintenance,0
Radio-frequency identification,0
Robot end effector,0
self assembly,0
Self-reconfiguring modular robot,0
Smart highway,0
Structural health monitoring,0
Supertall building,0
utility fog,0
Adaptive Learning Technology,0
Augmented learning,0
Gamifying education,0
Intelligent tutoring system,0
Learning Management System,0
Mobile learning,0
Virtual Collaborative Learning,0
Atomtronics,0
Biodegradable electronics,0
Carbon nanotube field-effect transistor,0
Digital scent technology,0
Dynamic inductive charging,0
E-textiles,0
Electronic skin,0
Flexible display,0
Flexible electronics,0
Flexible organic light-emitting diode,0
Gastrobot,0
Holography,0
laser diode headlights,0
Laser video display,0
Memristor,0
Multi-level converter,0
Nanoelectromechanical systems,0
Nanosensor,0
Optical transistor,0
Phonon laser,0
Robotic sensing,0
Solid-state transformer,0
Spintronics,0
three-dimensional integrated circuit,0
Twistronics,0
Virtual retinal display,0
Volumetric display,0
3rd generation solar cell,0
Airborne wind turbine,0
Artificial photosynthesis,0
Biobattery,0
Biomass to liquid,0
Coal liquefaction,0
Combined Cycle Gas Turbine Plant,0
concentrated solar power,0
CZTS solar cell,0
Dye-sensitized solar cell,0
Electric vehicle battery fast charge,0
