,Australia
Aeroponics,1
agricultural robot,0
aquaponics,13
cellular agriculture,2
closed ecological system,5
Controlled ecological life-support system,0
Cultured meat,18
fogponics,0
Genetically modified crops,40
Genetically modified food,4
Genetically modified organism,19
hydroponics,50
Insects as food,8
meat analogue,27
Passive hydroponics,3
Precision agriculture,85
Precision livestock farming,2
Vertical farming,7
arcology,0
Gesture recognition,0
Domed city,0
Translucent concrete,0
AI Art,0
AI Music,0
Drone display,0
Galliane,0
music technology,2
artificial island,0
Carbon capture and storage,240
Carbon dioxide removal,0
Carbon sequestration,16
Gasoline from Carbon Dioxide,0
Microbial electrolysis carbon capture,0
3D metal printing,30
4d printing,10
Anticipatory Life Cycle Analysis,0
Artificial muscle,2
Bio-manufacturing,2
Claytronics,0
Construction 3D printing,0
Incremental sheet forming,0
Life-cycle assessment,6
Liquid Crystal Elastomers,0
Megatall skyscrapers,0
Molecular assembler,0
Predictive maintenance,6
Radio-frequency identification,44
Robot end effector,0
self assembly,6
Self-reconfiguring modular robot,0
Smart highway,11
Structural health monitoring,2
Supertall building,0
utility fog,0
Adaptive Learning Technology,5
Augmented learning,0
Gamifying education,10
Intelligent tutoring system,0
Learning Management System,16
Mobile learning,29
Virtual Collaborative Learning,1
Atomtronics,0
Biodegradable electronics,0
Carbon nanotube field-effect transistor,0
Digital scent technology,0
Dynamic inductive charging,22
E-textiles,0
Electronic skin,4
Flexible display,0
Flexible electronics,7
Flexible organic light-emitting diode,0
Gastrobot,0
Holography,6
laser diode headlights,0
Laser video display,0
Memristor,0
Multi-level converter,0
Nanoelectromechanical systems,0
Nanosensor,0
Optical transistor,0
Phonon laser,0
Robotic sensing,0
Solid-state transformer,0
Spintronics,0
three-dimensional integrated circuit,0
Twistronics,1
Virtual retinal display,0
Volumetric display,3
3rd generation solar cell,0
Airborne wind turbine,0
Artificial photosynthesis,2
Biobattery,0
Biomass to liquid,0
Coal liquefaction,7
Combined Cycle Gas Turbine Plant,0
concentrated solar power,57
CZTS solar cell,0
Dye-sensitized solar cell,0
Electric vehicle battery fast charge,4
Energy harvesting,15
Floating Liquefied Natural Gas,267
Flywheel energy storage,0
Fourth-generation biofuel,2
Fusion power,1
Gas generator,3
Gas-cooled fast reactor,0
Gasification,53
Generation IV reactor,6
Grid energy storage,8
Holograms for solar,0
Home fuel cell,0
Hydrogen fuel,55
Lead-cooled fast reactor,0
Liquid fluoride thorium reactor,0
Liquid metal battery,0
Lithium ion battery,233
Lithium iron phosphate battery,0
Lithium-air battery,0
Lithium-sulfur battery,4
Magnesium battery,0
Microbial electrolysis cell,0
Microreactor,0
Mini Bioreactors,0
Modular Reactors,4
Molten salt reactor,2
Nanocharging Solar,0
Nanowire battery,0
Ocean thermal energy conversion,6
Oil detection,615
Optical rectenna,0
Organic solar cell,1
Perovskite solar cell,3
Power-to-X,0
Proton Battery,23
Quantum dot solar cell,0
second-generation biofuels,1
Smart grid,116
Sodium-cooled fast reactor,0
Space-based solar power,0
Supercapacitor,15
Supercritical water reactor,0
Third-generation biofuels,2
Thorium fuel cycle,0
Triboelectric Nanogenerator,0
Virtual power Plant,56
Vortex engine,0
Wireless power transfer,2
Zero-energy building,0
Automated journalism,0
Foundation garment,0
Haptic feedback systems,2
Wearable journalism,127
Cryptocurrency,659
Stablecoin,4
Companion robot,3
Cryonics,5
Extreme Life extension,12
Suspended animation,1
5D DVD,0
5g,1149
6G,13
Ambient intelligence,0
Artificial brain,0
Artificial general intelligence,745
Atmospheric satellite,0
Automatic AI debugging,0
Cloud computing,263
Compressive Sensing,0
Deep learning,90
deep trench capacitor,0
Digital image processing,17
Digital image segmentation,0
Distributed ledger,1234
DNA Computing,0
DNA digital data storage,0
Edge Computing,5
Edge enhancement,0
Embedded systems in substrate,0
Exascale computing,0
Extreme ultraviolet lithography,0
Facial recognition,91
General-purpose computing on graphics processing units,0
GPT-4,0
Haptic technology,4
Holographic data storage,0
Hyper CD-ROM,0
In-memory processing,0
In-storage processing,0
Indoor positioning system,0
Internet of things,285
Li-Fi,5
Machine translation,1
Machine vision,7
Nanoradio,0
Natural Language Processing,16
Neural Networks,23
Neural-sensing headset,0
next gen web search,0
Open source model,0
Optical computing,0
Quantum algorithm,4
Quantum computing hardware,276
Quantum cryptography,14
Semantic Web,2
Silicon laser for communication,0
Smartphone,693
Spatial computing,0
Streaming television,7
Subvocal recognition,0
Ultradense Molecular Memory,0
Vehicular communication systems,7
Virtual reality applications,2
Visible Light Communication,0
wi-fi 6,0
wi-fi 7,0
AI Arbitration,0
Digital forensics tools,0
Document automation,1
Intelligent Knowledge Management,0
Aerogel,9
Amorphous metal,11
Bioplastic,1
Carbon nanotube,34
Conductive polymer,1
Cryogenic treatment,0
Dynamic Armor,0
Eutectic system,0
Fast-ion Conductors,0
Fullerene,2
Gallium Nitride semiconductor,0
Graphene,188
Graphene Oxide dough,18
High Entropy Alloys,1
Magnetic nanoparticles,2
Magnetorheological fluid,0
Metal foam,0
Metamaterial,2
Multi-function structure,0
Nanocrystal,11
Nanotextured surface,0
Photonic Metamaterial,0
piezoelectric material adhesion,0
Programmable matter,0
