,Brazil
Aeroponics,0
agricultural robot,0
aquaponics,3
cellular agriculture,0
closed ecological system,2
Controlled ecological life-support system,0
Cultured meat,0
fogponics,0
Genetically modified crops,49
Genetically modified food,23
Genetically modified organism,21
hydroponics,7
Insects as food,1
meat analogue,5
Passive hydroponics,1
Precision agriculture,46
Precision livestock farming,0
Vertical farming,5
arcology,0
Gesture recognition,8
Domed city,0
Translucent concrete,0
AI Art,0
AI Music,0
Drone display,0
Galliane,0
music technology,1
artificial island,0
Carbon capture and storage,17
Carbon dioxide removal,0
Carbon sequestration,12
Gasoline from Carbon Dioxide,0
Microbial electrolysis carbon capture,0
3D metal printing,15
4d printing,1
Anticipatory Life Cycle Analysis,0
Artificial muscle,0
Bio-manufacturing,0
Claytronics,0
Construction 3D printing,0
Incremental sheet forming,0
Life-cycle assessment,0
Liquid Crystal Elastomers,0
Megatall skyscrapers,0
Molecular assembler,0
Predictive maintenance,0
Radio-frequency identification,44
Robot end effector,0
self assembly,0
Self-reconfiguring modular robot,0
Smart highway,7
Structural health monitoring,1
Supertall building,0
utility fog,0
Adaptive Learning Technology,0
Augmented learning,0
Gamifying education,26
Intelligent tutoring system,0
Learning Management System,4
Mobile learning,11
Virtual Collaborative Learning,0
Atomtronics,0
Biodegradable electronics,1
Carbon nanotube field-effect transistor,0
Digital scent technology,7
Dynamic inductive charging,5
E-textiles,0
Electronic skin,0
Flexible display,2
Flexible electronics,3
Flexible organic light-emitting diode,0
Gastrobot,0
Holography,8
laser diode headlights,0
Laser video display,1
Memristor,0
Multi-level converter,0
Nanoelectromechanical systems,1
Nanosensor,3
Optical transistor,0
Phonon laser,0
Robotic sensing,0
Solid-state transformer,12
Spintronics,3
three-dimensional integrated circuit,0
Twistronics,0
Virtual retinal display,0
Volumetric display,0
3rd generation solar cell,0
Airborne wind turbine,0
Artificial photosynthesis,0
Biobattery,0
Biomass to liquid,0
Coal liquefaction,0
Combined Cycle Gas Turbine Plant,9
concentrated solar power,1
CZTS solar cell,0
Dye-sensitized solar cell,6
Electric vehicle battery fast charge,3
