,Canada
Aeroponics,24
agricultural robot,0
aquaponics,30
cellular agriculture,19
closed ecological system,14
Controlled ecological life-support system,0
Cultured meat,41
fogponics,0
Genetically modified crops,35
Genetically modified food,24
Genetically modified organism,29
hydroponics,75
Insects as food,6
meat analogue,28
Passive hydroponics,3
Precision agriculture,69
Precision livestock farming,2
Vertical farming,32
arcology,4
Gesture recognition,27
Domed city,0
Translucent concrete,0
AI Art,0
AI Music,3
Drone display,0
Galliane,0
music technology,7
artificial island,0
Carbon capture and storage,288
Carbon dioxide removal,0
Carbon sequestration,29
Gasoline from Carbon Dioxide,0
Microbial electrolysis carbon capture,0
3D metal printing,15
4d printing,2
Anticipatory Life Cycle Analysis,0
Artificial muscle,3
Bio-manufacturing,4
Claytronics,0
Construction 3D printing,0
Incremental sheet forming,0
Life-cycle assessment,11
Liquid Crystal Elastomers,0
Megatall skyscrapers,0
Molecular assembler,0
Predictive maintenance,8
Radio-frequency identification,61
Robot end effector,0
self assembly,6
Self-reconfiguring modular robot,2
Smart highway,3
Structural health monitoring,5
Supertall building,0
utility fog,0
Adaptive Learning Technology,1
Augmented learning,0
Gamifying education,46
Intelligent tutoring system,0
Learning Management System,35
Mobile learning,65
Virtual Collaborative Learning,0
Atomtronics,0
Biodegradable electronics,0
Carbon nanotube field-effect transistor,0
Digital scent technology,1
Dynamic inductive charging,67
E-textiles,12
Electronic skin,0
Flexible display,12
Flexible electronics,32
Flexible organic light-emitting diode,0
Gastrobot,0
Holography,6
laser diode headlights,9
Laser video display,11
Memristor,0
Multi-level converter,0
Nanoelectromechanical systems,6
Nanosensor,2
Optical transistor,0
Phonon laser,0
Robotic sensing,0
Solid-state transformer,2
Spintronics,3
three-dimensional integrated circuit,0
Twistronics,0
Virtual retinal display,0
Volumetric display,1
3rd generation solar cell,0
Airborne wind turbine,0
Artificial photosynthesis,5
Biobattery,2
Biomass to liquid,0
Coal liquefaction,1
Combined Cycle Gas Turbine Plant,0
concentrated solar power,1
CZTS solar cell,0
Dye-sensitized solar cell,0
Electric vehicle battery fast charge,34
Energy harvesting,23
Floating Liquefied Natural Gas,24
Flywheel energy storage,2
Fourth-generation biofuel,1
Fusion power,1
Gas generator,7
Gas-cooled fast reactor,0
Gasification,29
Generation IV reactor,0
Grid energy storage,11
Holograms for solar,0
Home fuel cell,0
Hydrogen fuel,83
Lead-cooled fast reactor,0
Liquid fluoride thorium reactor,0
Liquid metal battery,0
Lithium ion battery,179
Lithium iron phosphate battery,1
Lithium-air battery,1
Lithium-sulfur battery,0
Magnesium battery,0
Microbial electrolysis cell,0
Microreactor,0
Mini Bioreactors,0
Modular Reactors,47
Molten salt reactor,19
Nanocharging Solar,0
Nanowire battery,2
Ocean thermal energy conversion,2
Oil detection,2584
Optical rectenna,0
Organic solar cell,0
Perovskite solar cell,0
Power-to-X,2
Proton Battery,0
Quantum dot solar cell,0
second-generation biofuels,28
Smart grid,254
Sodium-cooled fast reactor,0
Space-based solar power,0
Supercapacitor,17
Supercritical water reactor,0
Third-generation biofuels,5
Thorium fuel cycle,0
Triboelectric Nanogenerator,1
Virtual power Plant,9
Vortex engine,0
Wireless power transfer,5
Zero-energy building,12
Automated journalism,0
Foundation garment,0
Haptic feedback systems,6
Wearable journalism,151
Cryptocurrency,1262
Stablecoin,8
Companion robot,5
Cryonics,0
Extreme Life extension,19
Suspended animation,0
5D DVD,0
5g,1239
6G,20
Ambient intelligence,4
Artificial brain,0
Artificial general intelligence,2008
Atmospheric satellite,0
Automatic AI debugging,0
Cloud computing,362
Compressive Sensing,0
Deep learning,269
deep trench capacitor,0
Digital image processing,27
Digital image segmentation,0
Distributed ledger,2141
DNA Computing,1
DNA digital data storage,0
Edge Computing,44
Edge enhancement,0
Embedded systems in substrate,0
Exascale computing,0
Extreme ultraviolet lithography,2
Facial recognition,66
General-purpose computing on graphics processing units,0
GPT-4,0
Haptic technology,3
Holographic data storage,0
Hyper CD-ROM,0
In-memory processing,0
In-storage processing,0
Indoor positioning system,0
Internet of things,556
Li-Fi,3
Machine translation,10
Machine vision,155
Nanoradio,0
Natural Language Processing,19
Neural Networks,55
Neural-sensing headset,0
next gen web search,0
Open source model,0
Optical computing,0
Quantum algorithm,2
Quantum computing hardware,322
Quantum cryptography,6
Semantic Web,0
Silicon laser for communication,0
Smartphone,714
Spatial computing,0
Streaming television,19
Subvocal recognition,0
Ultradense Molecular Memory,0
Vehicular communication systems,10
Virtual reality applications,1
Visible Light Communication,28
wi-fi 6,0
wi-fi 7,0
AI Arbitration,0
Digital forensics tools,0
Document automation,5
Intelligent Knowledge Management,0
Aerogel,8
Amorphous metal,2
Bioplastic,12
Carbon nanotube,51
Conductive polymer,1
Cryogenic treatment,0
Dynamic Armor,0
Eutectic system,0
Fast-ion Conductors,0
Fullerene,4
Gallium Nitride semiconductor,0
Graphene,418
Graphene Oxide dough,25
High Entropy Alloys,0
Magnetic nanoparticles,0
Magnetorheological fluid,0
Metal foam,3
Metamaterial,37
Multi-function structure,0
Nanocrystal,11
Nanotextured surface,0
Photonic Metamaterial,0
piezoelectric material adhesion,0
Programmable matter,0
Quantum dot,36
Self-cleaning surfaces,0
Shape Memory Polymer,0
Shape-memory alloy,2
Silicene,4
Single Photon Source,0
Superalloy,5
Superfluidity,1
Superlenses chips,0
Syntactic Materials,0
Time crystal,0
Zeolite,71
Zero-friction coating,0
16K video resolution,0
Augmented reality,164
Brain-computer interface,2
Computer-generated imagery,2
Detecting fake news online automatically,0
e-Reader,1
Extended Reality,1
hydrogen vehicle,0
Immersion (virtual reality),9
Mixed Reality,27
Video tracking,0
Virtual reality,272
3D Bioprinting,25
Anti-degenerative medicine,0
Apheresis,9
Artificial womb,0
Bio Ink,255
Biomimetic Nanocoagulation,0
Biosensor,48
Breath analysis,0
Cancer biomarker,8
Capsule endoscopy,5
Cortical implant,0
De-extinction,3
DNA-templated organic synthesis,0
Drug-eluting stent,4
Electroanalgesia,0
Electronic nose,1
Head transplant,0
Intelligent toilet,1
Jet injector,4
Lab-on-a-chip,29
Microelectromechanical systems,41
Microfluidics,60
Molecular electronics,1
Nanorobotics,47
Neuron Control,0
Neuroprosthetics,8
Nutritional genomics,0
Omni Processor,0
OOKP,0
Organ-on-a-Chip,4
Photoacoustic imaging,1
Plasma Medicine,5
Point of care automated analyser,0
Portable water purification,1
Powered exoskeleton,4
Protein Structure Prediction,0
Rapid diagnostic test,39
Real-time polymerase chain reaction,0
Regenerative Medicine,414
Sensory substitution,2
Single Cell Analysis,7
Stasis Chamber,0
Synthetic Blood,2
Theranostic Wound Care,163
Transdermal optical imaging,7
Active camouflage,1
Active noise control,0
Automatic identification of suspicious activity,0
Cloaking device,8
Coilgun,0
Compact Kinetic Energy Missile,0
DART ammunition,0
Delay-line oscillator,0
Electrolaser,0
Electroshock weapon,0
Electrothermal-chemical technology for propellants,0
EMP weapon,0
Explosively pumped flux compression generator,0
Force Field,1
Homodyne detection,0
HPM weapons,0
Hypersonic weapon,0
Kinetic bombardment,0
Kinetic energy penetrator,0
Laser weapon,0
Lidar,147
MAHEM,0
Metamaterial cloaking,0
MGM-166 LOSAT,0
Nonlinear metamaterial,0
Optical coating,2
Optoelectronic oscillator,0
Particle-beam weapon,0
Plasma stealth,0
Pure fusion weapon,0
Quadcopter,6
Quantum illumination,17
Quantum radar,19
Railgun,0
Sonic weapon,0
Swarm robotic platforms,0
Swarm robotics,0
Teslaphoresis,0
Vortex ring gun,0
Asteroid mining,1
Biomining,8
Urban mining,1
Closed system drug transfer device,0
DNA repair,29
Electronic cigarette,515
Enzybiotics,0
Exhalation delivery system,0
Gene Editing,76
Genome Prime Editing,0
ISCOM,0
Medicinal fungi,0
Microneedle drug delivery,1
Molecular Inversion Probe,0
NASBA,0
Off-target genome editing,0
Oncolytic virus,47
Phage therapy,3
Receptor activated solely by a synthetic ligand,0
Senolytic,0
Stem-cell therapy,38
Structurally nanoengineered antimicrobial polypeptide polymers,0
Targeted drug delivery,10
Virotherapy,1
Air-launch-to-orbit,0
Artificial gravity,0
Beam-powered propulsion,0
Fusion rocket,0
Inflatable space habitat,0
Ion thruster,0
Launch loop,0
Mass driver,0
Mini-magnetosphere,0
Miniaturized satellite,6
Nuclear photonic rocket,0
Photon rocket,0
Photonic laser thruster,0
Plasma propulsion engine,0
Propellant depot,0
Ram accelarator,0
Reusable launch system,0
Reusable rocket technology for orbital rockets,0
Skyhook,1
Space elevator,1
Space gun,0
Spaceplane,0
StarTram,0
Suborbital launch,0
Autonomous Rail Rapid Transit,0
Autonomous vehicle,198
Backpack helicopter,0
Electric vehicle,549
Fuel cell,358
Fuel cell vehicle,58
Hoverbike,0
Hovertrain,0
Hydrogen vehicle,0
Hyperloop,59
Intelligent transportation system,6
Jetpack,9
Maglev,3
PAV,2
Personal rapid transit,0
