,China
Aeroponics,11
agricultural robot,5
aquaponics,34
cellular agriculture,1
closed ecological system,15
Controlled ecological life-support system,0
Cultured meat,33
fogponics,0
Genetically modified crops,265
Genetically modified food,78
Genetically modified organism,61
hydroponics,28
Insects as food,17
meat analogue,162
Passive hydroponics,0
Precision agriculture,199
Precision livestock farming,7
Vertical farming,141
arcology,0
Gesture recognition,86
Domed city,0
Translucent concrete,2
AI Art,0
AI Music,3
Drone display,0
Galliane,0
music technology,0
artificial island,98
Carbon capture and storage,291
Carbon dioxide removal,3
Carbon sequestration,53
Gasoline from Carbon Dioxide,0
Microbial electrolysis carbon capture,0
3D metal printing,186
4d printing,47
Anticipatory Life Cycle Analysis,0
Artificial muscle,3
Bio-manufacturing,3
Claytronics,3
Construction 3D printing,4
Incremental sheet forming,0
Life-cycle assessment,12
Liquid Crystal Elastomers,3
Megatall skyscrapers,0
Molecular assembler,0
Predictive maintenance,30
Radio-frequency identification,609
Robot end effector,0
self assembly,31
Self-reconfiguring modular robot,2
Smart highway,60
Structural health monitoring,30
Supertall building,1
utility fog,0
Adaptive Learning Technology,14
Augmented learning,0
Gamifying education,47
Intelligent tutoring system,1
Learning Management System,15
Mobile learning,269
Virtual Collaborative Learning,0
Atomtronics,0
Biodegradable electronics,0
Carbon nanotube field-effect transistor,0
Digital scent technology,21
Dynamic inductive charging,1628
E-textiles,39
Electronic skin,22
Flexible display,128
Flexible electronics,64
Flexible organic light-emitting diode,0
Gastrobot,0
Holography,59
laser diode headlights,20
Laser video display,1
Memristor,14
Multi-level converter,0
Nanoelectromechanical systems,8
Nanosensor,6
Optical transistor,0
Phonon laser,1
Robotic sensing,0
Solid-state transformer,2
Spintronics,21
three-dimensional integrated circuit,8
Twistronics,0
Virtual retinal display,6
Volumetric display,9
3rd generation solar cell,0
Airborne wind turbine,0
Artificial photosynthesis,27
Biobattery,0
Biomass to liquid,3
Coal liquefaction,59
Combined Cycle Gas Turbine Plant,21
concentrated solar power,80
CZTS solar cell,0
Dye-sensitized solar cell,12
Electric vehicle battery fast charge,293
Energy harvesting,90
Floating Liquefied Natural Gas,55
Flywheel energy storage,8
Fourth-generation biofuel,1
Fusion power,54
Gas generator,70
Gas-cooled fast reactor,0
Gasification,334
Generation IV reactor,7
Grid energy storage,67
Holograms for solar,0
Home fuel cell,0
Hydrogen fuel,326
Lead-cooled fast reactor,0
Liquid fluoride thorium reactor,0
Liquid metal battery,3
Lithium ion battery,775
Lithium iron phosphate battery,23
Lithium-air battery,2
Lithium-sulfur battery,8
Magnesium battery,0
Microbial electrolysis cell,0
Microreactor,6
Mini Bioreactors,0
Modular Reactors,42
Molten salt reactor,60
Nanocharging Solar,0
Nanowire battery,9
Ocean thermal energy conversion,12
Oil detection,463
Optical rectenna,0
Organic solar cell,12
Perovskite solar cell,11
Power-to-X,0
Proton Battery,0
Quantum dot solar cell,0
second-generation biofuels,64
Smart grid,718
Sodium-cooled fast reactor,3
Space-based solar power,50
Supercapacitor,218
Supercritical water reactor,0
Third-generation biofuels,6
Thorium fuel cycle,6
Triboelectric Nanogenerator,29
Virtual power Plant,25
Vortex engine,0
Wireless power transfer,59
Zero-energy building,5
Automated journalism,0
Foundation garment,7
Haptic feedback systems,14
Wearable journalism,810
Cryptocurrency,4336
Stablecoin,54
Companion robot,27
Cryonics,7
Extreme Life extension,56
Suspended animation,8
5D DVD,2
5g,11116
6G,223
Ambient intelligence,4
Artificial brain,1
Artificial general intelligence,9569
Atmospheric satellite,1
Automatic AI debugging,0
Cloud computing,2920
Compressive Sensing,8
Deep learning,549
deep trench capacitor,0
Digital image processing,59
Digital image segmentation,0
Distributed ledger,5803
DNA Computing,0
DNA digital data storage,0
Edge Computing,249
Edge enhancement,0
Embedded systems in substrate,0
Exascale computing,34
Extreme ultraviolet lithography,8
Facial recognition,1471
General-purpose computing on graphics processing units,0
GPT-4,0
Haptic technology,45
Holographic data storage,0
Hyper CD-ROM,0
In-memory processing,0
In-storage processing,0
Indoor positioning system,0
Internet of things,2264
Li-Fi,70
Machine translation,39
Machine vision,229
Nanoradio,0
Natural Language Processing,146
Neural Networks,138
Neural-sensing headset,0
next gen web search,0
Open source model,1
Optical computing,2
Quantum algorithm,2
Quantum computing hardware,621
Quantum cryptography,53
Semantic Web,24
Silicon laser for communication,0
Smartphone,12502
Spatial computing,0
Streaming television,92
Subvocal recognition,0
Ultradense Molecular Memory,0
Vehicular communication systems,78
Virtual reality applications,21
Visible Light Communication,36
wi-fi 6,14
wi-fi 7,0
AI Arbitration,0
Digital forensics tools,0
Document automation,6
Intelligent Knowledge Management,0
Aerogel,104
Amorphous metal,18
Bioplastic,51
Carbon nanotube,296
Conductive polymer,21
Cryogenic treatment,0
Dynamic Armor,0
Eutectic system,0
Fast-ion Conductors,0
Fullerene,23
Gallium Nitride semiconductor,5
Graphene,1181
Graphene Oxide dough,125
High Entropy Alloys,4
Magnetic nanoparticles,5
Magnetorheological fluid,0
Metal foam,7
Metamaterial,22
Multi-function structure,0
Nanocrystal,38
Nanotextured surface,0
Photonic Metamaterial,1
piezoelectric material adhesion,0
Programmable matter,0
Quantum dot,170
Self-cleaning surfaces,3
Shape Memory Polymer,4
Shape-memory alloy,17
Silicene,1
Single Photon Source,1
Superalloy,60
Superfluidity,0
Superlenses chips,0
Syntactic Materials,0
Time crystal,0
Zeolite,161
Zero-friction coating,3
16K video resolution,0
Augmented reality,597
Brain-computer interface,37
Computer-generated imagery,2
Detecting fake news online automatically,0
e-Reader,17
Extended Reality,17
hydrogen vehicle,13
Immersion (virtual reality),17
Mixed Reality,111
Video tracking,1
Virtual reality,1193
3D Bioprinting,49
Anti-degenerative medicine,0
Apheresis,38
Artificial womb,1
Bio Ink,302
Biomimetic Nanocoagulation,0
Biosensor,47
Breath analysis,0
Cancer biomarker,21
Capsule endoscopy,29
Cortical implant,0
De-extinction,0
DNA-templated organic synthesis,0
Drug-eluting stent,43
Electroanalgesia,0
Electronic nose,12
Head transplant,21
Intelligent toilet,15
Jet injector,12
Lab-on-a-chip,51
Microelectromechanical systems,328
Microfluidics,106
Molecular electronics,3
Nanorobotics,17
Neuron Control,0
Neuroprosthetics,27
Nutritional genomics,0
Omni Processor,0
OOKP,0
Organ-on-a-Chip,5
Photoacoustic imaging,26
Plasma Medicine,25
Point of care automated analyser,0
Portable water purification,4
Powered exoskeleton,3
Protein Structure Prediction,0
Rapid diagnostic test,3
Real-time polymerase chain reaction,23
Regenerative Medicine,681
Sensory substitution,0
Single Cell Analysis,43
Stasis Chamber,0
Synthetic Blood,13
Theranostic Wound Care,537
Transdermal optical imaging,3
Active camouflage,8
Active noise control,0
Automatic identification of suspicious activity,0
Cloaking device,11
Coilgun,0
Compact Kinetic Energy Missile,0
DART ammunition,0
Delay-line oscillator,0
Electrolaser,0
Electroshock weapon,6
Electrothermal-chemical technology for propellants,0
EMP weapon,6
Explosively pumped flux compression generator,0
Force Field,10
Homodyne detection,2
HPM weapons,39
Hypersonic weapon,240
Kinetic bombardment,0
Kinetic energy penetrator,0
Laser weapon,157
Lidar,327
MAHEM,1
Metamaterial cloaking,0
MGM-166 LOSAT,0
Nonlinear metamaterial,0
Optical coating,15
Optoelectronic oscillator,0
Particle-beam weapon,0
Plasma stealth,0
Pure fusion weapon,0
Quadcopter,13
Quantum illumination,6
Quantum radar,77
Railgun,85
Sonic weapon,4
Swarm robotic platforms,0
Swarm robotics,1
Teslaphoresis,0
Vortex ring gun,0
Asteroid mining,16
Biomining,2
Urban mining,5
Closed system drug transfer device,3
DNA repair,9
Electronic cigarette,340
Enzybiotics,0
Exhalation delivery system,12
Gene Editing,1432
Genome Prime Editing,0
ISCOM,0
Medicinal fungi,17
Microneedle drug delivery,6
Molecular Inversion Probe,0
NASBA,0
Off-target genome editing,0
Oncolytic virus,49
Phage therapy,1
Receptor activated solely by a synthetic ligand,0
Senolytic,2
Stem-cell therapy,160
Structurally nanoengineered antimicrobial polypeptide polymers,0
Targeted drug delivery,37
Virotherapy,0
Air-launch-to-orbit,0
Artificial gravity,0
Beam-powered propulsion,0
Fusion rocket,0
Inflatable space habitat,0
Ion thruster,4
Launch loop,0
Mass driver,15
Mini-magnetosphere,0
Miniaturized satellite,6
Nuclear photonic rocket,0
Photon rocket,0
Photonic laser thruster,0
Plasma propulsion engine,0
Propellant depot,0
Ram accelarator,0
Reusable launch system,0
Reusable rocket technology for orbital rockets,0
Skyhook,1
Space elevator,4
Space gun,0
Spaceplane,31
StarTram,0
Suborbital launch,3
Autonomous Rail Rapid Transit,8
Autonomous vehicle,833
Backpack helicopter,0
Electric vehicle,4568
Fuel cell,1378
Fuel cell vehicle,451
Hoverbike,0
Hovertrain,1
Hydrogen vehicle,13
Hyperloop,125
Intelligent transportation system,77
Jetpack,40
Maglev,256
PAV,0
Personal rapid transit,0
Physical Internet,3
Pulse detonation engine,0
Rapid transit,3654
Rocket transportation,0
Supersonic transport,1
Urban rail transit,143
Vactrain,2
VTOL,90
Hyper-personalized intelligence,1885
neuromorphic engineering,0
solid-state battery,0
