,France
Aeroponics,0
agricultural robot,0
aquaponics,5
cellular agriculture,1
closed ecological system,13
Controlled ecological life-support system,0
Cultured meat,23
fogponics,0
Genetically modified crops,51
Genetically modified food,3
Genetically modified organism,31
hydroponics,9
Insects as food,6
meat analogue,3
Passive hydroponics,0
Precision agriculture,21
Precision livestock farming,0
Vertical farming,8
arcology,0
Gesture recognition,6
Domed city,0
Translucent concrete,0
AI Art,0
AI Music,0
Drone display,0
Galliane,0
music technology,0
artificial island,1
Carbon capture and storage,28
Carbon dioxide removal,1
Carbon sequestration,8
Gasoline from Carbon Dioxide,0
Microbial electrolysis carbon capture,0
3D metal printing,2
4d printing,32
Anticipatory Life Cycle Analysis,0
Artificial muscle,0
Bio-manufacturing,0
Claytronics,0
Construction 3D printing,5
Incremental sheet forming,0
Life-cycle assessment,2
Liquid Crystal Elastomers,0
Megatall skyscrapers,0
Molecular assembler,0
Predictive maintenance,10
Radio-frequency identification,73
Robot end effector,0
self assembly,4
Self-reconfiguring modular robot,0
Smart highway,3
Structural health monitoring,3
Supertall building,0
utility fog,0
Adaptive Learning Technology,0
Augmented learning,0
Gamifying education,7
Intelligent tutoring system,0
Learning Management System,1
Mobile learning,16
Virtual Collaborative Learning,0
Atomtronics,0
Biodegradable electronics,0
Carbon nanotube field-effect transistor,0
Digital scent technology,2
Dynamic inductive charging,47
E-textiles,0
Electronic skin,0
Flexible display,0
Flexible electronics,7
Flexible organic light-emitting diode,0
Gastrobot,0
Holography,10
laser diode headlights,2
Laser video display,0
Memristor,0
Multi-level converter,0
Nanoelectromechanical systems,2
Nanosensor,0
Optical transistor,0
Phonon laser,0
Robotic sensing,0
Solid-state transformer,15
Spintronics,11
three-dimensional integrated circuit,1
Twistronics,0
Virtual retinal display,0
Volumetric display,0
3rd generation solar cell,0
Airborne wind turbine,0
Artificial photosynthesis,16
Biobattery,0
Biomass to liquid,0
Coal liquefaction,0
Combined Cycle Gas Turbine Plant,2
concentrated solar power,3
CZTS solar cell,0
Dye-sensitized solar cell,0
Electric vehicle battery fast charge,22
