,Georgia
Aeroponics,0
agricultural robot,0
aquaponics,9
cellular agriculture,0
closed ecological system,0
Controlled ecological life-support system,0
Cultured meat,0
fogponics,0
Genetically modified crops,0
Genetically modified food,0
Genetically modified organism,0
hydroponics,0
Insects as food,0
meat analogue,3
Passive hydroponics,0
Precision agriculture,12
Precision livestock farming,0
Vertical farming,0
arcology,0
Gesture recognition,3
Domed city,0
Translucent concrete,0
AI Art,0
AI Music,0
Drone display,0
Galliane,0
music technology,33
artificial island,0
Carbon capture and storage,14
Carbon dioxide removal,1
Carbon sequestration,4
Gasoline from Carbon Dioxide,0
Microbial electrolysis carbon capture,0
3D metal printing,14
4d printing,23
Anticipatory Life Cycle Analysis,0
Artificial muscle,1
Bio-manufacturing,6
Claytronics,0
Construction 3D printing,2
Incremental sheet forming,0
Life-cycle assessment,2
Liquid Crystal Elastomers,0
Megatall skyscrapers,0
Molecular assembler,0
Predictive maintenance,5
Radio-frequency identification,11
Robot end effector,0
self assembly,6
Self-reconfiguring modular robot,3
Smart highway,1
Structural health monitoring,0
Supertall building,0
utility fog,0
Adaptive Learning Technology,0
Augmented learning,0
Gamifying education,1
Intelligent tutoring system,0
Learning Management System,8
Mobile learning,11
Virtual Collaborative Learning,0
Atomtronics,0
Biodegradable electronics,0
Carbon nanotube field-effect transistor,0
Digital scent technology,0
Dynamic inductive charging,52
E-textiles,1
Electronic skin,0
Flexible display,1
Flexible electronics,14
Flexible organic light-emitting diode,0
Gastrobot,0
Holography,0
laser diode headlights,0
Laser video display,0
Memristor,0
Multi-level converter,0
Nanoelectromechanical systems,1
Nanosensor,0
Optical transistor,0
Phonon laser,0
Robotic sensing,0
Solid-state transformer,0
Spintronics,0
three-dimensional integrated circuit,1
Twistronics,0
Virtual retinal display,0
Volumetric display,0
3rd generation solar cell,0
Airborne wind turbine,0
Artificial photosynthesis,0
Biobattery,0
Biomass to liquid,0
Coal liquefaction,0
Combined Cycle Gas Turbine Plant,1
concentrated solar power,8
CZTS solar cell,0
Dye-sensitized solar cell,1
Electric vehicle battery fast charge,6
