,India
Aeroponics,14
agricultural robot,5
aquaponics,39
cellular agriculture,6
closed ecological system,9
Controlled ecological life-support system,0
Cultured meat,17
fogponics,0
Genetically modified crops,236
Genetically modified food,147
Genetically modified organism,45
hydroponics,79
Insects as food,4
meat analogue,30
Passive hydroponics,4
Precision agriculture,192
Precision livestock farming,5
Vertical farming,102
arcology,0
Gesture recognition,66
Domed city,0
Translucent concrete,2
AI Art,0
AI Music,2
Drone display,0
Galliane,0
music technology,2
artificial island,1
Carbon capture and storage,130
Carbon dioxide removal,4
Carbon sequestration,18
Gasoline from Carbon Dioxide,0
Microbial electrolysis carbon capture,0
3D metal printing,52
4d printing,27
Anticipatory Life Cycle Analysis,0
Artificial muscle,3
Bio-manufacturing,18
Claytronics,0
Construction 3D printing,0
Incremental sheet forming,0
Life-cycle assessment,4
Liquid Crystal Elastomers,0
Megatall skyscrapers,0
Molecular assembler,0
Predictive maintenance,69
Radio-frequency identification,396
Robot end effector,0
self assembly,4
Self-reconfiguring modular robot,7
Smart highway,69
Structural health monitoring,27
Supertall building,0
utility fog,0
Adaptive Learning Technology,0
Augmented learning,0
Gamifying education,103
Intelligent tutoring system,0
Learning Management System,79
Mobile learning,327
Virtual Collaborative Learning,0
Atomtronics,0
Biodegradable electronics,0
Carbon nanotube field-effect transistor,0
Digital scent technology,18
Dynamic inductive charging,120
E-textiles,33
Electronic skin,12
Flexible display,19
Flexible electronics,30
Flexible organic light-emitting diode,0
Gastrobot,0
Holography,70
laser diode headlights,10
Laser video display,2
Memristor,9
Multi-level converter,0
Nanoelectromechanical systems,4
Nanosensor,3
Optical transistor,0
Phonon laser,3
Robotic sensing,0
Solid-state transformer,2
Spintronics,16
three-dimensional integrated circuit,16
Twistronics,0
Virtual retinal display,13
Volumetric display,9
3rd generation solar cell,0
Airborne wind turbine,0
Artificial photosynthesis,21
Biobattery,0
Biomass to liquid,0
Coal liquefaction,14
Combined Cycle Gas Turbine Plant,11
concentrated solar power,43
CZTS solar cell,0
Dye-sensitized solar cell,2
Electric vehicle battery fast charge,147
Energy harvesting,78
Floating Liquefied Natural Gas,13
Flywheel energy storage,5
Fourth-generation biofuel,1
Fusion power,42
Gas generator,38
