,Israel
Aeroponics,1
agricultural robot,0
aquaponics,2
cellular agriculture,3
closed ecological system,6
Controlled ecological life-support system,0
Cultured meat,88
fogponics,0
Genetically modified crops,2
Genetically modified food,1
Genetically modified organism,4
hydroponics,6
Insects as food,0
meat analogue,49
Passive hydroponics,11
Precision agriculture,54
Precision livestock farming,1
Vertical farming,4
arcology,0
Gesture recognition,13
Domed city,0
Translucent concrete,0
AI Art,0
AI Music,0
Drone display,0
Galliane,0
music technology,0
artificial island,3
Carbon capture and storage,1
Carbon dioxide removal,0
Carbon sequestration,0
Gasoline from Carbon Dioxide,0
Microbial electrolysis carbon capture,0
3D metal printing,8
4d printing,2
Anticipatory Life Cycle Analysis,0
Artificial muscle,0
Bio-manufacturing,1
Claytronics,0
Construction 3D printing,0
Incremental sheet forming,0
Life-cycle assessment,0
Liquid Crystal Elastomers,0
Megatall skyscrapers,0
Molecular assembler,0
Predictive maintenance,59
Radio-frequency identification,10
Robot end effector,0
self assembly,1
Self-reconfiguring modular robot,0
Smart highway,2
Structural health monitoring,1
Supertall building,0
utility fog,0
Adaptive Learning Technology,0
Augmented learning,0
Gamifying education,4
Intelligent tutoring system,0
Learning Management System,0
Mobile learning,3
Virtual Collaborative Learning,0
Atomtronics,0
Biodegradable electronics,0
Carbon nanotube field-effect transistor,0
Digital scent technology,1
Dynamic inductive charging,35
E-textiles,1
Electronic skin,7
Flexible display,0
Flexible electronics,0
Flexible organic light-emitting diode,0
Gastrobot,0
Holography,15
laser diode headlights,0
Laser video display,0
Memristor,2
Multi-level converter,0
Nanoelectromechanical systems,7
Nanosensor,1
Optical transistor,0
Phonon laser,0
Robotic sensing,0
Solid-state transformer,0
Spintronics,9
three-dimensional integrated circuit,0
Twistronics,0
Virtual retinal display,0
Volumetric display,0
3rd generation solar cell,0
Airborne wind turbine,1
Artificial photosynthesis,0
Biobattery,0
Biomass to liquid,0
Coal liquefaction,0
Combined Cycle Gas Turbine Plant,0
concentrated solar power,15
CZTS solar cell,0
Dye-sensitized solar cell,0
Electric vehicle battery fast charge,2
Energy harvesting,10
Floating Liquefied Natural Gas,2
Flywheel energy storage,0
Fourth-generation biofuel,5
Fusion power,0
Gas generator,1
Gas-cooled fast reactor,0
Gasification,2
Generation IV reactor,0
Grid energy storage,1
Holograms for solar,0
Home fuel cell,0
Hydrogen fuel,16
Lead-cooled fast reactor,0
Liquid fluoride thorium reactor,0
Liquid metal battery,0
Lithium ion battery,8
Lithium iron phosphate battery,1
Lithium-air battery,0
Lithium-sulfur battery,0
Magnesium battery,1
Microbial electrolysis cell,0
Microreactor,0
Mini Bioreactors,0
Modular Reactors,0
Molten salt reactor,0
Nanocharging Solar,0
Nanowire battery,0
Ocean thermal energy conversion,0
Oil detection,47
Optical rectenna,0
Organic solar cell,4
Perovskite solar cell,1
Power-to-X,0
Proton Battery,0
Quantum dot solar cell,0
second-generation biofuels,1
Smart grid,21
Sodium-cooled fast reactor,0
Space-based solar power,0
Supercapacitor,0
Supercritical water reactor,0
Third-generation biofuels,0
Thorium fuel cycle,0
Triboelectric Nanogenerator,0
Virtual power Plant,0
Vortex engine,0
Wireless power transfer,10
Zero-energy building,0
Automated journalism,0
Foundation garment,0
Haptic feedback systems,2
Wearable journalism,47
Cryptocurrency,167
Stablecoin,2
Companion robot,6
Cryonics,0
Extreme Life extension,36
Suspended animation,0
5D DVD,0
5g,105
6G,3
Ambient intelligence,0
Artificial brain,0
Artificial general intelligence,900
Atmospheric satellite,0
Automatic AI debugging,0
Cloud computing,134
Compressive Sensing,0
Deep learning,142
deep trench capacitor,0
Digital image processing,67
Digital image segmentation,0
Distributed ledger,412
DNA Computing,0
DNA digital data storage,0
Edge Computing,23
Edge enhancement,0
Embedded systems in substrate,0
Exascale computing,0
Extreme ultraviolet lithography,0
Facial recognition,59
General-purpose computing on graphics processing units,0
GPT-4,0
Haptic technology,2
Holographic data storage,0
Hyper CD-ROM,0
In-memory processing,0
In-storage processing,0
Indoor positioning system,0
Internet of things,212
Li-Fi,0
Machine translation,5
Machine vision,61
Nanoradio,0
Natural Language Processing,17
Neural Networks,10
Neural-sensing headset,0
next gen web search,0
Open source model,1
Optical computing,5
Quantum algorithm,0
Quantum computing hardware,84
Quantum cryptography,1
Semantic Web,0
Silicon laser for communication,0
Smartphone,321
Spatial computing,0
Streaming television,2
Subvocal recognition,0
Ultradense Molecular Memory,0
Vehicular communication systems,24
Virtual reality applications,0
Visible Light Communication,7
wi-fi 6,0
wi-fi 7,0
AI Arbitration,0
Digital forensics tools,3
Document automation,0
Intelligent Knowledge Management,0
Aerogel,0
Amorphous metal,0
Bioplastic,2
Carbon nanotube,10
Conductive polymer,1
Cryogenic treatment,0
Dynamic Armor,0
Eutectic system,0
Fast-ion Conductors,0
Fullerene,1
Gallium Nitride semiconductor,0
Graphene,82
Graphene Oxide dough,0
High Entropy Alloys,0
Magnetic nanoparticles,0
Magnetorheological fluid,0
Metal foam,0
Metamaterial,0
Multi-function structure,0
Nanocrystal,10
Nanotextured surface,0
Photonic Metamaterial,0
piezoelectric material adhesion,0
Programmable matter,0
