,Italy
Aeroponics,1
agricultural robot,0
aquaponics,2
cellular agriculture,0
closed ecological system,10
Controlled ecological life-support system,0
Cultured meat,1
fogponics,0
Genetically modified crops,1
Genetically modified food,0
Genetically modified organism,13
hydroponics,5
Insects as food,2
meat analogue,1
Passive hydroponics,1
Precision agriculture,13
Precision livestock farming,1
Vertical farming,1
arcology,1
Gesture recognition,3
Domed city,0
Translucent concrete,0
AI Art,0
AI Music,0
Drone display,0
Galliane,0
music technology,1
artificial island,0
Carbon capture and storage,10
Carbon dioxide removal,1
Carbon sequestration,0
Gasoline from Carbon Dioxide,0
Microbial electrolysis carbon capture,0
3D metal printing,3
4d printing,6
Anticipatory Life Cycle Analysis,0
Artificial muscle,0
Bio-manufacturing,0
Claytronics,0
Construction 3D printing,0
Incremental sheet forming,0
Life-cycle assessment,0
Liquid Crystal Elastomers,10
Megatall skyscrapers,0
Molecular assembler,0
Predictive maintenance,2
Radio-frequency identification,33
Robot end effector,0
self assembly,4
Self-reconfiguring modular robot,0
Smart highway,0
Structural health monitoring,5
Supertall building,0
utility fog,0
Adaptive Learning Technology,0
Augmented learning,0
Gamifying education,3
Intelligent tutoring system,0
Learning Management System,5
Mobile learning,2
Virtual Collaborative Learning,0
Atomtronics,0
Biodegradable electronics,0
Carbon nanotube field-effect transistor,0
Digital scent technology,1
Dynamic inductive charging,14
E-textiles,0
Electronic skin,0
Flexible display,0
Flexible electronics,7
Flexible organic light-emitting diode,0
Gastrobot,0
Holography,4
laser diode headlights,1
Laser video display,0
Memristor,0
Multi-level converter,0
Nanoelectromechanical systems,0
Nanosensor,0
Optical transistor,0
Phonon laser,0
Robotic sensing,0
Solid-state transformer,0
Spintronics,7
three-dimensional integrated circuit,0
Twistronics,0
Virtual retinal display,0
Volumetric display,0
3rd generation solar cell,0
Airborne wind turbine,0
Artificial photosynthesis,2
Biobattery,0
Biomass to liquid,0
Coal liquefaction,0
Combined Cycle Gas Turbine Plant,2
concentrated solar power,5
CZTS solar cell,0
Dye-sensitized solar cell,0
Electric vehicle battery fast charge,2
Energy harvesting,21
Floating Liquefied Natural Gas,3
Flywheel energy storage,1
Fourth-generation biofuel,2
Fusion power,0
Gas generator,4
Gas-cooled fast reactor,0
Gasification,6
Generation IV reactor,0
Grid energy storage,4
Holograms for solar,0
Home fuel cell,0
Hydrogen fuel,9
Lead-cooled fast reactor,0
Liquid fluoride thorium reactor,0
Liquid metal battery,0
Lithium ion battery,12
Lithium iron phosphate battery,0
Lithium-air battery,0
Lithium-sulfur battery,1
Magnesium battery,0
Microbial electrolysis cell,0
Microreactor,0
Mini Bioreactors,0
Modular Reactors,0
Molten salt reactor,0
Nanocharging Solar,0
Nanowire battery,1
Ocean thermal energy conversion,0
Oil detection,71
Optical rectenna,0
Organic solar cell,0
Perovskite solar cell,17
Power-to-X,0
Proton Battery,0
Quantum dot solar cell,0
second-generation biofuels,7
Smart grid,54
Sodium-cooled fast reactor,0
Space-based solar power,0
Supercapacitor,2
Supercritical water reactor,0
Third-generation biofuels,1
Thorium fuel cycle,0
Triboelectric Nanogenerator,0
Virtual power Plant,11
Vortex engine,0
Wireless power transfer,0
Zero-energy building,0
Automated journalism,0
Foundation garment,0
Haptic feedback systems,1
Wearable journalism,31
Cryptocurrency,69
Stablecoin,0
Companion robot,3
Cryonics,1
Extreme Life extension,1
Suspended animation,0
5D DVD,0
5g,345
6G,0
Ambient intelligence,1
Artificial brain,1
Artificial general intelligence,200
Atmospheric satellite,0
Automatic AI debugging,0
Cloud computing,55
Compressive Sensing,2
Deep learning,34
deep trench capacitor,0
Digital image processing,4
Digital image segmentation,0
Distributed ledger,164
DNA Computing,0
DNA digital data storage,0
Edge Computing,5
Edge enhancement,0
Embedded systems in substrate,0
Exascale computing,0
Extreme ultraviolet lithography,0
Facial recognition,8
General-purpose computing on graphics processing units,0
GPT-4,0
Haptic technology,3
Holographic data storage,0
Hyper CD-ROM,0
In-memory processing,0
In-storage processing,0
Indoor positioning system,0
Internet of things,91
Li-Fi,0
Machine translation,2
Machine vision,10
Nanoradio,0
Natural Language Processing,2
Neural Networks,30
Neural-sensing headset,0
next gen web search,0
Open source model,0
Optical computing,0
Quantum algorithm,1
Quantum computing hardware,10
Quantum cryptography,1
Semantic Web,6
Silicon laser for communication,0
Smartphone,187
Spatial computing,0
Streaming television,1
Subvocal recognition,0
Ultradense Molecular Memory,0
Vehicular communication systems,7
Virtual reality applications,0
Visible Light Communication,7
wi-fi 6,1
wi-fi 7,0
AI Arbitration,0
Digital forensics tools,0
Document automation,0
Intelligent Knowledge Management,0
Aerogel,2
Amorphous metal,1
Bioplastic,58
Carbon nanotube,34
Conductive polymer,1
Cryogenic treatment,0
Dynamic Armor,0
Eutectic system,0
Fast-ion Conductors,0
Fullerene,0
Gallium Nitride semiconductor,1
Graphene,167
Graphene Oxide dough,2
High Entropy Alloys,0
Magnetic nanoparticles,0
Magnetorheological fluid,0
Metal foam,0
Metamaterial,6
Multi-function structure,0
Nanocrystal,6
Nanotextured surface,0
Photonic Metamaterial,0
piezoelectric material adhesion,0
Programmable matter,0
