,Japan
Aeroponics,5
agricultural robot,5
aquaponics,33
cellular agriculture,17
closed ecological system,14
Controlled ecological life-support system,0
Cultured meat,40
fogponics,0
Genetically modified crops,4
Genetically modified food,13
Genetically modified organism,17
hydroponics,36
Insects as food,2
meat analogue,29
Passive hydroponics,0
Precision agriculture,88
Precision livestock farming,6
Vertical farming,116
arcology,0
Gesture recognition,50
Domed city,0
Translucent concrete,0
AI Art,0
AI Music,0
Drone display,0
Galliane,0
music technology,2
artificial island,7
Carbon capture and storage,91
Carbon dioxide removal,0
Carbon sequestration,3
Gasoline from Carbon Dioxide,0
Microbial electrolysis carbon capture,0
3D metal printing,41
4d printing,31
Anticipatory Life Cycle Analysis,0
Artificial muscle,18
Bio-manufacturing,16
Claytronics,2
Construction 3D printing,0
Incremental sheet forming,0
Life-cycle assessment,4
Liquid Crystal Elastomers,7
Megatall skyscrapers,0
Molecular assembler,0
Predictive maintenance,25
Radio-frequency identification,240
Robot end effector,5
self assembly,18
Self-reconfiguring modular robot,0
Smart highway,18
Structural health monitoring,15
Supertall building,0
utility fog,0
Adaptive Learning Technology,2
Augmented learning,0
Gamifying education,30
Intelligent tutoring system,0
Learning Management System,16
Mobile learning,56
Virtual Collaborative Learning,0
Atomtronics,0
Biodegradable electronics,0
Carbon nanotube field-effect transistor,0
Digital scent technology,8
Dynamic inductive charging,177
E-textiles,11
Electronic skin,13
Flexible display,32
Flexible electronics,46
Flexible organic light-emitting diode,0
Gastrobot,0
Holography,55
laser diode headlights,9
Laser video display,1
Memristor,5
Multi-level converter,0
Nanoelectromechanical systems,9
Nanosensor,1
Optical transistor,0
Phonon laser,0
Robotic sensing,0
Solid-state transformer,11
Spintronics,103
three-dimensional integrated circuit,7
Twistronics,0
Virtual retinal display,3
Volumetric display,26
3rd generation solar cell,0
Airborne wind turbine,0
Artificial photosynthesis,26
Biobattery,0
Biomass to liquid,0
Coal liquefaction,8
Combined Cycle Gas Turbine Plant,15
concentrated solar power,5
CZTS solar cell,0
Dye-sensitized solar cell,1
Electric vehicle battery fast charge,48
Energy harvesting,48
Floating Liquefied Natural Gas,10
Flywheel energy storage,3
Fourth-generation biofuel,9
Fusion power,48
Gas generator,17
Gas-cooled fast reactor,0
Gasification,72
Generation IV reactor,0
Grid energy storage,21
Holograms for solar,0
Home fuel cell,0
Hydrogen fuel,189
Lead-cooled fast reactor,0
Liquid fluoride thorium reactor,0
Liquid metal battery,0
Lithium ion battery,414
Lithium iron phosphate battery,5
Lithium-air battery,1
Lithium-sulfur battery,6
Magnesium battery,42
Microbial electrolysis cell,0
Microreactor,3
Mini Bioreactors,0
Modular Reactors,6
Molten salt reactor,2
Nanocharging Solar,0
Nanowire battery,3
Ocean thermal energy conversion,20
Oil detection,87
Optical rectenna,0
Organic solar cell,6
Perovskite solar cell,21
Power-to-X,0
Proton Battery,3
Quantum dot solar cell,0
second-generation biofuels,12
Smart grid,287
Sodium-cooled fast reactor,1
Space-based solar power,17
Supercapacitor,87
Supercritical water reactor,0
Third-generation biofuels,6
Thorium fuel cycle,0
Triboelectric Nanogenerator,0
Virtual power Plant,33
Vortex engine,0
Wireless power transfer,152
Zero-energy building,5
Automated journalism,0
Foundation garment,8
Haptic feedback systems,9
Wearable journalism,270
Cryptocurrency,2283
Stablecoin,22
Companion robot,133
Cryonics,1
Extreme Life extension,29
Suspended animation,1
5D DVD,0
5g,1800
6G,21
Ambient intelligence,18
Artificial brain,1
Artificial general intelligence,1821
Atmospheric satellite,0
Automatic AI debugging,0
Cloud computing,381
Compressive Sensing,0
Deep learning,207
deep trench capacitor,0
Digital image processing,75
Digital image segmentation,0
Distributed ledger,1585
DNA Computing,0
DNA digital data storage,0
Edge Computing,106
Edge enhancement,0
Embedded systems in substrate,0
Exascale computing,3
Extreme ultraviolet lithography,15
Facial recognition,175
General-purpose computing on graphics processing units,0
GPT-4,0
Haptic technology,48
Holographic data storage,1
Hyper CD-ROM,0
In-memory processing,0
In-storage processing,0
Indoor positioning system,0
Internet of things,1098
Li-Fi,51
Machine translation,23
Machine vision,224
Nanoradio,0
Natural Language Processing,50
Neural Networks,58
Neural-sensing headset,0
next gen web search,0
Open source model,0
Optical computing,0
Quantum algorithm,7
Quantum computing hardware,170
Quantum cryptography,46
Semantic Web,12
Silicon laser for communication,0
Smartphone,1934
Spatial computing,4
Streaming television,51
Subvocal recognition,0
Ultradense Molecular Memory,0
Vehicular communication systems,47
Virtual reality applications,1
Visible Light Communication,40
wi-fi 6,0
wi-fi 7,0
AI Arbitration,0
Digital forensics tools,0
Document automation,4
Intelligent Knowledge Management,0
Aerogel,29
Amorphous metal,14
Bioplastic,44
Carbon nanotube,181
Conductive polymer,9
Cryogenic treatment,0
Dynamic Armor,0
Eutectic system,0
Fast-ion Conductors,0
Fullerene,21
Gallium Nitride semiconductor,16
Graphene,394
Graphene Oxide dough,18
High Entropy Alloys,1
Magnetic nanoparticles,8
Magnetorheological fluid,1
Metal foam,1
Metamaterial,22
Multi-function structure,0
Nanocrystal,23
Nanotextured surface,0
Photonic Metamaterial,1
piezoelectric material adhesion,0
Programmable matter,0
Quantum dot,124
Self-cleaning surfaces,1
Shape Memory Polymer,4
Shape-memory alloy,7
Silicene,6
Single Photon Source,0
Superalloy,12
Superfluidity,0
Superlenses chips,0
Syntactic Materials,0
Time crystal,0
Zeolite,49
Zero-friction coating,0
16K video resolution,0
Augmented reality,324
Brain-computer interface,17
Computer-generated imagery,1
Detecting fake news online automatically,0
e-Reader,10
Extended Reality,4
hydrogen vehicle,5
Immersion (virtual reality),1
Mixed Reality,41
Video tracking,1
Virtual reality,322
3D Bioprinting,18
Anti-degenerative medicine,0
Apheresis,41
Artificial womb,6
Bio Ink,149
Biomimetic Nanocoagulation,0
Biosensor,29
Breath analysis,2
Cancer biomarker,11
Capsule endoscopy,33
Cortical implant,0
De-extinction,0
DNA-templated organic synthesis,0
Drug-eluting stent,4
Electroanalgesia,0
Electronic nose,3
Head transplant,6
Intelligent toilet,21
Jet injector,1
Lab-on-a-chip,39
Microelectromechanical systems,200
Microfluidics,35
Molecular electronics,2
Nanorobotics,2
Neuron Control,0
Neuroprosthetics,10
Nutritional genomics,1
Omni Processor,0
OOKP,0
Organ-on-a-Chip,4
Photoacoustic imaging,9
Plasma Medicine,38
Point of care automated analyser,0
Portable water purification,4
Powered exoskeleton,8
Protein Structure Prediction,0
Rapid diagnostic test,9
Real-time polymerase chain reaction,1
Regenerative Medicine,1005
Sensory substitution,0
Single Cell Analysis,12
Stasis Chamber,0
Synthetic Blood,7
Theranostic Wound Care,83
Transdermal optical imaging,0
Active camouflage,7
Active noise control,0
Automatic identification of suspicious activity,0
Cloaking device,3
Coilgun,0
Compact Kinetic Energy Missile,0
DART ammunition,0
Delay-line oscillator,0
Electrolaser,0
Electroshock weapon,1
Electrothermal-chemical technology for propellants,0
EMP weapon,0
Explosively pumped flux compression generator,0
Force Field,2
Homodyne detection,0
HPM weapons,3
Hypersonic weapon,4
Kinetic bombardment,0
Kinetic energy penetrator,0
Laser weapon,0
Lidar,155
MAHEM,0
Metamaterial cloaking,0
MGM-166 LOSAT,0
Nonlinear metamaterial,0
Optical coating,14
Optoelectronic oscillator,0
Particle-beam weapon,0
Plasma stealth,0
Pure fusion weapon,0
Quadcopter,4
Quantum illumination,6
Quantum radar,0
Railgun,0
Sonic weapon,0
Swarm robotic platforms,0
Swarm robotics,5
Teslaphoresis,0
