,Mexico
Aeroponics,1
agricultural robot,2
aquaponics,9
cellular agriculture,0
closed ecological system,0
Controlled ecological life-support system,0
Cultured meat,0
fogponics,0
Genetically modified crops,14
Genetically modified food,1
Genetically modified organism,5
hydroponics,7
Insects as food,7
meat analogue,2
Passive hydroponics,1
Precision agriculture,21
Precision livestock farming,2
Vertical farming,9
arcology,0
Gesture recognition,1
Domed city,0
Translucent concrete,0
AI Art,0
AI Music,0
Drone display,0
Galliane,0
music technology,0
artificial island,1
Carbon capture and storage,40
Carbon dioxide removal,0
Carbon sequestration,5
Gasoline from Carbon Dioxide,0
Microbial electrolysis carbon capture,0
3D metal printing,5
4d printing,1
Anticipatory Life Cycle Analysis,0
Artificial muscle,0
Bio-manufacturing,0
Claytronics,0
Construction 3D printing,0
Incremental sheet forming,0
Life-cycle assessment,2
Liquid Crystal Elastomers,0
Megatall skyscrapers,0
Molecular assembler,0
Predictive maintenance,0
Radio-frequency identification,40
Robot end effector,0
self assembly,5
Self-reconfiguring modular robot,0
Smart highway,6
Structural health monitoring,6
Supertall building,0
utility fog,0
Adaptive Learning Technology,0
Augmented learning,0
Gamifying education,5
Intelligent tutoring system,0
Learning Management System,3
Mobile learning,9
Virtual Collaborative Learning,0
Atomtronics,0
Biodegradable electronics,0
Carbon nanotube field-effect transistor,0
Digital scent technology,8
Dynamic inductive charging,11
E-textiles,4
Electronic skin,0
Flexible display,2
Flexible electronics,27
Flexible organic light-emitting diode,0
Gastrobot,0
Holography,2
laser diode headlights,0
Laser video display,1
Memristor,0
Multi-level converter,0
Nanoelectromechanical systems,0
Nanosensor,0
Optical transistor,0
Phonon laser,0
Robotic sensing,0
Solid-state transformer,0
Spintronics,4
three-dimensional integrated circuit,0
Twistronics,0
Virtual retinal display,0
Volumetric display,0
3rd generation solar cell,0
Airborne wind turbine,0
Artificial photosynthesis,2
Biobattery,0
Biomass to liquid,0
Coal liquefaction,0
Combined Cycle Gas Turbine Plant,16
concentrated solar power,5
CZTS solar cell,0
Dye-sensitized solar cell,0
Electric vehicle battery fast charge,13
Energy harvesting,5
Floating Liquefied Natural Gas,31
Flywheel energy storage,0
Fourth-generation biofuel,0
Fusion power,0
Gas generator,6
Gas-cooled fast reactor,0
Gasification,3
Generation IV reactor,0
Grid energy storage,2
Holograms for solar,0
Home fuel cell,0
Hydrogen fuel,2
Lead-cooled fast reactor,0
Liquid fluoride thorium reactor,0
Liquid metal battery,0
Lithium ion battery,17
Lithium iron phosphate battery,0
Lithium-air battery,0
Lithium-sulfur battery,0
Magnesium battery,0
Microbial electrolysis cell,0
Microreactor,0
Mini Bioreactors,0
Modular Reactors,0
Molten salt reactor,0
Nanocharging Solar,0
Nanowire battery,1
Ocean thermal energy conversion,0
Oil detection,1039
Optical rectenna,0
Organic solar cell,0
Perovskite solar cell,0
Power-to-X,0
Proton Battery,0
Quantum dot solar cell,0
second-generation biofuels,3
Smart grid,85
Sodium-cooled fast reactor,0
Space-based solar power,1
Supercapacitor,4
Supercritical water reactor,0
Third-generation biofuels,2
Thorium fuel cycle,0
Triboelectric Nanogenerator,0
Virtual power Plant,3
Vortex engine,0
Wireless power transfer,2
Zero-energy building,0
Automated journalism,0
Foundation garment,0
Haptic feedback systems,1
Wearable journalism,48
Cryptocurrency,182
Stablecoin,1
Companion robot,4
Cryonics,0
Extreme Life extension,133
Suspended animation,0
5D DVD,2
5g,112
6G,1
Ambient intelligence,0
Artificial brain,0
Artificial general intelligence,167
Atmospheric satellite,0
Automatic AI debugging,0
Cloud computing,74
Compressive Sensing,0
Deep learning,10
deep trench capacitor,0
Digital image processing,18
Digital image segmentation,0
Distributed ledger,164
DNA Computing,0
DNA digital data storage,0
Edge Computing,2
