,New Zealand
Aeroponics,0
agricultural robot,0
aquaponics,1
cellular agriculture,1
closed ecological system,1
Controlled ecological life-support system,0
Cultured meat,5
fogponics,0
Genetically modified crops,0
Genetically modified food,2
Genetically modified organism,19
hydroponics,2
Insects as food,0
meat analogue,6
Passive hydroponics,3
Precision agriculture,23
Precision livestock farming,7
Vertical farming,4
arcology,0
Gesture recognition,0
Domed city,0
Translucent concrete,0
AI Art,2
AI Music,0
Drone display,0
Galliane,0
music technology,0
artificial island,0
Carbon capture and storage,13
Carbon dioxide removal,0
Carbon sequestration,8
Gasoline from Carbon Dioxide,0
Microbial electrolysis carbon capture,0
3D metal printing,2
4d printing,0
Anticipatory Life Cycle Analysis,0
Artificial muscle,1
Bio-manufacturing,0
Claytronics,0
Construction 3D printing,0
Incremental sheet forming,0
Life-cycle assessment,2
Liquid Crystal Elastomers,0
Megatall skyscrapers,0
Molecular assembler,0
Predictive maintenance,0
Radio-frequency identification,1
Robot end effector,0
self assembly,0
Self-reconfiguring modular robot,0
Smart highway,7
Structural health monitoring,0
Supertall building,0
utility fog,0
Adaptive Learning Technology,0
Augmented learning,0
Gamifying education,2
Intelligent tutoring system,0
Learning Management System,2
Mobile learning,28
Virtual Collaborative Learning,0
Atomtronics,0
Biodegradable electronics,0
Carbon nanotube field-effect transistor,0
Digital scent technology,0
Dynamic inductive charging,26
E-textiles,0
Electronic skin,0
Flexible display,0
Flexible electronics,0
Flexible organic light-emitting diode,0
Gastrobot,0
Holography,0
laser diode headlights,0
Laser video display,0
Memristor,0
Multi-level converter,0
Nanoelectromechanical systems,0
Nanosensor,0
Optical transistor,0
Phonon laser,0
Robotic sensing,0
Solid-state transformer,0
Spintronics,0
three-dimensional integrated circuit,0
Twistronics,0
Virtual retinal display,1
Volumetric display,0
3rd generation solar cell,0
Airborne wind turbine,0
Artificial photosynthesis,0
Biobattery,0
Biomass to liquid,0
Coal liquefaction,0
Combined Cycle Gas Turbine Plant,0
concentrated solar power,0
CZTS solar cell,0
Dye-sensitized solar cell,0
Electric vehicle battery fast charge,3
