,Singapore
Aeroponics,3
agricultural robot,0
aquaponics,3
cellular agriculture,0
closed ecological system,13
Controlled ecological life-support system,0
Cultured meat,63
fogponics,0
Genetically modified crops,2
Genetically modified food,1
Genetically modified organism,2
hydroponics,22
Insects as food,0
meat analogue,43
Passive hydroponics,2
Precision agriculture,4
Precision livestock farming,0
Vertical farming,94
arcology,0
Gesture recognition,3
Domed city,0
Translucent concrete,1
AI Art,0
AI Music,1
Drone display,0
Galliane,0
music technology,4
artificial island,3
Carbon capture and storage,18
Carbon dioxide removal,0
Carbon sequestration,0
Gasoline from Carbon Dioxide,0
Microbial electrolysis carbon capture,0
3D metal printing,29
4d printing,25
Anticipatory Life Cycle Analysis,0
Artificial muscle,0
Bio-manufacturing,0
Claytronics,0
Construction 3D printing,3
Incremental sheet forming,0
Life-cycle assessment,1
Liquid Crystal Elastomers,0
Megatall skyscrapers,0
Molecular assembler,0
Predictive maintenance,12
Radio-frequency identification,47
Robot end effector,0
self assembly,6
Self-reconfiguring modular robot,1
Smart highway,8
Structural health monitoring,1
Supertall building,0
utility fog,0
Adaptive Learning Technology,1
Augmented learning,0
Gamifying education,13
Intelligent tutoring system,0
Learning Management System,9
Mobile learning,69
Virtual Collaborative Learning,0
Atomtronics,0
Biodegradable electronics,0
Carbon nanotube field-effect transistor,0
Digital scent technology,0
Dynamic inductive charging,108
E-textiles,0
Electronic skin,60
Flexible display,1
Flexible electronics,43
Flexible organic light-emitting diode,0
Gastrobot,0
Holography,0
laser diode headlights,0
Laser video display,0
Memristor,2
Multi-level converter,0
Nanoelectromechanical systems,4
Nanosensor,1
Optical transistor,0
Phonon laser,0
Robotic sensing,1
Solid-state transformer,1
Spintronics,14
three-dimensional integrated circuit,2
Twistronics,4
Virtual retinal display,0
Volumetric display,0
3rd generation solar cell,0
Airborne wind turbine,0
Artificial photosynthesis,22
Biobattery,0
Biomass to liquid,0
Coal liquefaction,0
Combined Cycle Gas Turbine Plant,5
concentrated solar power,0
CZTS solar cell,0
Dye-sensitized solar cell,0
Electric vehicle battery fast charge,16
Energy harvesting,12
Floating Liquefied Natural Gas,22
Flywheel energy storage,0
Fourth-generation biofuel,0
Fusion power,0
Gas generator,0
Gas-cooled fast reactor,0
Gasification,31
Generation IV reactor,0
Grid energy storage,0
Holograms for solar,0
Home fuel cell,0
Hydrogen fuel,19
Lead-cooled fast reactor,0
Liquid fluoride thorium reactor,0
Liquid metal battery,0
Lithium ion battery,20
Lithium iron phosphate battery,0
Lithium-air battery,0
Lithium-sulfur battery,6
Magnesium battery,0
Microbial electrolysis cell,0
Microreactor,0
Mini Bioreactors,0
Modular Reactors,0
Molten salt reactor,0
Nanocharging Solar,0
Nanowire battery,0
Ocean thermal energy conversion,0
Oil detection,17
Optical rectenna,0
Organic solar cell,5
Perovskite solar cell,3
Power-to-X,0
Proton Battery,0
Quantum dot solar cell,0
second-generation biofuels,3
Smart grid,40
Sodium-cooled fast reactor,0
Space-based solar power,0
Supercapacitor,13
Supercritical water reactor,0
Third-generation biofuels,0
Thorium fuel cycle,0
Triboelectric Nanogenerator,1
Virtual power Plant,4
Vortex engine,0
Wireless power transfer,0
Zero-energy building,10
Automated journalism,0
Foundation garment,0
Haptic feedback systems,0
Wearable journalism,151
Cryptocurrency,1467
Stablecoin,32
Companion robot,16
Cryonics,0
Extreme Life extension,6
Suspended animation,0
5D DVD,0
5g,587
6G,2
Ambient intelligence,5
Artificial brain,4
Artificial general intelligence,1470
Atmospheric satellite,0
Automatic AI debugging,0
Cloud computing,337
Compressive Sensing,0
Deep learning,112
deep trench capacitor,0
Digital image processing,16
Digital image segmentation,0
Distributed ledger,3561
DNA Computing,0
DNA digital data storage,0
Edge Computing,18
Edge enhancement,0
Embedded systems in substrate,0
Exascale computing,0
Extreme ultraviolet lithography,1
Facial recognition,160
General-purpose computing on graphics processing units,0
GPT-4,0
Haptic technology,3
Holographic data storage,0
Hyper CD-ROM,0
In-memory processing,0
In-storage processing,0
Indoor positioning system,0
Internet of things,564
Li-Fi,15
Machine translation,3
Machine vision,12
Nanoradio,0
Natural Language Processing,33
Neural Networks,13
Neural-sensing headset,0
next gen web search,0
Open source model,0
Optical computing,0
Quantum algorithm,11
Quantum computing hardware,120
Quantum cryptography,15
Semantic Web,2
Silicon laser for communication,0
Smartphone,699
Spatial computing,0
Streaming television,4
Subvocal recognition,0
Ultradense Molecular Memory,0
Vehicular communication systems,1
Virtual reality applications,1
Visible Light Communication,0
wi-fi 6,0
wi-fi 7,0
AI Arbitration,0
Digital forensics tools,0
Document automation,0
Intelligent Knowledge Management,0
Aerogel,33
Amorphous metal,0
Bioplastic,2
Carbon nanotube,33
Conductive polymer,6
Cryogenic treatment,0
Dynamic Armor,0
Eutectic system,0
Fast-ion Conductors,0
Fullerene,0
Gallium Nitride semiconductor,0
Graphene,232
Graphene Oxide dough,10
High Entropy Alloys,2
Magnetic nanoparticles,14
Magnetorheological fluid,0
Metal foam,0
Metamaterial,5
Multi-function structure,0
Nanocrystal,8
Nanotextured surface,0
Photonic Metamaterial,0
piezoelectric material adhesion,0
Programmable matter,0
Quantum dot,27
Self-cleaning surfaces,0
Shape Memory Polymer,5
Shape-memory alloy,4
Silicene,0
Single Photon Source,0
Superalloy,1
Superfluidity,0
Superlenses chips,0
Syntactic Materials,0
Time crystal,0
Zeolite,0
Zero-friction coating,0
16K video resolution,0
Augmented reality,88
Brain-computer interface,0
Computer-generated imagery,1
Detecting fake news online automatically,0
e-Reader,0
Extended Reality,5
hydrogen vehicle,0
Immersion (virtual reality),5
Mixed Reality,31
Video tracking,0
Virtual reality,131
3D Bioprinting,12
Anti-degenerative medicine,0
Apheresis,0
Artificial womb,0
Bio Ink,20
Biomimetic Nanocoagulation,0
Biosensor,23
Breath analysis,1
Cancer biomarker,3
Capsule endoscopy,0
Cortical implant,0
De-extinction,0
DNA-templated organic synthesis,0
Drug-eluting stent,0
Electroanalgesia,0
Electronic nose,10
Head transplant,0
Intelligent toilet,0
Jet injector,0
Lab-on-a-chip,12
Microelectromechanical systems,31
Microfluidics,21
