,South Korea
Aeroponics,0
agricultural robot,0
aquaponics,7
cellular agriculture,0
closed ecological system,8
Controlled ecological life-support system,0
Cultured meat,0
fogponics,0
Genetically modified crops,1
Genetically modified food,1
Genetically modified organism,5
hydroponics,1
Insects as food,0
meat analogue,3
Passive hydroponics,0
Precision agriculture,28
Precision livestock farming,1
Vertical farming,24
arcology,0
Gesture recognition,10
Domed city,0
Translucent concrete,0
AI Art,0
AI Music,0
Drone display,0
Galliane,0
music technology,0
artificial island,0
Carbon capture and storage,42
Carbon dioxide removal,0
Carbon sequestration,5
Gasoline from Carbon Dioxide,0
Microbial electrolysis carbon capture,0
3D metal printing,36
4d printing,3
Anticipatory Life Cycle Analysis,0
Artificial muscle,7
Bio-manufacturing,0
Claytronics,0
Construction 3D printing,6
Incremental sheet forming,0
Life-cycle assessment,1
Liquid Crystal Elastomers,1
Megatall skyscrapers,0
Molecular assembler,0
Predictive maintenance,3
Radio-frequency identification,79
Robot end effector,0
self assembly,18
Self-reconfiguring modular robot,7
Smart highway,0
Structural health monitoring,2
Supertall building,0
utility fog,0
Adaptive Learning Technology,0
Augmented learning,0
Gamifying education,2
Intelligent tutoring system,0
Learning Management System,3
Mobile learning,38
Virtual Collaborative Learning,0
Atomtronics,0
Biodegradable electronics,0
Carbon nanotube field-effect transistor,0
Digital scent technology,1
Dynamic inductive charging,72
E-textiles,6
Electronic skin,10
Flexible display,18
Flexible electronics,59
Flexible organic light-emitting diode,2
Gastrobot,0
Holography,28
laser diode headlights,3
Laser video display,0
Memristor,6
Multi-level converter,0
Nanoelectromechanical systems,5
Nanosensor,8
Optical transistor,0
Phonon laser,0
Robotic sensing,0
Solid-state transformer,0
Spintronics,14
three-dimensional integrated circuit,4
Twistronics,0
Virtual retinal display,1
Volumetric display,8
3rd generation solar cell,0
Airborne wind turbine,0
Artificial photosynthesis,10
Biobattery,0
Biomass to liquid,0
Coal liquefaction,2
Combined Cycle Gas Turbine Plant,2
concentrated solar power,1
CZTS solar cell,0
Dye-sensitized solar cell,1
Electric vehicle battery fast charge,19
