,Spain
Aeroponics,0
agricultural robot,0
aquaponics,2
cellular agriculture,0
closed ecological system,0
Controlled ecological life-support system,0
Cultured meat,6
fogponics,0
Genetically modified crops,11
Genetically modified food,0
Genetically modified organism,5
hydroponics,1
Insects as food,0
meat analogue,0
Passive hydroponics,0
Precision agriculture,11
Precision livestock farming,0
Vertical farming,0
arcology,0
Gesture recognition,1
Domed city,0
Translucent concrete,0
AI Art,0
AI Music,0
Drone display,0
Galliane,0
music technology,0
artificial island,0
Carbon capture and storage,8
Carbon dioxide removal,0
Carbon sequestration,0
Gasoline from Carbon Dioxide,0
Microbial electrolysis carbon capture,0
3D metal printing,3
4d printing,5
Anticipatory Life Cycle Analysis,0
Artificial muscle,0
Bio-manufacturing,0
Claytronics,0
Construction 3D printing,0
Incremental sheet forming,0
Life-cycle assessment,2
Liquid Crystal Elastomers,0
Megatall skyscrapers,0
Molecular assembler,0
Predictive maintenance,2
Radio-frequency identification,11
Robot end effector,0
self assembly,1
Self-reconfiguring modular robot,0
Smart highway,0
Structural health monitoring,2
Supertall building,0
utility fog,0
Adaptive Learning Technology,0
Augmented learning,0
Gamifying education,3
Intelligent tutoring system,0
Learning Management System,0
Mobile learning,4
Virtual Collaborative Learning,0
Atomtronics,0
Biodegradable electronics,0
Carbon nanotube field-effect transistor,0
Digital scent technology,2
Dynamic inductive charging,8
E-textiles,2
Electronic skin,0
Flexible display,1
Flexible electronics,0
Flexible organic light-emitting diode,0
Gastrobot,0
Holography,1
laser diode headlights,0
Laser video display,0
Memristor,0
Multi-level converter,0
Nanoelectromechanical systems,3
Nanosensor,0
Optical transistor,0
Phonon laser,0
Robotic sensing,0
Solid-state transformer,0
Spintronics,9
three-dimensional integrated circuit,0
Twistronics,0
Virtual retinal display,0
Volumetric display,0
3rd generation solar cell,0
Airborne wind turbine,0
Artificial photosynthesis,1
Biobattery,0
Biomass to liquid,0
Coal liquefaction,0
Combined Cycle Gas Turbine Plant,2
concentrated solar power,53
CZTS solar cell,0
Dye-sensitized solar cell,0
Electric vehicle battery fast charge,2
