,Switzerland
Aeroponics,0
agricultural robot,1
aquaponics,10
cellular agriculture,0
closed ecological system,0
Controlled ecological life-support system,0
Cultured meat,6
fogponics,0
Genetically modified crops,13
Genetically modified food,1
Genetically modified organism,9
hydroponics,0
Insects as food,0
meat analogue,6
Passive hydroponics,0
Precision agriculture,1
Precision livestock farming,0
Vertical farming,2
arcology,0
Gesture recognition,3
Domed city,0
Translucent concrete,0
AI Art,0
AI Music,0
Drone display,0
Galliane,0
music technology,1
artificial island,0
Carbon capture and storage,16
Carbon dioxide removal,0
Carbon sequestration,0
Gasoline from Carbon Dioxide,0
Microbial electrolysis carbon capture,0
3D metal printing,5
4d printing,7
Anticipatory Life Cycle Analysis,0
Artificial muscle,2
Bio-manufacturing,6
Claytronics,0
Construction 3D printing,0
Incremental sheet forming,0
Life-cycle assessment,5
Liquid Crystal Elastomers,0
Megatall skyscrapers,0
Molecular assembler,0
Predictive maintenance,18
Radio-frequency identification,12
Robot end effector,0
self assembly,7
Self-reconfiguring modular robot,0
Smart highway,1
Structural health monitoring,1
Supertall building,0
utility fog,0
Adaptive Learning Technology,0
Augmented learning,0
Gamifying education,0
Intelligent tutoring system,0
Learning Management System,0
Mobile learning,0
Virtual Collaborative Learning,0
Atomtronics,0
Biodegradable electronics,0
Carbon nanotube field-effect transistor,0
Digital scent technology,0
Dynamic inductive charging,3
E-textiles,5
Electronic skin,0
Flexible display,0
Flexible electronics,0
Flexible organic light-emitting diode,0
Gastrobot,0
Holography,9
laser diode headlights,0
Laser video display,0
Memristor,0
Multi-level converter,0
Nanoelectromechanical systems,0
Nanosensor,3
Optical transistor,0
Phonon laser,0
Robotic sensing,0
Solid-state transformer,11
Spintronics,6
three-dimensional integrated circuit,1
Twistronics,0
Virtual retinal display,0
Volumetric display,0
3rd generation solar cell,0
Airborne wind turbine,0
Artificial photosynthesis,2
Biobattery,0
Biomass to liquid,0
Coal liquefaction,0
Combined Cycle Gas Turbine Plant,0
concentrated solar power,0
CZTS solar cell,0
Dye-sensitized solar cell,0
Electric vehicle battery fast charge,10
Energy harvesting,17
Floating Liquefied Natural Gas,0
Flywheel energy storage,0
Fourth-generation biofuel,0
Fusion power,1
Gas generator,0
Gas-cooled fast reactor,0
Gasification,1
Generation IV reactor,0
Grid energy storage,0
Holograms for solar,0
Home fuel cell,0
Hydrogen fuel,5
Lead-cooled fast reactor,0
Liquid fluoride thorium reactor,0
Liquid metal battery,0
Lithium ion battery,6
Lithium iron phosphate battery,0
Lithium-air battery,0
Lithium-sulfur battery,1
Magnesium battery,0
Microbial electrolysis cell,0
Microreactor,0
Mini Bioreactors,0
Modular Reactors,0
Molten salt reactor,0
Nanocharging Solar,0
Nanowire battery,0
Ocean thermal energy conversion,0
Oil detection,4
Optical rectenna,1
Organic solar cell,0
Perovskite solar cell,15
Power-to-X,2
Proton Battery,0
Quantum dot solar cell,0
second-generation biofuels,3
Smart grid,13
