,United Arab Emirates
Aeroponics,0
agricultural robot,0
aquaponics,7
cellular agriculture,0
closed ecological system,4
Controlled ecological life-support system,0
Cultured meat,2
fogponics,0
Genetically modified crops,1
Genetically modified food,0
Genetically modified organism,0
hydroponics,25
Insects as food,0
meat analogue,0
Passive hydroponics,0
Precision agriculture,6
Precision livestock farming,0
Vertical farming,60
arcology,0
Gesture recognition,1
Domed city,0
Translucent concrete,0
AI Art,0
AI Music,0
Drone display,0
Galliane,0
music technology,0
artificial island,0
Carbon capture and storage,52
Carbon dioxide removal,0
Carbon sequestration,2
Gasoline from Carbon Dioxide,0
Microbial electrolysis carbon capture,0
3D metal printing,33
4d printing,5
Anticipatory Life Cycle Analysis,0
Artificial muscle,0
Bio-manufacturing,0
Claytronics,0
Construction 3D printing,0
Incremental sheet forming,0
Life-cycle assessment,0
Liquid Crystal Elastomers,0
Megatall skyscrapers,0
Molecular assembler,0
Predictive maintenance,0
Radio-frequency identification,13
Robot end effector,0
self assembly,0
Self-reconfiguring modular robot,0
Smart highway,9
Structural health monitoring,0
Supertall building,0
utility fog,0
Adaptive Learning Technology,0
Augmented learning,0
Gamifying education,10
Intelligent tutoring system,0
Learning Management System,1
Mobile learning,31
Virtual Collaborative Learning,0
Atomtronics,0
Biodegradable electronics,0
Carbon nanotube field-effect transistor,0
Digital scent technology,0
Dynamic inductive charging,6
E-textiles,0
Electronic skin,0
Flexible display,0
Flexible electronics,0
Flexible organic light-emitting diode,0
Gastrobot,0
Holography,0
laser diode headlights,0
Laser video display,0
Memristor,0
Multi-level converter,0
Nanoelectromechanical systems,0
Nanosensor,0
Optical transistor,0
Phonon laser,0
Robotic sensing,0
Solid-state transformer,0
Spintronics,1
three-dimensional integrated circuit,0
Twistronics,0
Virtual retinal display,0
Volumetric display,0
3rd generation solar cell,0
Airborne wind turbine,0
Artificial photosynthesis,0
Biobattery,0
Biomass to liquid,0
Coal liquefaction,0
Combined Cycle Gas Turbine Plant,7
concentrated solar power,82
CZTS solar cell,0
Dye-sensitized solar cell,0
Electric vehicle battery fast charge,6
