,United Kingdom
Aeroponics,1
agricultural robot,8
aquaponics,10
cellular agriculture,1
closed ecological system,18
Controlled ecological life-support system,0
Cultured meat,26
fogponics,0
Genetically modified crops,102
Genetically modified food,16
Genetically modified organism,48
hydroponics,21
Insects as food,17
meat analogue,33
Passive hydroponics,1
Precision agriculture,82
Precision livestock farming,8
Vertical farming,37
arcology,0
Gesture recognition,32
Domed city,0
Translucent concrete,1
AI Art,1
AI Music,5
Drone display,0
Galliane,0
music technology,8
artificial island,1
Carbon capture and storage,705
Carbon dioxide removal,5
Carbon sequestration,21
Gasoline from Carbon Dioxide,0
Microbial electrolysis carbon capture,0
3D metal printing,34
4d printing,6
Anticipatory Life Cycle Analysis,0
Artificial muscle,3
Bio-manufacturing,12
Claytronics,0
Construction 3D printing,3
Incremental sheet forming,0
Life-cycle assessment,14
Liquid Crystal Elastomers,11
Megatall skyscrapers,0
Molecular assembler,0
Predictive maintenance,12
Radio-frequency identification,143
Robot end effector,0
self assembly,15
Self-reconfiguring modular robot,0
Smart highway,16
Structural health monitoring,22
Supertall building,0
utility fog,0
Adaptive Learning Technology,0
Augmented learning,0
Gamifying education,41
Intelligent tutoring system,0
Learning Management System,28
Mobile learning,173
Virtual Collaborative Learning,0
Atomtronics,0
Biodegradable electronics,0
Carbon nanotube field-effect transistor,0
Digital scent technology,7
Dynamic inductive charging,126
E-textiles,20
Electronic skin,7
Flexible display,2
Flexible electronics,19
Flexible organic light-emitting diode,0
Gastrobot,0
Holography,10
laser diode headlights,4
Laser video display,1
Memristor,7
Multi-level converter,0
Nanoelectromechanical systems,11
Nanosensor,0
Optical transistor,0
Phonon laser,0
Robotic sensing,0
Solid-state transformer,2
Spintronics,11
three-dimensional integrated circuit,1
Twistronics,0
Virtual retinal display,0
Volumetric display,1
3rd generation solar cell,0
Airborne wind turbine,1
Artificial photosynthesis,7
Biobattery,0
Biomass to liquid,0
Coal liquefaction,2
Combined Cycle Gas Turbine Plant,22
concentrated solar power,11
CZTS solar cell,0
Dye-sensitized solar cell,0
Electric vehicle battery fast charge,98
Energy harvesting,43
Floating Liquefied Natural Gas,38
Flywheel energy storage,5
Fourth-generation biofuel,10
Fusion power,41
Gas generator,12
Gas-cooled fast reactor,0
Gasification,149
Generation IV reactor,3
Grid energy storage,47
Holograms for solar,0
Home fuel cell,0
Hydrogen fuel,161
Lead-cooled fast reactor,0
Liquid fluoride thorium reactor,0
Liquid metal battery,0
Lithium ion battery,116
Lithium iron phosphate battery,0
Lithium-air battery,1
Lithium-sulfur battery,3
Magnesium battery,0
Microbial electrolysis cell,0
Microreactor,2
Mini Bioreactors,0
Modular Reactors,108
Molten salt reactor,8
Nanocharging Solar,0
Nanowire battery,1
Ocean thermal energy conversion,4
Oil detection,2530
Optical rectenna,1
Organic solar cell,0
Perovskite solar cell,16
Power-to-X,2
Proton Battery,0
Quantum dot solar cell,0
second-generation biofuels,11
Smart grid,280
Sodium-cooled fast reactor,1
Space-based solar power,8
Supercapacitor,27
Supercritical water reactor,0
Third-generation biofuels,7
Thorium fuel cycle,3
Triboelectric Nanogenerator,0
Virtual power Plant,16
Vortex engine,0
Wireless power transfer,7
Zero-energy building,0
Automated journalism,1
Foundation garment,1
Haptic feedback systems,10
Wearable journalism,280
Cryptocurrency,1754
Stablecoin,10
Companion robot,21
Cryonics,13
Extreme Life extension,39
Suspended animation,15
5D DVD,2
5g,3524
6G,49
Ambient intelligence,8
Artificial brain,1
Artificial general intelligence,3332
Atmospheric satellite,0
Automatic AI debugging,0
Cloud computing,675
Compressive Sensing,0
Deep learning,183
deep trench capacitor,0
Digital image processing,47
Digital image segmentation,0
Distributed ledger,2411
DNA Computing,0
DNA digital data storage,0
Edge Computing,68
Edge enhancement,0
Embedded systems in substrate,0
Exascale computing,3
Extreme ultraviolet lithography,3
Facial recognition,277
General-purpose computing on graphics processing units,0
GPT-4,0
Haptic technology,26
Holographic data storage,0
Hyper CD-ROM,0
In-memory processing,0
In-storage processing,0
Indoor positioning system,0
Internet of things,1034
Li-Fi,34
Machine translation,9
Machine vision,52
Nanoradio,0
Natural Language Processing,42
Neural Networks,65
Neural-sensing headset,0
next gen web search,0
Open source model,2
Optical computing,0
Quantum algorithm,19
Quantum computing hardware,237
Quantum cryptography,39
Semantic Web,6
Silicon laser for communication,0
Smartphone,1888
Spatial computing,0
Streaming television,26
Subvocal recognition,0
Ultradense Molecular Memory,0
Vehicular communication systems,12
Virtual reality applications,13
Visible Light Communication,20
wi-fi 6,1
wi-fi 7,0
AI Arbitration,0
Digital forensics tools,0
Document automation,10
Intelligent Knowledge Management,0
Aerogel,29
Amorphous metal,8
Bioplastic,51
Carbon nanotube,54
Conductive polymer,1
Cryogenic treatment,0
Dynamic Armor,0
Eutectic system,0
Fast-ion Conductors,0
Fullerene,9
Gallium Nitride semiconductor,4
Graphene,938
Graphene Oxide dough,19
High Entropy Alloys,0
Magnetic nanoparticles,3
Magnetorheological fluid,1
Metal foam,0
Metamaterial,22
Multi-function structure,0
Nanocrystal,5
Nanotextured surface,0
Photonic Metamaterial,0
piezoelectric material adhesion,0
Programmable matter,0
Quantum dot,90
Self-cleaning surfaces,1
Shape Memory Polymer,0
Shape-memory alloy,0
Silicene,0
Single Photon Source,0
Superalloy,0
Superfluidity,0
Superlenses chips,0
Syntactic Materials,0
Time crystal,0
Zeolite,30
Zero-friction coating,0
16K video resolution,0
Augmented reality,376
Brain-computer interface,24
Computer-generated imagery,3
Detecting fake news online automatically,0
e-Reader,5
Extended Reality,7
hydrogen vehicle,1
Immersion (virtual reality),29
Mixed Reality,51
Video tracking,0
Virtual reality,618
3D Bioprinting,25
Anti-degenerative medicine,0
Apheresis,6
Artificial womb,0
Bio Ink,114
Biomimetic Nanocoagulation,0
Biosensor,42
Breath analysis,0
Cancer biomarker,30
Capsule endoscopy,6
Cortical implant,0
De-extinction,1
DNA-templated organic synthesis,0
Drug-eluting stent,0
Electroanalgesia,0
Electronic nose,6
Head transplant,1
Intelligent toilet,2
Jet injector,0
Lab-on-a-chip,29
Microelectromechanical systems,71
Microfluidics,47
Molecular electronics,1
Nanorobotics,10
Neuron Control,0
Neuroprosthetics,17
Nutritional genomics,0
Omni Processor,0
OOKP,0
Organ-on-a-Chip,16
Photoacoustic imaging,1
Plasma Medicine,26
Point of care automated analyser,0
Portable water purification,0
Powered exoskeleton,0
Protein Structure Prediction,0
Rapid diagnostic test,36
Real-time polymerase chain reaction,0
Regenerative Medicine,661
Sensory substitution,0
Single Cell Analysis,31
Stasis Chamber,0
Synthetic Blood,13
Theranostic Wound Care,346
Transdermal optical imaging,0
Active camouflage,2
Active noise control,0
Automatic identification of suspicious activity,0
Cloaking device,12
Coilgun,0
Compact Kinetic Energy Missile,0
DART ammunition,0
Delay-line oscillator,0
Electrolaser,0
Electroshock weapon,1
Electrothermal-chemical technology for propellants,0
EMP weapon,0
Explosively pumped flux compression generator,2
Force Field,16
Homodyne detection,0
HPM weapons,9
Hypersonic weapon,0
Kinetic bombardment,0
Kinetic energy penetrator,0
Laser weapon,16
Lidar,110
MAHEM,0
Metamaterial cloaking,0
MGM-166 LOSAT,0
Nonlinear metamaterial,0
Optical coating,1
Optoelectronic oscillator,0
Particle-beam weapon,0
Plasma stealth,0
Pure fusion weapon,0
Quadcopter,20
Quantum illumination,20
Quantum radar,7
Railgun,9
Sonic weapon,0
Swarm robotic platforms,0
Swarm robotics,3
Teslaphoresis,0
Vortex ring gun,0
Asteroid mining,2
Biomining,13
Urban mining,27
Closed system drug transfer device,0
DNA repair,181
Electronic cigarette,884
Enzybiotics,0
Exhalation delivery system,3
Gene Editing,580
Genome Prime Editing,0
ISCOM,0
Medicinal fungi,0
Microneedle drug delivery,1
Molecular Inversion Probe,0
NASBA,0
Off-target genome editing,0
Oncolytic virus,40
Phage therapy,6
Receptor activated solely by a synthetic ligand,0
Senolytic,3
Stem-cell therapy,107
Structurally nanoengineered antimicrobial polypeptide polymers,5
Targeted drug delivery,17
Virotherapy,2
Air-launch-to-orbit,0
Artificial gravity,1
Beam-powered propulsion,0
Fusion rocket,0
Inflatable space habitat,0
Ion thruster,1
Launch loop,0
Mass driver,1
Mini-magnetosphere,0
Miniaturized satellite,3
Nuclear photonic rocket,0
Photon rocket,0
Photonic laser thruster,0
Plasma propulsion engine,0
Propellant depot,0
Ram accelarator,0
Reusable launch system,0
Reusable rocket technology for orbital rockets,0
Skyhook,0
Space elevator,1
Space gun,0
Spaceplane,53
StarTram,0
Suborbital launch,19
Autonomous Rail Rapid Transit,0
Autonomous vehicle,718
Backpack helicopter,0
Electric vehicle,952
Fuel cell,554
Fuel cell vehicle,71
Hoverbike,40
Hovertrain,0
Hydrogen vehicle,1
Hyperloop,92
Intelligent transportation system,18
Jetpack,6
Maglev,14
PAV,3
Personal rapid transit,1
Physical Internet,0
Pulse detonation engine,0
Rapid transit,1763
Rocket transportation,0
Supersonic transport,8
Urban rail transit,1
Vactrain,0
VTOL,37
Hyper-personalized intelligence,371
neuromorphic engineering,0
solid-state battery,0
