,United States
Aeroponics,42
agricultural robot,11
aquaponics,119
cellular agriculture,12
closed ecological system,61
Controlled ecological life-support system,0
Cultured meat,111
fogponics,0
Genetically modified crops,377
Genetically modified food,70
Genetically modified organism,330
hydroponics,188
Insects as food,80
meat analogue,270
Passive hydroponics,11
Precision agriculture,404
Precision livestock farming,13
Vertical farming,368
arcology,5
Gesture recognition,198
Domed city,0
Translucent concrete,7
AI Art,0
AI Music,9
Drone display,0
Galliane,0
music technology,8
artificial island,16
Carbon capture and storage,762
Carbon dioxide removal,2
Carbon sequestration,120
Gasoline from Carbon Dioxide,0
Microbial electrolysis carbon capture,0
3D metal printing,181
4d printing,116
Anticipatory Life Cycle Analysis,0
Artificial muscle,16
Bio-manufacturing,13
Claytronics,9
Construction 3D printing,5
Incremental sheet forming,0
Life-cycle assessment,44
Liquid Crystal Elastomers,5
Megatall skyscrapers,0
Molecular assembler,0
Predictive maintenance,149
Radio-frequency identification,1317
Robot end effector,1
self assembly,21
Self-reconfiguring modular robot,5
Smart highway,136
Structural health monitoring,71
Supertall building,0
utility fog,0
Adaptive Learning Technology,0
Augmented learning,0
Gamifying education,230
Intelligent tutoring system,1
Learning Management System,181
Mobile learning,423
Virtual Collaborative Learning,0
Atomtronics,0
Biodegradable electronics,0
Carbon nanotube field-effect transistor,1
Digital scent technology,39
Dynamic inductive charging,541
E-textiles,108
Electronic skin,42
Flexible display,122
Flexible electronics,160
Flexible organic light-emitting diode,67
Gastrobot,0
Holography,200
laser diode headlights,36
Laser video display,10
Memristor,16
Multi-level converter,0
Nanoelectromechanical systems,22
Nanosensor,5
Optical transistor,0
Phonon laser,0
Robotic sensing,0
Solid-state transformer,18
Spintronics,34
three-dimensional integrated circuit,28
Twistronics,1
Virtual retinal display,15
Volumetric display,45
3rd generation solar cell,0
Airborne wind turbine,0
Artificial photosynthesis,53
Biobattery,0
Biomass to liquid,2
Coal liquefaction,27
Combined Cycle Gas Turbine Plant,56
concentrated solar power,158
CZTS solar cell,0
Dye-sensitized solar cell,6
Electric vehicle battery fast charge,276
Energy harvesting,256
Floating Liquefied Natural Gas,88
Flywheel energy storage,52
Fourth-generation biofuel,24
Fusion power,60
Gas generator,100
Gas-cooled fast reactor,3
Gasification,341
Generation IV reactor,5
Grid energy storage,53
Holograms for solar,0
Home fuel cell,0
Hydrogen fuel,441
Lead-cooled fast reactor,0
Liquid fluoride thorium reactor,0
Liquid metal battery,1
Lithium ion battery,847
Lithium iron phosphate battery,8
Lithium-air battery,2
Lithium-sulfur battery,10
Magnesium battery,5
Microbial electrolysis cell,0
Microreactor,17
Mini Bioreactors,0
Modular Reactors,88
Molten salt reactor,50
Nanocharging Solar,0
Nanowire battery,25
Ocean thermal energy conversion,15
Oil detection,5199
Optical rectenna,0
Organic solar cell,13
