,United States
Aeroponics,9
agricultural robot,0
aquaponics,0
cellular agriculture,0
closed ecological system,2
Controlled ecological life-support system,0
Cultured meat,0
fogponics,0
Genetically modified crops,13
Genetically modified food,0
Genetically modified organism,8
hydroponics,2
Insects as food,1
meat analogue,1
Passive hydroponics,0
Precision agriculture,2
Precision livestock farming,0
Vertical farming,0
arcology,0
Gesture recognition,9
Domed city,0
Translucent concrete,0
AI Art,0
AI Music,0
Drone display,0
Galliane,0
music technology,0
artificial island,0
Carbon capture and storage,40
Carbon dioxide removal,2
Carbon sequestration,21
Gasoline from Carbon Dioxide,0
Microbial electrolysis carbon capture,0
3D metal printing,5
4d printing,3
Anticipatory Life Cycle Analysis,0
Artificial muscle,2
Bio-manufacturing,0
Claytronics,0
Construction 3D printing,0
Incremental sheet forming,0
Life-cycle assessment,0
Liquid Crystal Elastomers,2
Megatall skyscrapers,0
Molecular assembler,0
Predictive maintenance,1
Radio-frequency identification,274
Robot end effector,0
self assembly,84
Self-reconfiguring modular robot,0
Smart highway,0
Structural health monitoring,9
Supertall building,0
utility fog,0
Adaptive Learning Technology,0
Augmented learning,0
Gamifying education,5
Intelligent tutoring system,0
Learning Management System,0
Mobile learning,4
Virtual Collaborative Learning,0
Atomtronics,0
Biodegradable electronics,0
Carbon nanotube field-effect transistor,0
Digital scent technology,0
Dynamic inductive charging,31
E-textiles,15
Electronic skin,2
Flexible display,3
Flexible electronics,0
Flexible organic light-emitting diode,0
Gastrobot,0
Holography,35
laser diode headlights,38
Laser video display,0
Memristor,20
Multi-level converter,0
Nanoelectromechanical systems,8
Nanosensor,3
Optical transistor,0
Phonon laser,0
Robotic sensing,0
Solid-state transformer,0
Spintronics,4
three-dimensional integrated circuit,0
Twistronics,0
Virtual retinal display,0
Volumetric display,1
3rd generation solar cell,0
Airborne wind turbine,0
Artificial photosynthesis,0
Biobattery,0
Biomass to liquid,0
Coal liquefaction,24
Combined Cycle Gas Turbine Plant,1
concentrated solar power,2
