,Japan
Aeroponics,0
agricultural robot,1
aquaponics,0
cellular agriculture,0
closed ecological system,0
Controlled ecological life-support system,0
Cultured meat,0
fogponics,0
Genetically modified crops,8
Genetically modified food,7
Genetically modified organism,7
hydroponics,7
Insects as food,1
meat analogue,0
Passive hydroponics,2
Precision agriculture,10
Precision livestock farming,0
Vertical farming,2
arcology,0
Gesture recognition,0
Domed city,0
Translucent concrete,0
AI Art,0
AI Music,0
Drone display,0
Galliane,0
music technology,0
artificial island,0
Carbon capture and storage,14
Carbon dioxide removal,0
Carbon sequestration,8
Gasoline from Carbon Dioxide,0
Microbial electrolysis carbon capture,0
3D metal printing,2
4d printing,0
Anticipatory Life Cycle Analysis,0
Artificial muscle,1
Bio-manufacturing,0
Claytronics,0
Construction 3D printing,0
Incremental sheet forming,0
Life-cycle assessment,18
Liquid Crystal Elastomers,0
Megatall skyscrapers,0
Molecular assembler,0
Predictive maintenance,0
Radio-frequency identification,27
Robot end effector,0
self assembly,1
Self-reconfiguring modular robot,2
Smart highway,0
Structural health monitoring,10
Supertall building,0
utility fog,0
Adaptive Learning Technology,0
Augmented learning,0
Gamifying education,2
Intelligent tutoring system,0
Learning Management System,1
Mobile learning,9
Virtual Collaborative Learning,0
Atomtronics,0
Biodegradable electronics,0
Carbon nanotube field-effect transistor,0
Digital scent technology,0
Dynamic inductive charging,4
E-textiles,0
Electronic skin,0
Flexible display,1
Flexible electronics,0
Flexible organic light-emitting diode,0
Gastrobot,0
Holography,7
laser diode headlights,1
Laser video display,0
Memristor,0
Multi-level converter,0
Nanoelectromechanical systems,1
Nanosensor,0
Optical transistor,0
Phonon laser,0
Robotic sensing,0
Solid-state transformer,0
Spintronics,79
three-dimensional integrated circuit,1
Twistronics,0
Virtual retinal display,0
Volumetric display,1
3rd generation solar cell,0
Airborne wind turbine,0
Artificial photosynthesis,4
Biobattery,0
Biomass to liquid,0
Coal liquefaction,4
Combined Cycle Gas Turbine Plant,2
concentrated solar power,1
CZTS solar cell,0
Dye-sensitized solar cell,2
Electric vehicle battery fast charge,0
Energy harvesting,4
Floating Liquefied Natural Gas,0
Flywheel energy storage,1
Fourth-generation biofuel,0
Fusion power,11
Gas generator,2
Gas-cooled fast reactor,2
Gasification,29
Generation IV reactor,2
Grid energy storage,1
Holograms for solar,0
Home fuel cell,0
Hydrogen fuel,8
Lead-cooled fast reactor,0
Liquid fluoride thorium reactor,0
Liquid metal battery,0
Lithium ion battery,19
Lithium iron phosphate battery,0
Lithium-air battery,0
Lithium-sulfur battery,0
Magnesium battery,0
Microbial electrolysis cell,0
Microreactor,0
Mini Bioreactors,0
Modular Reactors,1
Molten salt reactor,0
Nanocharging Solar,0
Nanowire battery,1
Ocean thermal energy conversion,4
Oil detection,0
Optical rectenna,1
Organic solar cell,2
Perovskite solar cell,0
Power-to-X,0
Proton Battery,0
Quantum dot solar cell,0
second-generation biofuels,0
Smart grid,23
