,South Korea
Aeroponics,0
agricultural robot,1
aquaponics,0
cellular agriculture,0
closed ecological system,0
Controlled ecological life-support system,0
Cultured meat,0
fogponics,0
Genetically modified crops,13
Genetically modified food,3
Genetically modified organism,5
hydroponics,1
Insects as food,2
meat analogue,0
Passive hydroponics,1
Precision agriculture,7
Precision livestock farming,0
Vertical farming,1
arcology,0
Gesture recognition,0
Domed city,0
Translucent concrete,0
AI Art,0
AI Music,0
Drone display,0
Galliane,0
music technology,0
artificial island,0
Carbon capture and storage,20
Carbon dioxide removal,0
Carbon sequestration,6
Gasoline from Carbon Dioxide,0
Microbial electrolysis carbon capture,0
3D metal printing,4
4d printing,0
Anticipatory Life Cycle Analysis,0
Artificial muscle,1
Bio-manufacturing,0
Claytronics,0
Construction 3D printing,0
Incremental sheet forming,0
Life-cycle assessment,9
Liquid Crystal Elastomers,1
Megatall skyscrapers,0
Molecular assembler,0
Predictive maintenance,2
Radio-frequency identification,36
Robot end effector,0
self assembly,5
Self-reconfiguring modular robot,0
Smart highway,3
Structural health monitoring,12
Supertall building,0
utility fog,0
Adaptive Learning Technology,0
Augmented learning,0
Gamifying education,5
Intelligent tutoring system,0
Learning Management System,3
Mobile learning,20
Virtual Collaborative Learning,0
Atomtronics,0
Biodegradable electronics,1
Carbon nanotube field-effect transistor,0
Digital scent technology,0
Dynamic inductive charging,12
E-textiles,1
Electronic skin,0
Flexible display,1
Flexible electronics,0
Flexible organic light-emitting diode,0
Gastrobot,0
Holography,1
laser diode headlights,1
Laser video display,0
Memristor,1
Multi-level converter,0
Nanoelectromechanical systems,0
Nanosensor,1
Optical transistor,0
Phonon laser,0
Robotic sensing,0
Solid-state transformer,0
Spintronics,1
three-dimensional integrated circuit,0
Twistronics,1
Virtual retinal display,0
Volumetric display,0
3rd generation solar cell,0
Airborne wind turbine,0
Artificial photosynthesis,1
Biobattery,0
Biomass to liquid,0
Coal liquefaction,0
Combined Cycle Gas Turbine Plant,5
concentrated solar power,1
CZTS solar cell,0
Dye-sensitized solar cell,1
Electric vehicle battery fast charge,1
Energy harvesting,8
Floating Liquefied Natural Gas,0
Flywheel energy storage,0
Fourth-generation biofuel,0
Fusion power,7
Gas generator,3
Gas-cooled fast reactor,0
Gasification,9
Generation IV reactor,2
Grid energy storage,0
Holograms for solar,0
Home fuel cell,0
Hydrogen fuel,6
Lead-cooled fast reactor,0
Liquid fluoride thorium reactor,0
Liquid metal battery,0
Lithium ion battery,5
Lithium iron phosphate battery,0
Lithium-air battery,0
Lithium-sulfur battery,1
Magnesium battery,0
Microbial electrolysis cell,0
Microreactor,1
Mini Bioreactors,0
Modular Reactors,2
Molten salt reactor,0
Nanocharging Solar,0
Nanowire battery,0
Ocean thermal energy conversion,4
Oil detection,1
Optical rectenna,0
Organic solar cell,0
Perovskite solar cell,0
Power-to-X,0
Proton Battery,0
Quantum dot solar cell,0
second-generation biofuels,0
Smart grid,28
