,United States
Aeroponics,2
agricultural robot,0
aquaponics,3
cellular agriculture,1
closed ecological system,0
Controlled ecological life-support system,0
Cultured meat,4
fogponics,0
Genetically modified crops,62
Genetically modified food,27
Genetically modified organism,33
hydroponics,5
Insects as food,4
meat analogue,1
Passive hydroponics,2
Precision agriculture,21
Precision livestock farming,0
Vertical farming,1
arcology,0
Gesture recognition,0
Domed city,0
Translucent concrete,1
AI Art,0
AI Music,1
Drone display,0
Galliane,0
music technology,2
artificial island,0
Carbon capture and storage,57
Carbon dioxide removal,1
Carbon sequestration,72
Gasoline from Carbon Dioxide,0
Microbial electrolysis carbon capture,0
3D metal printing,4
4d printing,1
Anticipatory Life Cycle Analysis,0
Artificial muscle,0
Bio-manufacturing,0
Claytronics,0
Construction 3D printing,0
Incremental sheet forming,0
Life-cycle assessment,51
Liquid Crystal Elastomers,0
Megatall skyscrapers,0
Molecular assembler,0
Predictive maintenance,0
Radio-frequency identification,34
Robot end effector,0
self assembly,4
Self-reconfiguring modular robot,0
Smart highway,0
Structural health monitoring,12
Supertall building,0
utility fog,0
Adaptive Learning Technology,0
Augmented learning,0
Gamifying education,8
Intelligent tutoring system,0
Learning Management System,5
Mobile learning,75
Virtual Collaborative Learning,0
Atomtronics,0
Biodegradable electronics,1
Carbon nanotube field-effect transistor,0
Digital scent technology,0
Dynamic inductive charging,41
E-textiles,0
Electronic skin,0
Flexible display,0
Flexible electronics,2
Flexible organic light-emitting diode,0
Gastrobot,0
Holography,0
laser diode headlights,4
Laser video display,0
Memristor,2
Multi-level converter,0
Nanoelectromechanical systems,3
Nanosensor,3
Optical transistor,0
Phonon laser,0
Robotic sensing,0
Solid-state transformer,0
Spintronics,7
three-dimensional integrated circuit,0
Twistronics,0
Virtual retinal display,0
Volumetric display,1
3rd generation solar cell,0
Airborne wind turbine,0
Artificial photosynthesis,2
Biobattery,0
Biomass to liquid,0
Coal liquefaction,6
Combined Cycle Gas Turbine Plant,2
concentrated solar power,4
CZTS solar cell,0
Dye-sensitized solar cell,1
Electric vehicle battery fast charge,2
Energy harvesting,3
Floating Liquefied Natural Gas,0
Flywheel energy storage,0
Fourth-generation biofuel,3
Fusion power,6
Gas generator,1
Gas-cooled fast reactor,2
Gasification,33
Generation IV reactor,1
Grid energy storage,0
Holograms for solar,0
Home fuel cell,0
Hydrogen fuel,16
Lead-cooled fast reactor,0
Liquid fluoride thorium reactor,1
Liquid metal battery,0
Lithium ion battery,11
Lithium iron phosphate battery,0
Lithium-air battery,1
Lithium-sulfur battery,0
Magnesium battery,0
Microbial electrolysis cell,0
Microreactor,2
Mini Bioreactors,0
Modular Reactors,11
Molten salt reactor,9
Nanocharging Solar,0
Nanowire battery,0
Ocean thermal energy conversion,8
Oil detection,12
Optical rectenna,0
Organic solar cell,0
Perovskite solar cell,0
Power-to-X,0
Proton Battery,0
Quantum dot solar cell,0
second-generation biofuels,27
Smart grid,88
Sodium-cooled fast reactor,2
Space-based solar power,0
Supercapacitor,1
Supercritical water reactor,0
Third-generation biofuels,1
Thorium fuel cycle,2
Triboelectric Nanogenerator,0
Virtual power Plant,0
Vortex engine,0
Wireless power transfer,0
Zero-energy building,3
Automated journalism,0
Foundation garment,0
Haptic feedback systems,3
Wearable journalism,8
Cryptocurrency,11
Stablecoin,0
Companion robot,1
Cryonics,0
Extreme Life extension,4
Suspended animation,0
5D DVD,0
5g,15
6G,1
Ambient intelligence,9
Artificial brain,0
Artificial general intelligence,165
Atmospheric satellite,0
Automatic AI debugging,0
Cloud computing,50
