,R_D
Aeroponics,3
agricultural robot,0
aquaponics,0
cellular agriculture,0
closed ecological system,0
Controlled ecological life-support system,0
Cultured meat,0
fogponics,0
Genetically modified crops,1
Genetically modified food,0
Genetically modified organism,13
hydroponics,2
Insects as food,0
meat analogue,0
Passive hydroponics,0
Precision agriculture,0
Precision livestock farming,0
Vertical farming,0
arcology,0
Gesture recognition,3
Domed city,0
Translucent concrete,0
AI Art,0
AI Music,0
Drone display,0
Galliane,0
music technology,0
artificial island,0
Carbon capture and storage,0
Carbon dioxide removal,2
Carbon sequestration,7
Gasoline from Carbon Dioxide,0
Microbial electrolysis carbon capture,0
3D metal printing,17
4d printing,0
Anticipatory Life Cycle Analysis,0
Artificial muscle,9
Bio-manufacturing,17
Claytronics,0
Construction 3D printing,4
Incremental sheet forming,0
Life-cycle assessment,6
Liquid Crystal Elastomers,4
Megatall skyscrapers,0
Molecular assembler,0
Predictive maintenance,0
Radio-frequency identification,43
Robot end effector,0
self assembly,336
Self-reconfiguring modular robot,0
Smart highway,0
Structural health monitoring,0
Supertall building,0
utility fog,0
Adaptive Learning Technology,0
Augmented learning,0
Gamifying education,54
Intelligent tutoring system,15
Learning Management System,14
Mobile learning,48
Virtual Collaborative Learning,0
Atomtronics,0
Biodegradable electronics,1
Carbon nanotube field-effect transistor,0
Digital scent technology,0
Dynamic inductive charging,243
E-textiles,5
Electronic skin,5
Flexible display,1
Flexible electronics,12
Flexible organic light-emitting diode,0
Gastrobot,0
Holography,27
laser diode headlights,13
Laser video display,0
Memristor,0
Multi-level converter,0
Nanoelectromechanical systems,110
Nanosensor,51
Optical transistor,0
Phonon laser,0
Robotic sensing,0
Solid-state transformer,0
Spintronics,0
three-dimensional integrated circuit,0
Twistronics,0
Virtual retinal display,0
Volumetric display,0
3rd generation solar cell,0
Airborne wind turbine,0
Artificial photosynthesis,0
Biobattery,0
Biomass to liquid,0
Coal liquefaction,0
Combined Cycle Gas Turbine Plant,26
concentrated solar power,0
CZTS solar cell,0
Dye-sensitized solar cell,0
Electric vehicle battery fast charge,0
Energy harvesting,19
Floating Liquefied Natural Gas,0
Flywheel energy storage,0
Fourth-generation biofuel,0
Fusion power,0
Gas generator,0
Gas-cooled fast reactor,0
Gasification,0
Generation IV reactor,0
Grid energy storage,0
Holograms for solar,0
Home fuel cell,0
Hydrogen fuel,2
Lead-cooled fast reactor,0
Liquid fluoride thorium reactor,0
Liquid metal battery,0
Lithium ion battery,0
Lithium iron phosphate battery,0
Lithium-air battery,0
Lithium-sulfur battery,0
Magnesium battery,0
Microbial electrolysis cell,0
Microreactor,10
Mini Bioreactors,0
Modular Reactors,0
Molten salt reactor,0
Nanocharging Solar,0
Nanowire battery,0
Ocean thermal energy conversion,0
Oil detection,0
Optical rectenna,0
Organic solar cell,0
Perovskite solar cell,0
Power-to-X,0
Proton Battery,0
Quantum dot solar cell,0
second-generation biofuels,0
Smart grid,0
Sodium-cooled fast reactor,0
Space-based solar power,1
Supercapacitor,0
Supercritical water reactor,0
Third-generation biofuels,0
Thorium fuel cycle,0
Triboelectric Nanogenerator,0
Virtual power Plant,0
Vortex engine,0
Wireless power transfer,5
Zero-energy building,0
Automated journalism,0
Foundation garment,0
Haptic feedback systems,90
Wearable journalism,104
Cryptocurrency,0
Stablecoin,0
Companion robot,4
Cryonics,0
Extreme Life extension,54
Suspended animation,11
5D DVD,0
5g,17
6G,12
Ambient intelligence,45
Artificial brain,0
Artificial general intelligence,205
Atmospheric satellite,0
Automatic AI debugging,0
Cloud computing,123
Compressive Sensing,6
Deep learning,261
deep trench capacitor,0
Digital image processing,1032
Digital image segmentation,0
Distributed ledger,8
DNA Computing,0
DNA digital data storage,0
Edge Computing,0
Edge enhancement,1
Embedded systems in substrate,0
Exascale computing,5
Extreme ultraviolet lithography,0
Facial recognition,110
General-purpose computing on graphics processing units,4
GPT-4,0
Haptic technology,20
Holographic data storage,0
Hyper CD-ROM,0
In-memory processing,24
In-storage processing,4
Indoor positioning system,0
Internet of things,7
Li-Fi,0
Machine translation,5
Machine vision,21
Nanoradio,0
Natural Language Processing,411
Neural Networks,830
Neural-sensing headset,0
next gen web search,0
Open source model,32
Optical computing,0
Quantum algorithm,0
Quantum computing hardware,0
Quantum cryptography,0
Semantic Web,42
Silicon laser for communication,0
Smartphone,505
Spatial computing,0
Streaming television,0
Subvocal recognition,0
Ultradense Molecular Memory,0
Vehicular communication systems,1
Virtual reality applications,2
Visible Light Communication,0
wi-fi 6,0
wi-fi 7,0
AI Arbitration,0
Digital forensics tools,0
Document automation,0
Intelligent Knowledge Management,0
Aerogel,0
Amorphous metal,0
Bioplastic,0
Carbon nanotube,294
Conductive polymer,31
Cryogenic treatment,0
Dynamic Armor,0
Eutectic system,0
Fast-ion Conductors,0
Fullerene,42
Gallium Nitride semiconductor,0
Graphene,51
Graphene Oxide dough,8
High Entropy Alloys,0
Magnetic nanoparticles,135
Magnetorheological fluid,0
Metal foam,0
Metamaterial,0
Multi-function structure,0
Nanocrystal,78
Nanotextured surface,0
Photonic Metamaterial,0
piezoelectric material adhesion,0
Programmable matter,0
Quantum dot,180
Self-cleaning surfaces,0
Shape Memory Polymer,14
Shape-memory alloy,3
Silicene,0
Single Photon Source,0
Superalloy,0
Superfluidity,0
Superlenses chips,0
Syntactic Materials,0
Time crystal,0
Zeolite,0
Zero-friction coating,0
16K video resolution,0
Augmented reality,58
Brain-computer interface,122
Computer-generated imagery,0
Detecting fake news online automatically,0
e-Reader,0
Extended Reality,1
hydrogen vehicle,0
Immersion (virtual reality),20
Mixed Reality,14
Video tracking,16
Virtual reality,532
3D Bioprinting,29
Anti-degenerative medicine,0
Apheresis,100
Artificial womb,0
Bio Ink,1610
Biomimetic Nanocoagulation,0
Biosensor,517
Breath analysis,19
Cancer biomarker,238
Capsule endoscopy,11
Cortical implant,0
De-extinction,0
DNA-templated organic synthesis,0
Drug-eluting stent,17
Electroanalgesia,0
Electronic nose,2
Head transplant,0
Intelligent toilet,0
Jet injector,2
Lab-on-a-chip,413
Microelectromechanical systems,212
Microfluidics,721
