,emergence
Aeroponics,3
agricultural robot,0
aquaponics,0
cellular agriculture,0
closed ecological system,0
Controlled ecological life-support system,0
Cultured meat,0
fogponics,0
Genetically modified crops,0
Genetically modified food,2
Genetically modified organism,6
hydroponics,0
Insects as food,0
meat analogue,0
Passive hydroponics,0
Precision agriculture,0
Precision livestock farming,0
Vertical farming,0
arcology,0
Gesture recognition,0
Domed city,0
Translucent concrete,0
AI Art,0
AI Music,0
Drone display,0
Galliane,0
music technology,0
artificial island,0
Carbon capture and storage,0
Carbon dioxide removal,2
Carbon sequestration,4
Gasoline from Carbon Dioxide,0
Microbial electrolysis carbon capture,0
3D metal printing,24
4d printing,0
Anticipatory Life Cycle Analysis,0
Artificial muscle,0
Bio-manufacturing,11
Claytronics,0
Construction 3D printing,0
Incremental sheet forming,0
Life-cycle assessment,0
Liquid Crystal Elastomers,9
Megatall skyscrapers,0
Molecular assembler,0
Predictive maintenance,0
Radio-frequency identification,20
Robot end effector,2
self assembly,290
Self-reconfiguring modular robot,0
Smart highway,0
Structural health monitoring,0
Supertall building,0
utility fog,0
Adaptive Learning Technology,0
Augmented learning,0
Gamifying education,31
Intelligent tutoring system,3
Learning Management System,4
Mobile learning,18
Virtual Collaborative Learning,0
Atomtronics,0
Biodegradable electronics,0
Carbon nanotube field-effect transistor,0
Digital scent technology,0
Dynamic inductive charging,150
E-textiles,0
Electronic skin,3
Flexible display,0
Flexible electronics,10
Flexible organic light-emitting diode,0
Gastrobot,0
Holography,31
laser diode headlights,28
Laser video display,0
Memristor,0
Multi-level converter,0
Nanoelectromechanical systems,61
Nanosensor,43
Optical transistor,0
Phonon laser,0
Robotic sensing,0
Solid-state transformer,0
Spintronics,4
three-dimensional integrated circuit,0
Twistronics,0
Virtual retinal display,0
Volumetric display,2
3rd generation solar cell,0
Airborne wind turbine,0
Artificial photosynthesis,0
Biobattery,0
Biomass to liquid,0
Coal liquefaction,0
Combined Cycle Gas Turbine Plant,6
concentrated solar power,0
CZTS solar cell,0
Dye-sensitized solar cell,0
Electric vehicle battery fast charge,0
Energy harvesting,13
Floating Liquefied Natural Gas,0
Flywheel energy storage,0
Fourth-generation biofuel,0
Fusion power,0
Gas generator,0
Gas-cooled fast reactor,0
Gasification,0
Generation IV reactor,0
Grid energy storage,0
Holograms for solar,0
Home fuel cell,0
Hydrogen fuel,0
Lead-cooled fast reactor,0
Liquid fluoride thorium reactor,0
Liquid metal battery,0
Lithium ion battery,2
Lithium iron phosphate battery,2
Lithium-air battery,0
Lithium-sulfur battery,0
Magnesium battery,0
Microbial electrolysis cell,0
Microreactor,12
Mini Bioreactors,0
Modular Reactors,0
Molten salt reactor,0
Nanocharging Solar,0
Nanowire battery,0
Ocean thermal energy conversion,2
Oil detection,1
Optical rectenna,0
Organic solar cell,0
Perovskite solar cell,0
Power-to-X,0
Proton Battery,0
Quantum dot solar cell,0
second-generation biofuels,0
Smart grid,0
Sodium-cooled fast reactor,0
Space-based solar power,0
Supercapacitor,0
Supercritical water reactor,0
Third-generation biofuels,0
Thorium fuel cycle,0
Triboelectric Nanogenerator,0
Virtual power Plant,0
Vortex engine,0
Wireless power transfer,8
Zero-energy building,0
Automated journalism,0
Foundation garment,0
Haptic feedback systems,38
Wearable journalism,81
Cryptocurrency,0
Stablecoin,0
Companion robot,3
Cryonics,0
Extreme Life extension,32
Suspended animation,4
5D DVD,0
5g,29
6G,3
Ambient intelligence,40
Artificial brain,0
Artificial general intelligence,186
Atmospheric satellite,0
Automatic AI debugging,0
Cloud computing,119
Compressive Sensing,9
Deep learning,354
deep trench capacitor,0
Digital image processing,849
Digital image segmentation,0
Distributed ledger,4
DNA Computing,5
DNA digital data storage,0
Edge Computing,10
Edge enhancement,8
Embedded systems in substrate,0
Exascale computing,0
Extreme ultraviolet lithography,0
Facial recognition,69
General-purpose computing on graphics processing units,2
GPT-4,0
Haptic technology,15
Holographic data storage,0
Hyper CD-ROM,0
In-memory processing,7
In-storage processing,4
Indoor positioning system,0
Internet of things,6
Li-Fi,0
Machine translation,0
Machine vision,25
Nanoradio,0
Natural Language Processing,218
Neural Networks,632
Neural-sensing headset,0
next gen web search,0
Open source model,12
Optical computing,0
Quantum algorithm,0
Quantum computing hardware,4
Quantum cryptography,0
Semantic Web,63
Silicon laser for communication,0
Smartphone,335
Spatial computing,0
Streaming television,0
Subvocal recognition,0
Ultradense Molecular Memory,0
Vehicular communication systems,0
Virtual reality applications,6
Visible Light Communication,0
wi-fi 6,0
wi-fi 7,0
AI Arbitration,0
Digital forensics tools,0
Document automation,0
Intelligent Knowledge Management,0
Aerogel,0
Amorphous metal,3
Bioplastic,0
Carbon nanotube,324
Conductive polymer,39
Cryogenic treatment,0
Dynamic Armor,0
Eutectic system,0
Fast-ion Conductors,0
Fullerene,37
Gallium Nitride semiconductor,0
Graphene,66
Graphene Oxide dough,10
High Entropy Alloys,0
Magnetic nanoparticles,108
Magnetorheological fluid,0
Metal foam,0
Metamaterial,2
Multi-function structure,0
Nanocrystal,132
Nanotextured surface,0
Photonic Metamaterial,0
piezoelectric material adhesion,0
Programmable matter,0
Quantum dot,317
Self-cleaning surfaces,0
Shape Memory Polymer,20
Shape-memory alloy,1
Silicene,0
Single Photon Source,0
Superalloy,0
Superfluidity,0
Superlenses chips,0
Syntactic Materials,0
Time crystal,0
Zeolite,6
Zero-friction coating,0
16K video resolution,0
Augmented reality,33
Brain-computer interface,93
Computer-generated imagery,0
Detecting fake news online automatically,0
e-Reader,0
Extended Reality,1
hydrogen vehicle,0
Immersion (virtual reality),10
Mixed Reality,5
Video tracking,14
Virtual reality,298
3D Bioprinting,30
Anti-degenerative medicine,0
Apheresis,33
Artificial womb,0
Bio Ink,1451
Biomimetic Nanocoagulation,0
Biosensor,725
Breath analysis,25
Cancer biomarker,118
Capsule endoscopy,21
Cortical implant,0
De-extinction,0
DNA-templated organic synthesis,0
Drug-eluting stent,20
Electroanalgesia,0
Electronic nose,1
Head transplant,0
Intelligent toilet,0
Jet injector,0
Lab-on-a-chip,121
Microelectromechanical systems,190
Microfluidics,678
