source,2011-02-01T00:00:00Z,2012-10-01T00:00:00Z,2013-02-01T00:00:00Z,2014-12-01T00:00:00Z,2015-01-01T00:00:00Z,2015-04-01T00:00:00Z,2015-05-01T00:00:00Z,2016-01-01T00:00:00Z,2016-02-01T00:00:00Z,2016-04-01T00:00:00Z,2016-05-01T00:00:00Z,2016-06-01T00:00:00Z,2016-10-01T00:00:00Z,2017-03-01T00:00:00Z,2017-05-01T00:00:00Z,2017-08-01T00:00:00Z,2017-09-01T00:00:00Z,2017-11-01T00:00:00Z,2018-04-01T00:00:00Z,2018-05-01T00:00:00Z,2018-06-01T00:00:00Z,2018-08-01T00:00:00Z,2018-11-01T00:00:00Z,2018-12-01T00:00:00Z,2019-01-01T00:00:00Z,2019-02-01T00:00:00Z,2019-04-01T00:00:00Z,2019-06-01T00:00:00Z,2019-07-01T00:00:00Z,2019-10-01T00:00:00Z,2020-09-01T00:00:00Z,2020-10-01T00:00:00Z
5g,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,
Autonomous vehicle,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
Cloud computing,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptocurrency,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,1.0,,,1.0,1.0,1.0,,,
Electric vehicle,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,1.0,,,,,
Facial recognition,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,
Fuel cell,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Gene Editing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Graphene,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,
Jetpack,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
Laser weapon,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learning Management System,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
Lidar,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
Mixed Reality,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regenerative Medicine,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,
Smart grid,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
Smartphone,,,,,,,,1.0,,,61.0,,,,,,2.0,,,,,,,,,,,,,,,
Virtual reality,1.0,,,,,,,,,1.0,,,,1.0,,,,1.0,,1.0,,,,,,1.0,,,,,,1.0
