source,2014-12-01T00:00:00Z,2015-01-01T00:00:00Z,2015-02-01T00:00:00Z,2015-03-01T00:00:00Z,2015-04-01T00:00:00Z,2015-05-01T00:00:00Z,2015-06-01T00:00:00Z,2015-10-01T00:00:00Z,2016-01-01T00:00:00Z,2016-03-01T00:00:00Z,2017-07-01T00:00:00Z,2017-10-01T00:00:00Z,2017-11-01T00:00:00Z,2017-12-01T00:00:00Z,2018-04-01T00:00:00Z,2018-05-01T00:00:00Z,2018-06-01T00:00:00Z,2018-07-01T00:00:00Z,2018-10-01T00:00:00Z,2018-12-01T00:00:00Z,2019-01-01T00:00:00Z,2019-04-01T00:00:00Z,2019-08-01T00:00:00Z,2020-01-01T00:00:00Z,2020-07-01T00:00:00Z
5g,,,,,,,,,,,,,,,,1.0,,,,,,5.0,,,1.0
Carbon nanotube,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,
Cloud computing,7.0,11.0,6.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,
Cryptocurrency,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,4.0,,
Electric vehicle,3.0,2.0,4.0,,2.0,3.0,2.0,,,,,,,,,,,,,,,,,,
Gasification,2.0,1.0,2.0,,,,,1.0,,,,2.0,,,,,,,1.0,,,,,2.0,
Internet of things,,,,,,,,,,,,,,,,,,1.0,,,,,,,
Smart grid,3.0,2.0,4.0,,2.0,3.0,2.0,,,,,,,,,,,,,,,,,,
Smartphone,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,
Superfluidity,,,,,,,,,,,,,,,,,,,,,1.0,,,,
