source,2015-05-01T00:00:00Z,2015-06-01T00:00:00Z,2015-10-01T00:00:00Z,2015-12-01T00:00:00Z,2016-01-01T00:00:00Z,2016-05-01T00:00:00Z,2016-08-01T00:00:00Z,2016-09-01T00:00:00Z,2016-10-01T00:00:00Z,2016-11-01T00:00:00Z,2017-03-01T00:00:00Z,2017-04-01T00:00:00Z,2017-06-01T00:00:00Z,2017-09-01T00:00:00Z,2017-10-01T00:00:00Z,2017-11-01T00:00:00Z,2017-12-01T00:00:00Z,2018-01-01T00:00:00Z,2018-03-01T00:00:00Z,2018-04-01T00:00:00Z,2018-05-01T00:00:00Z,2018-06-01T00:00:00Z,2018-07-01T00:00:00Z,2018-08-01T00:00:00Z,2018-10-01T00:00:00Z,2018-11-01T00:00:00Z,2018-12-01T00:00:00Z,2019-01-01T00:00:00Z,2019-02-01T00:00:00Z,2019-03-01T00:00:00Z,2019-04-01T00:00:00Z,2019-06-01T00:00:00Z,2019-07-01T00:00:00Z,2019-08-01T00:00:00Z,2019-09-01T00:00:00Z,2019-10-01T00:00:00Z,2019-11-01T00:00:00Z,2019-12-01T00:00:00Z,2020-01-01T00:00:00Z,2020-02-01T00:00:00Z,2020-03-01T00:00:00Z,2020-04-01T00:00:00Z,2020-05-01T00:00:00Z,2020-06-01T00:00:00Z,2020-08-01T00:00:00Z,2020-09-01T00:00:00Z,2020-10-01T00:00:00Z,2020-11-01T00:00:00Z
5g,,,,,,1.0,,,6.0,1.0,,,,,3.0,3.0,,1.0,,4.0,,,,1.0,,,,,,21.0,1.0,6.0,1.0,,,2.0,2.0,,,1.0,,,,,,,1.0,1.0
Aerogel,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Augmented reality,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloud computing,,,,1.0,,,,1.0,,,4.0,,,1.0,3.0,1.0,1.0,4.0,5.0,8.0,5.0,1.0,,1.0,4.0,4.0,,,,,,,1.0,,,,1.0,,,,1.0,,1.0,,,1.0,,
Cryptocurrency,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,1.0,5.0,,,2.0,4.0,2.0,7.0,,11.0,,2.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,,,
Distributed ledger,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric vehicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
Floating Liquefied Natural Gas,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gasification,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Internet of things,,,,,,,,1.0,4.0,1.0,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,1.0,,1.0,,,1.0,,,,,,,1.0,,
Smart grid,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smartphone,1.0,,2.0,,,,,,,,,,,1.0,,,,1.0,,7.0,1.0,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Virtual reality,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,
Virtual retinal display,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artificial island,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
