source,2013-06-01T00:00:00Z,2015-07-01T00:00:00Z,2017-07-01T00:00:00Z,2017-11-01T00:00:00Z,2018-01-01T00:00:00Z,2018-06-01T00:00:00Z,2019-01-01T00:00:00Z,2019-03-01T00:00:00Z,2019-04-01T00:00:00Z,2019-08-01T00:00:00Z,2019-11-01T00:00:00Z,2020-01-01T00:00:00Z,2020-06-01T00:00:00Z
Augmented reality,,,,,1.0,,,,,,,,
Bioplastic,,,1.0,,,,,,,,,,
Carbon capture and storage,,,,,,,1.0,,,,,,
Cryptocurrency,,,,3.0,1.0,1.0,,,,,,,
Distributed ledger,,,,,,,,,,,,1.0,2.0
Electric vehicle,,,,,,,,,,,1.0,,
Floating Liquefied Natural Gas,,,,,,,,,1.0,,,,
Lithium ion battery,,,,,,,,1.0,,1.0,,,
Real-time polymerase chain reaction,,,,,,,,,,,,,1.0
Smart grid,1.0,,,,,,,,,,,,
Smartphone,,1.0,,,,,,,,,,,
