source,2014-01-01T00:00:00Z,2015-01-01T00:00:00Z,2015-02-01T00:00:00Z,2015-04-01T00:00:00Z,2015-05-01T00:00:00Z,2015-10-01T00:00:00Z,2015-11-01T00:00:00Z,2016-01-01T00:00:00Z,2016-03-01T00:00:00Z,2016-07-01T00:00:00Z,2016-12-01T00:00:00Z,2017-08-01T00:00:00Z,2017-12-01T00:00:00Z,2018-01-01T00:00:00Z,2018-04-01T00:00:00Z,2018-05-01T00:00:00Z,2018-06-01T00:00:00Z,2018-07-01T00:00:00Z,2018-09-01T00:00:00Z,2018-10-01T00:00:00Z,2020-09-01T00:00:00Z,2020-11-01T00:00:00Z
5g,,,,,,1.0,,,,,,,,,,,,,,,,1.0
Brain-computer interface,,1.0,4.0,,,,,,,,,,,,,,,,,,,
Cloud computing,,,,,,1.0,,1.0,,,,,,,,1.0,,,,1.0,1.0,
Cryptocurrency,,,,1.0,,,,,,,,,,,,,,,,,,
Electric vehicle,,,,,,,,,,,,,,,1.0,,,,,,,
Gas generator,,,,,,,,,,,,,1.0,1.0,,,1.0,2.0,1.0,,,
Hyperloop,,,,,,,,,,,4.0,,,,,,,,,,,
Rapid diagnostic test,,,,,,,,,,,,1.0,,,,,,,,,,
Smart grid,,,,,1.0,,,,,,,,,,,,,,,,,
Smartphone,,,,,,,,,2.0,2.0,,,1.0,,,,,,,,,
Virtual reality,,,,,,,1.0,,,,,,,,,,,,,,,
concentrated solar power,1.0,,,,,,,,,,,,,,,,,,,,,
