source,2010-03-01T00:00:00Z,2012-05-01T00:00:00Z,2014-12-01T00:00:00Z,2015-03-01T00:00:00Z,2015-05-01T00:00:00Z,2015-10-01T00:00:00Z,2016-02-01T00:00:00Z,2016-03-01T00:00:00Z,2016-04-01T00:00:00Z,2016-06-01T00:00:00Z,2016-07-01T00:00:00Z,2016-08-01T00:00:00Z,2016-09-01T00:00:00Z,2017-03-01T00:00:00Z,2017-04-01T00:00:00Z,2017-05-01T00:00:00Z,2017-08-01T00:00:00Z,2017-09-01T00:00:00Z,2017-12-01T00:00:00Z,2018-01-01T00:00:00Z,2018-02-01T00:00:00Z,2018-06-01T00:00:00Z,2019-04-01T00:00:00Z,2019-07-01T00:00:00Z,2019-09-01T00:00:00Z,2020-02-01T00:00:00Z,2020-05-01T00:00:00Z,2020-06-01T00:00:00Z,2020-08-01T00:00:00Z,2020-09-01T00:00:00Z
5g,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,
Augmented reality,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,1.0,,,,,,,
Autonomous vehicle,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Carbon nanotube,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloud computing,,,,,7.0,,,,,,,,,,,5.0,,,,,,,,,,,,,,
Cryptocurrency,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,
Edge Computing,,,,,,,,,,,,,,,,,,,,,5.0,,,1.0,,,,,,
Electric vehicle,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
Facial recognition,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,
Fuel cell,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,
Gene Editing,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,
Graphene,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Internet of things,,,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,
Learning Management System,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,
Precision agriculture,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,
Regenerative Medicine,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
Smart grid,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
Smartphone,,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,
Vertical farming,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Virtual reality,,,,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,
