source,2015-03-01T00:00:00Z,2015-11-01T00:00:00Z,2016-03-01T00:00:00Z,2016-04-01T00:00:00Z,2016-06-01T00:00:00Z,2016-07-01T00:00:00Z,2017-05-01T00:00:00Z,2017-07-01T00:00:00Z,2017-08-01T00:00:00Z,2017-09-01T00:00:00Z,2017-10-01T00:00:00Z,2017-12-01T00:00:00Z,2018-02-01T00:00:00Z,2018-03-01T00:00:00Z,2018-04-01T00:00:00Z,2018-05-01T00:00:00Z,2018-06-01T00:00:00Z,2018-07-01T00:00:00Z,2018-10-01T00:00:00Z,2019-01-01T00:00:00Z,2019-02-01T00:00:00Z,2019-04-01T00:00:00Z,2019-05-01T00:00:00Z,2019-06-01T00:00:00Z,2019-08-01T00:00:00Z,2019-10-01T00:00:00Z,2020-01-01T00:00:00Z,2020-03-01T00:00:00Z,2020-05-01T00:00:00Z,2020-07-01T00:00:00Z
Carbon sequestration,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Cloud computing,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptocurrency,,,,,,3.0,,3.0,,,1.0,,7.0,40.0,6.0,6.0,2.0,,1.0,1.0,,1.0,,3.0,1.0,,,,,
Deep learning,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,1.0,
Electric vehicle,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
Fuel cell,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,1.0
Graphene,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
Hydrogen fuel,1.0,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,1.0
Internet of things,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,
Learning Management System,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Lidar,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
Regenerative Medicine,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
Smartphone,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
Stem-cell therapy,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,
Virtual reality,,,,,,,,,,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,
