source,2012-09-01T00:00:00Z,2014-12-01T00:00:00Z,2015-01-01T00:00:00Z,2015-02-01T00:00:00Z,2015-04-01T00:00:00Z,2015-10-01T00:00:00Z,2016-03-01T00:00:00Z,2016-06-01T00:00:00Z,2016-11-01T00:00:00Z,2017-03-01T00:00:00Z,2017-05-01T00:00:00Z,2017-07-01T00:00:00Z,2017-09-01T00:00:00Z,2017-10-01T00:00:00Z,2018-02-01T00:00:00Z,2018-04-01T00:00:00Z,2018-07-01T00:00:00Z,2018-11-01T00:00:00Z,2019-02-01T00:00:00Z,2019-03-01T00:00:00Z,2019-04-01T00:00:00Z,2019-05-01T00:00:00Z,2019-06-01T00:00:00Z,2019-07-01T00:00:00Z,2019-10-01T00:00:00Z,2020-05-01T00:00:00Z,2020-06-01T00:00:00Z,2020-09-01T00:00:00Z,2020-11-01T00:00:00Z,2020-12-01T00:00:00Z
5g,,,,,,,,,,1.0,,,,1.0,1.0,,1.0,1.0,,4.0,1.0,2.0,,,1.0,,3.0,,,
Augmented reality,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,
Autonomous vehicle,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Cryptocurrency,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,
Deep learning,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
Electric vehicle,1.0,,,,,,,,,,,,2.0,,,,,,,,,1.0,,1.0,,,,,,
Extended Reality,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Floating Liquefied Natural Gas,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,
Fuel cell,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,
Gasification,,,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,
Graphene,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,
Internet of things,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,
Learning Management System,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Machine vision,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
Mobile learning,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
Natural Language Processing,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Regenerative Medicine,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,
Smart grid,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,
Smartphone,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Spaceplane,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Virtual reality,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
