source,2015-03-01T00:00:00Z,2015-04-01T00:00:00Z,2015-06-01T00:00:00Z,2015-07-01T00:00:00Z,2015-09-01T00:00:00Z,2015-10-01T00:00:00Z,2016-01-01T00:00:00Z,2016-03-01T00:00:00Z,2016-05-01T00:00:00Z,2016-07-01T00:00:00Z,2016-10-01T00:00:00Z,2017-05-01T00:00:00Z,2017-06-01T00:00:00Z,2017-11-01T00:00:00Z,2017-12-01T00:00:00Z,2018-02-01T00:00:00Z,2018-03-01T00:00:00Z,2018-04-01T00:00:00Z,2018-05-01T00:00:00Z,2018-11-01T00:00:00Z,2019-01-01T00:00:00Z,2019-05-01T00:00:00Z,2019-07-01T00:00:00Z,2019-08-01T00:00:00Z,2019-09-01T00:00:00Z,2019-10-01T00:00:00Z,2019-11-01T00:00:00Z,2020-06-01T00:00:00Z,2020-07-01T00:00:00Z
5g,,,,,,,,,1.0,,,,,,,1.0,1.0,1.0,,,,,,2.0,,,,,
Cloud computing,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Cryptocurrency,1.0,,,,,,,,,,,,1.0,23.0,,,,,,,,,5.0,,,,,,
Gasification,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,
Genetically modified crops,,,6.0,2.0,1.0,,,,,,,,,,,,,,,3.0,,,,,,,,,
Hydrogen fuel,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Internet of things,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,
Regenerative Medicine,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,
Smartphone,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,2.0,,
Sonic weapon,,,,,,,,,,,,,,,2.0,1.0,8.0,,,,2.0,,,,2.0,,,,1.0
Stem-cell therapy,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,
Virtual reality,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,
Zeolite,,,,,,,,,,,1.0,4.0,,5.0,,,,,,,,,,,,,,,
concentrated solar power,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
