source,2013-07-01T00:00:00Z,2014-12-01T00:00:00Z,2015-02-01T00:00:00Z,2015-03-01T00:00:00Z,2015-10-01T00:00:00Z,2016-01-01T00:00:00Z,2016-05-01T00:00:00Z,2016-09-01T00:00:00Z,2017-03-01T00:00:00Z,2017-09-01T00:00:00Z,2017-10-01T00:00:00Z,2017-11-01T00:00:00Z,2017-12-01T00:00:00Z,2018-02-01T00:00:00Z,2018-04-01T00:00:00Z,2018-05-01T00:00:00Z,2018-06-01T00:00:00Z,2018-08-01T00:00:00Z,2018-09-01T00:00:00Z,2018-10-01T00:00:00Z,2018-11-01T00:00:00Z,2018-12-01T00:00:00Z,2019-02-01T00:00:00Z,2019-03-01T00:00:00Z,2019-04-01T00:00:00Z,2019-05-01T00:00:00Z,2019-10-01T00:00:00Z,2019-12-01T00:00:00Z,2020-02-01T00:00:00Z,2020-04-01T00:00:00Z,2020-07-01T00:00:00Z,2020-08-01T00:00:00Z,2020-10-01T00:00:00Z,2020-12-01T00:00:00Z
5g,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,1.0,
Augmented reality,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,
Cloud computing,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
Cryptocurrency,,,,,2.0,,,1.0,2.0,8.0,3.0,8.0,3.0,,,1.0,,5.0,1.0,3.0,3.0,1.0,,1.0,,4.0,,,1.0,,,,1.0,1.0
DNA repair,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
Distributed ledger,,,,,,,,,,,,,,,,,,,,1.0,,,3.0,,,,,,,,,7.0,,
Floating Liquefied Natural Gas,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
Fuel cell,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
Gasification,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
Hyperloop,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Internet of things,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
Machine vision,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metamaterial,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Molecular electronics,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Perovskite solar cell,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
Smartphone,,,,,,,3.0,,1.0,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,
Virtual reality,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,
concentrated solar power,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydroponics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
