source,2013-06-01T00:00:00Z,2013-08-01T00:00:00Z,2014-01-01T00:00:00Z,2016-04-01T00:00:00Z,2016-06-01T00:00:00Z,2016-10-01T00:00:00Z,2017-06-01T00:00:00Z,2017-11-01T00:00:00Z,2017-12-01T00:00:00Z,2018-03-01T00:00:00Z,2018-05-01T00:00:00Z,2018-06-01T00:00:00Z,2018-11-01T00:00:00Z,2018-12-01T00:00:00Z,2019-01-01T00:00:00Z,2019-02-01T00:00:00Z,2019-05-01T00:00:00Z,2020-02-01T00:00:00Z,2020-03-01T00:00:00Z,2020-11-01T00:00:00Z
5g,,,,,,,,,,,,,,,,,,,,1.0
Autonomous vehicle,,,,,,,,,,,,,,,,,,,1.0,
Cloud computing,,,,,,,,,,,,,,,2.0,,,,,
Cryptocurrency,,,,,,,,3.0,1.0,6.0,1.0,3.0,1.0,,,,,1.0,,
DNA repair,,,,,,,,,,,,,,3.0,,,,,,
Electric vehicle,,,1.0,,,,,,,,,,,,,,,,,
Electronic cigarette,,,,1.0,,,,,,,,,,,,,,,,
Internet of things,,,,,,1.0,,,,,,,,,,,1.0,,,
Neural Networks,,,,,,,1.0,,,,,,,,,,,,,
PAV,,,,,,,,,,,,,,,,,1.0,,,
Smart grid,1.0,,,,,,,,,,,1.0,,,1.0,,,,,
Smartphone,,1.0,,,3.0,,,,,,,,,,,1.0,,,,
Stem-cell therapy,,,,,,,,,,,,,,,,1.0,,,,
