source,2015-01-01T00:00:00Z,2015-02-01T00:00:00Z,2015-08-01T00:00:00Z,2015-11-01T00:00:00Z,2016-01-01T00:00:00Z,2016-02-01T00:00:00Z,2016-03-01T00:00:00Z,2016-04-01T00:00:00Z,2016-05-01T00:00:00Z,2016-06-01T00:00:00Z,2016-11-01T00:00:00Z,2017-04-01T00:00:00Z,2017-10-01T00:00:00Z,2018-01-01T00:00:00Z,2018-02-01T00:00:00Z,2018-03-01T00:00:00Z,2018-05-01T00:00:00Z,2018-06-01T00:00:00Z,2018-09-01T00:00:00Z,2018-12-01T00:00:00Z,2019-01-01T00:00:00Z,2019-02-01T00:00:00Z,2019-04-01T00:00:00Z,2019-07-01T00:00:00Z,2020-04-01T00:00:00Z,2020-07-01T00:00:00Z,2020-10-01T00:00:00Z
Carbon sequestration,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
Cryptocurrency,,,,,,,,,,,,,,1.0,,,,,2.0,1.0,,,,,,,
Deep learning,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,
Electric vehicle,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,
Facial recognition,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,
Fuel cell,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
Graphene,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
Internet of things,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
Learning Management System,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Machine translation,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
Quantum dot,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
Rapid diagnostic test,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Rapid transit,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Smart grid,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Smartphone,1.0,,,,,1.0,,,,1.0,1.0,1.0,,1.0,,1.0,2.0,10.0,,2.0,2.0,1.0,2.0,,,,1.0
Urban rail transit,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Vertical farming,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Virtual reality,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
Zeolite,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
