source,2014-12-01T00:00:00Z,2016-01-01T00:00:00Z,2016-03-01T00:00:00Z,2016-05-01T00:00:00Z,2017-12-01T00:00:00Z,2018-04-01T00:00:00Z,2018-09-01T00:00:00Z,2019-03-01T00:00:00Z,2019-04-01T00:00:00Z,2019-11-01T00:00:00Z,2020-11-01T00:00:00Z
5g,,,,,,,1.0,2.0,,,1.0
Augmented reality,,,,,,,,,,1.0,
Carbon sequestration,,,,,,1.0,,,,,
Cryptocurrency,,,,,1.0,1.0,,,,,
Deep learning,,,1.0,,,,,,,,
Exascale computing,,,2.0,,,,,,,,
Neural Networks,,,1.0,,,,,,,,
Quantum cryptography,,,,,,,,1.0,,,
Regenerative Medicine,,,,,,,,,1.0,,
Smartphone,1.0,,,1.0,,,,,,,
Virtual reality,,1.0,,,,,,,,,
