source,2012-09-01T00:00:00Z,2014-12-01T00:00:00Z,2015-06-01T00:00:00Z,2015-12-01T00:00:00Z,2016-02-01T00:00:00Z,2016-10-01T00:00:00Z,2017-03-01T00:00:00Z,2017-06-01T00:00:00Z,2017-07-01T00:00:00Z,2017-11-01T00:00:00Z,2018-02-01T00:00:00Z,2018-06-01T00:00:00Z,2018-08-01T00:00:00Z,2018-09-01T00:00:00Z,2018-10-01T00:00:00Z,2018-11-01T00:00:00Z,2018-12-01T00:00:00Z,2019-04-01T00:00:00Z,2019-05-01T00:00:00Z,2019-09-01T00:00:00Z,2019-10-01T00:00:00Z,2020-01-01T00:00:00Z,2020-06-01T00:00:00Z
5g,,,,,,,,1.0,,,,,,,,,,,,,,,
Biosensor,1.0,,,,,,,,,,,,,,,,,,,,,,
Cloud computing,,,,1.0,,,,,,,,,,,,,,,,,,,
Cryptocurrency,,,,,,,,,,,,,,,,,,,,,1.0,,
Distributed ledger,,,,,,,,,1.0,,,,,,,,,,,,,,
Fuel cell,,,,,1.0,,,,,,,,,,,,,,,,,,
Lidar,,,,,,,3.0,,,,56.0,1.0,1.0,10.0,2.0,,2.0,,2.0,1.0,1.0,,2.0
Maglev,,,,,,,,,,1.0,,,,,,,,,,,,,
Neural Networks,,,,,,,,,,,,,,,,,,,2.0,,,,
Smartphone,,1.0,1.0,,,3.0,,,,,,,1.0,,,,,,,,,,
Virtual reality,,,,,,,,,,,,,,,,1.0,,,,,,,
aquaponics,,,,,,,,,,,,,,,,,,1.0,,,,,
e-Reader,,,,,,,,,,,,,,,,,,,,,,1.0,
