source,2010-07-01T00:00:00Z,2015-01-01T00:00:00Z,2015-05-01T00:00:00Z,2015-07-01T00:00:00Z,2015-08-01T00:00:00Z,2015-10-01T00:00:00Z,2015-11-01T00:00:00Z,2016-01-01T00:00:00Z,2016-03-01T00:00:00Z,2016-06-01T00:00:00Z,2016-09-01T00:00:00Z,2016-10-01T00:00:00Z,2016-11-01T00:00:00Z,2017-01-01T00:00:00Z,2017-02-01T00:00:00Z,2017-03-01T00:00:00Z,2017-04-01T00:00:00Z,2017-05-01T00:00:00Z,2017-06-01T00:00:00Z,2017-08-01T00:00:00Z,2017-09-01T00:00:00Z,2017-11-01T00:00:00Z,2017-12-01T00:00:00Z,2018-03-01T00:00:00Z,2018-06-01T00:00:00Z,2018-07-01T00:00:00Z,2018-12-01T00:00:00Z,2019-01-01T00:00:00Z,2019-02-01T00:00:00Z,2019-03-01T00:00:00Z,2019-05-01T00:00:00Z,2019-06-01T00:00:00Z,2019-09-01T00:00:00Z,2019-12-01T00:00:00Z,2020-02-01T00:00:00Z,2020-03-01T00:00:00Z,2020-08-01T00:00:00Z,2020-12-01T00:00:00Z
5g,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,3.0,,,,,,,
Biosensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
Cloud computing,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
Cryptocurrency,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,1.0,,,
Deep learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,
Electric vehicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
Energy harvesting,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facial recognition,,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,,,,,,,,,1.0,,1.0,,,
Floating Liquefied Natural Gas,,,1.0,,,,1.0,2.0,,,5.0,,1.0,2.0,,,,5.0,2.0,1.0,1.0,9.0,3.0,,,,,4.0,,,,,,,,,,
Gene Editing,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
Graphene,2.0,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,
Head transplant,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Internet of things,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
Precision agriculture,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
Smartphone,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,6.0,,,,,,,,,,1.0,,
Stem-cell therapy,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Virtual reality,,1.0,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,1.0,,,,1.0
