source,2011-01-01T00:00:00Z,2011-05-01T00:00:00Z,2012-12-01T00:00:00Z,2013-01-01T00:00:00Z,2013-04-01T00:00:00Z,2015-01-01T00:00:00Z,2015-03-01T00:00:00Z,2015-04-01T00:00:00Z,2015-11-01T00:00:00Z,2016-04-01T00:00:00Z,2016-05-01T00:00:00Z,2016-06-01T00:00:00Z,2016-08-01T00:00:00Z,2016-10-01T00:00:00Z,2016-11-01T00:00:00Z,2017-02-01T00:00:00Z,2017-06-01T00:00:00Z,2017-09-01T00:00:00Z,2017-10-01T00:00:00Z,2017-11-01T00:00:00Z,2017-12-01T00:00:00Z,2018-02-01T00:00:00Z,2018-03-01T00:00:00Z,2018-04-01T00:00:00Z,2018-05-01T00:00:00Z,2018-06-01T00:00:00Z,2018-07-01T00:00:00Z,2018-10-01T00:00:00Z,2018-11-01T00:00:00Z,2018-12-01T00:00:00Z,2019-02-01T00:00:00Z,2019-05-01T00:00:00Z,2019-08-01T00:00:00Z,2019-09-01T00:00:00Z,2019-10-01T00:00:00Z,2019-11-01T00:00:00Z,2020-01-01T00:00:00Z,2020-05-01T00:00:00Z,2020-11-01T00:00:00Z,2020-12-01T00:00:00Z
5g,,,,,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,1.0,1.0,,,1.0,2.0,,1.0,,,,,,,
Augmented reality,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
Carbon capture and storage,,,,,,,,,,,,3.0,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,1.0
Carbon sequestration,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloud computing,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptocurrency,,,,,,,,,,1.0,1.0,,,,,,,1.0,2.0,4.0,1.0,27.0,2.0,7.0,13.0,1.0,5.0,,,,,6.0,,3.0,1.0,,,,1.0,
Electric vehicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,2.0,,,,,,,1.0,,,
Fuel cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,2.0,,2.0,,,,,1.0,,,
Graphene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Hyperloop,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Internet of things,,,,,,,,,,,,,,1.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,
Learning Management System,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Lidar,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,
Smart grid,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smartphone,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Virtual reality,,,,,,,1.0,,6.0,1.0,,1.0,,,2.0,,1.0,,2.0,4.0,,,,,,,,,,,,,,,,,,,,
