source,2015-01-01T00:00:00Z,2015-02-01T00:00:00Z,2015-06-01T00:00:00Z,2015-07-01T00:00:00Z,2015-11-01T00:00:00Z,2015-12-01T00:00:00Z,2016-12-01T00:00:00Z,2017-03-01T00:00:00Z,2017-12-01T00:00:00Z,2018-01-01T00:00:00Z,2018-02-01T00:00:00Z,2018-06-01T00:00:00Z,2018-07-01T00:00:00Z,2018-08-01T00:00:00Z,2018-09-01T00:00:00Z,2018-10-01T00:00:00Z,2018-11-01T00:00:00Z,2019-01-01T00:00:00Z,2019-02-01T00:00:00Z,2019-03-01T00:00:00Z,2019-04-01T00:00:00Z,2019-05-01T00:00:00Z,2019-10-01T00:00:00Z,2020-01-01T00:00:00Z,2020-02-01T00:00:00Z,2020-04-01T00:00:00Z,2020-07-01T00:00:00Z,2020-10-01T00:00:00Z,2020-12-01T00:00:00Z
5g,,,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,2.0,,1.0,1.0
Augmented reality,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Bioplastic,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,
Carbon capture and storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cryptocurrency,,,,,,,,,1.0,,2.0,,1.0,5.0,,,,,,,2.0,,,,1.0,,,,
Edge Computing,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
Electric vehicle,,,,,1.0,,,,,,,,,,,,,,5.0,,,,,,,,,,
Electronic cigarette,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
Facial recognition,,,,1.0,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,
Gene Editing,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Intelligent transportation system,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,
Internet of things,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machine vision,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
Neural Networks,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
Rapid transit,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smartphone,,,,,,,,,,1.0,,,,,1.0,1.0,,2.0,,,,,,,,,,,
Virtual reality,,,1.0,,,,1.0,,,,1.0,1.0,,,,,,,,,4.0,,,,,,,,
Zero-energy building,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
aquaponics,,,,,,,1.0,,,,,,,2.0,,,,1.0,,,,,,1.0,,,,,
