source,2015-01-01T00:00:00Z,2015-04-01T00:00:00Z,2016-02-01T00:00:00Z,2016-09-01T00:00:00Z,2017-06-01T00:00:00Z,2017-07-01T00:00:00Z,2017-08-01T00:00:00Z,2017-10-01T00:00:00Z,2017-11-01T00:00:00Z,2017-12-01T00:00:00Z,2018-01-01T00:00:00Z,2018-02-01T00:00:00Z,2018-04-01T00:00:00Z,2018-05-01T00:00:00Z,2018-06-01T00:00:00Z,2018-07-01T00:00:00Z,2018-08-01T00:00:00Z,2018-09-01T00:00:00Z,2018-10-01T00:00:00Z,2018-12-01T00:00:00Z,2019-02-01T00:00:00Z,2019-05-01T00:00:00Z,2019-06-01T00:00:00Z,2019-09-01T00:00:00Z,2019-10-01T00:00:00Z,2019-11-01T00:00:00Z,2020-01-01T00:00:00Z,2020-02-01T00:00:00Z,2020-03-01T00:00:00Z,2020-06-01T00:00:00Z,2020-07-01T00:00:00Z,2020-09-01T00:00:00Z,2020-11-01T00:00:00Z
5g,3.0,,,,,,,,,,,,,,,,,,,,3.0,,,1.0,3.0,3.0,,1.0,,2.0,2.0,,
Carbon sequestration,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Cryptocurrency,,,,,,4.0,,12.0,3.0,1.0,2.0,,3.0,1.0,2.0,1.0,4.0,,1.0,,1.0,2.0,,,,,3.0,1.0,,,1.0,4.0,
Distributed ledger,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Drug-eluting stent,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
Electric vehicle,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Energy harvesting,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Facial recognition,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,
Gasification,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0
Graphene,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
Internet of things,,,,,,,,,,,,,,,,,,,,1.0,,8.0,,,1.0,,,,,,,,
Machine translation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Natural Language Processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Smart grid,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virtual reality,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artificial island,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
concentrated solar power,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,
