source,2013-02-01T00:00:00Z,2015-06-01T00:00:00Z,2015-08-01T00:00:00Z,2016-10-01T00:00:00Z,2017-01-01T00:00:00Z,2017-04-01T00:00:00Z,2017-07-01T00:00:00Z,2017-08-01T00:00:00Z,2017-12-01T00:00:00Z,2018-01-01T00:00:00Z,2018-06-01T00:00:00Z,2018-07-01T00:00:00Z,2018-10-01T00:00:00Z,2018-11-01T00:00:00Z,2019-04-01T00:00:00Z,2019-05-01T00:00:00Z,2020-04-01T00:00:00Z,2020-05-01T00:00:00Z,2020-12-01T00:00:00Z
5g,,,,,,,,,,,,,,1.0,,,,,4.0
Cloud computing,,,,,,,,1.0,,,,,,,,,,,
Cryptocurrency,,,,,,,1.0,,,8.0,2.0,1.0,1.0,,3.0,,,,
Electric vehicle,,,,,,,,,,,,,,,4.0,,,,
Internet of things,,,,,,,,,,,,2.0,,,,,,,
Machine translation,1.0,,,,,1.0,,,,,,,,,,,,,
Precision agriculture,,,,,,,,,,,,,,2.0,,,,,
Smart grid,,,,,,,,,,,,,,,,,3.0,,
Smartphone,,8.0,88.0,1.0,,,,,1.0,,,,,,,,,1.0,
Virtual reality,,,,2.0,4.0,,,,,,,,,,,1.0,,,
