source,2013-01-01T00:00:00Z,2015-02-01T00:00:00Z,2015-04-01T00:00:00Z,2015-06-01T00:00:00Z,2015-07-01T00:00:00Z,2015-11-01T00:00:00Z,2016-11-01T00:00:00Z,2017-01-01T00:00:00Z,2017-02-01T00:00:00Z,2017-05-01T00:00:00Z,2017-09-01T00:00:00Z,2017-10-01T00:00:00Z,2017-12-01T00:00:00Z,2018-02-01T00:00:00Z,2018-03-01T00:00:00Z,2018-04-01T00:00:00Z,2018-05-01T00:00:00Z,2018-07-01T00:00:00Z,2018-09-01T00:00:00Z,2018-10-01T00:00:00Z,2018-11-01T00:00:00Z,2018-12-01T00:00:00Z,2019-01-01T00:00:00Z,2019-02-01T00:00:00Z,2019-03-01T00:00:00Z,2019-04-01T00:00:00Z,2019-06-01T00:00:00Z,2019-08-01T00:00:00Z,2019-10-01T00:00:00Z,2019-11-01T00:00:00Z,2019-12-01T00:00:00Z,2020-06-01T00:00:00Z,2020-10-01T00:00:00Z,2020-11-01T00:00:00Z,2020-12-01T00:00:00Z
5g,,,,,,,,,,,,4.0,1.0,,,,1.0,,,,1.0,3.0,1.0,2.0,,,3.0,,1.0,1.0,1.0,1.0,3.0,2.0,
Cryptocurrency,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,
Electric vehicle,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
Energy harvesting,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
Fuel cell,,,,,,4.0,,3.0,1.0,,,,,,,,,,,,,,,,,,3.0,2.0,,,,,,,
Gasification,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Hydrogen fuel,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,
Internet of things,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,2.0,,,1.0,,,,,,,,
Metamaterial,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,
Smart grid,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
Smartphone,1.0,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,11.0
VTOL,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,
Virotherapy,,1.0,2.0,,2.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,
