source,2015-01-01T00:00:00Z,2015-03-01T00:00:00Z,2015-07-01T00:00:00Z,2015-09-01T00:00:00Z,2015-12-01T00:00:00Z,2016-01-01T00:00:00Z,2016-02-01T00:00:00Z,2016-03-01T00:00:00Z,2016-04-01T00:00:00Z,2016-06-01T00:00:00Z,2016-08-01T00:00:00Z,2016-11-01T00:00:00Z,2016-12-01T00:00:00Z,2017-01-01T00:00:00Z,2017-03-01T00:00:00Z,2017-04-01T00:00:00Z,2017-05-01T00:00:00Z,2017-06-01T00:00:00Z,2018-01-01T00:00:00Z,2018-04-01T00:00:00Z,2018-05-01T00:00:00Z,2018-09-01T00:00:00Z,2019-02-01T00:00:00Z,2019-03-01T00:00:00Z,2019-04-01T00:00:00Z,2019-06-01T00:00:00Z,2019-08-01T00:00:00Z,2019-09-01T00:00:00Z,2020-01-01T00:00:00Z,2020-02-01T00:00:00Z,2020-04-01T00:00:00Z,2020-05-01T00:00:00Z,2020-06-01T00:00:00Z
5g,,,,,,,,1.0,,1.0,1.0,,,1.0,,,1.0,,,2.0,1.0,,,1.0,,1.0,,,,,,,
Cloud computing,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,
Cryptocurrency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
Deep learning,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
Electric vehicle,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0
Electronic cigarette,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Fuel cell,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gasification,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,
Hydrogen fuel,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Internet of things,1.0,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,5.0,,3.0,5.0,
Neural Networks,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
Phage therapy,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Rapid transit,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,
Regenerative Medicine,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Smart grid,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smartphone,,6.0,,,,2.0,1.0,,5.0,,,,,,,1.0,,1.0,8.0,,,1.0,2.0,,,,,,,,,,
Spintronics,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,
Urban mining,,,,,1.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Virtual reality,,,2.0,1.0,,,1.0,,2.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,
Virtual retinal display,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
