source,2015-02-01T00:00:00Z,2015-04-01T00:00:00Z,2015-06-01T00:00:00Z,2015-09-01T00:00:00Z,2016-01-01T00:00:00Z,2016-03-01T00:00:00Z,2017-05-01T00:00:00Z,2017-07-01T00:00:00Z,2017-09-01T00:00:00Z,2017-10-01T00:00:00Z,2017-11-01T00:00:00Z,2017-12-01T00:00:00Z,2018-01-01T00:00:00Z,2018-02-01T00:00:00Z,2018-03-01T00:00:00Z,2018-04-01T00:00:00Z,2018-05-01T00:00:00Z,2018-06-01T00:00:00Z,2018-09-01T00:00:00Z,2018-10-01T00:00:00Z,2018-11-01T00:00:00Z,2018-12-01T00:00:00Z,2019-01-01T00:00:00Z,2019-03-01T00:00:00Z,2019-04-01T00:00:00Z,2019-05-01T00:00:00Z,2019-06-01T00:00:00Z,2019-07-01T00:00:00Z,2020-01-01T00:00:00Z,2020-02-01T00:00:00Z,2020-04-01T00:00:00Z,2020-07-01T00:00:00Z,2020-08-01T00:00:00Z,2020-09-01T00:00:00Z,2020-10-01T00:00:00Z,2020-12-01T00:00:00Z
5g,,,,,,,,,,,,,,,,,,,2.0,5.0,,1.0,,,,,1.0,,,,,,,1.0,1.0,
Bioplastic,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
Brain-computer interface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,
Cloud computing,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,
Cryptocurrency,,,,,1.0,,,,,2.0,,2.0,1.0,4.0,2.0,3.0,,9.0,,,,,,,,,,,,,,,,,,1.0
Deep learning,,,,,,,,,,,,,,,,,5.0,,3.0,,,3.0,1.0,,,,,,,,,,,,,
Distributed ledger,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
Electric vehicle,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Facial recognition,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,3.0,,1.0,,,,
Gene Editing,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
Graphene,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Holography,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,,,,,
Internet of things,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
Natural Language Processing,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
Regenerative Medicine,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,1.0,,2.0,,,,,,1.0,,,,,,,2.0
Smart grid,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smartphone,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,
Wireless power transfer,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
