source,2012-10-01T00:00:00Z,2015-10-01T00:00:00Z,2015-12-01T00:00:00Z,2016-03-01T00:00:00Z,2016-08-01T00:00:00Z,2017-02-01T00:00:00Z,2017-03-01T00:00:00Z,2017-08-01T00:00:00Z,2017-10-01T00:00:00Z,2017-11-01T00:00:00Z,2018-01-01T00:00:00Z,2018-04-01T00:00:00Z,2019-03-01T00:00:00Z,2020-01-01T00:00:00Z,2020-02-01T00:00:00Z,2020-07-01T00:00:00Z,2020-12-01T00:00:00Z
5g,,,,,,,,,,,,,,,,2.0,
Augmented reality,,,,,,,,,,1.0,,,,,,,
Cloud computing,,1.0,,,,,,,,,,,,,,,
Deep learning,,,,,3.0,,,,,,,,,,,,
Facial recognition,,,,,,6.0,1.0,,,,,,,,,,
Graphene,,,,,,,,1.0,2.0,2.0,,,,,,,1.0
Lithium ion battery,,,,,1.0,,,,,,,,,,,,
Mobile learning,1.0,,,,,,,,,,,,,,,,
Rapid diagnostic test,,,,,,,,,,,,,,1.0,,,
Smartphone,,,,9.0,,,,,,,,,,,,,
Virtual reality,,,3.0,,,,,,,,1.0,1.0,4.0,,,,
hydroponics,,,,,,,,,,,,,,,2.0,,
